Component,Threshold,Cutoff,Status
AnalyzerCategory,1,7.606406250000001,Clean
AnalyzerConstants,2,7.606406250000001,Clean
DocumentEditorExt,2,7.606406250000001,Clean
MakeSealedRewriter,7,7.606406250000001,Clean
InjectFix,7,7.606406250000001,Clean
ReplaceNodes,8,7.606406250000001,Fault_proner
MakeInternalFix,5,7.606406250000001,Clean
MakeSealedFix,1,7.606406250000001,Clean
MoveArgumentFix,6,7.606406250000001,Clean
NameArgumentsFix,7,7.606406250000001,Clean
NonSerializedFix,5,7.606406250000001,Clean
NullCheckParameterFix,5,7.606406250000001,Clean
RenameConstructorArgumentsFix,6,7.606406250000001,Clean
SortPropertiesFix,5,7.606406250000001,Clean
TestMethodParametersFix,5,7.606406250000001,Clean
ThrowForCorrectParameterFix,2,7.606406250000001,Clean
UseGetOnlyFix,7,7.606406250000001,Clean
UseLambdaFix,4,7.606406250000001,Clean
UselessDocsFix,5,7.606406250000001,Clean
UseNameofFix,5,7.606406250000001,Clean
UseParameterFix,3,7.606406250000001,Clean
GU0001NameArguments,3,7.606406250000001,Clean
GU0002NamedArgumentPositionMatches,3,7.606406250000001,Clean
GU0003CtorParameterNamesShouldMatch,3,7.606406250000001,Clean
GU0004AssignAllReadOnlyMembers,3,7.606406250000001,Clean
GU0005ExceptionArgumentsPositions,3,7.606406250000001,Clean
GU0006UseNameof,8,7.606406250000001,Fault_proner
GU0007PreferInjecting,9,7.606406250000001,Fault_proner
Injectable,1,7.606406250000001,Clean
GU0008AvoidRelayProperties,3,7.606406250000001,Clean
GU0009UseNamedParametersForBooleans,9,7.606406250000001,Fault_proner
GU0010DoNotAssignSameValue,3,7.606406250000001,Clean
GU0011DontIgnoreReturnValue,9,7.606406250000001,Fault_proner
GU0012NullCheckParameter,3,7.606406250000001,Clean
GU0013CheckNameInThrow,3,7.606406250000001,Clean
GU0014PreferParameter,3,7.606406250000001,Clean
GU0015DontAssignMoreThanOnce,3,7.606406250000001,Clean
GU0016PreferLambda,3,7.606406250000001,Clean
GU0020SortProperties,8,7.606406250000001,Fault_proner
GU0021CalculatedPropertyAllocates,3,7.606406250000001,Clean
GU0022UseGetOnly,8,7.606406250000001,Fault_proner
GU0023StaticMemberOrderAnalyzer,8,7.606406250000001,Fault_proner
Walker,7,7.606406250000001,Clean
GU0024SealTypeWithDefaultMember,3,7.606406250000001,Clean
GU0050IgnoreEventsWhenSerializing,9,7.606406250000001,Fault_proner
GU0051XmlSerializerNotCached,9,7.606406250000001,Fault_proner
GU0052ExceptionShouldBeSerializable,8,7.606406250000001,Fault_proner
GU0060EnumMemberValueConflictsWithAnother,9,7.606406250000001,Fault_proner
GU0070DefaultConstructedValueTypeWithNoUsefulDefault,8,7.606406250000001,Fault_proner
GU0071ForeachImplicitCast,9,7.606406250000001,Fault_proner
GU0072AllTypesShouldBeInternal,8,7.606406250000001,Fault_proner
GU0080TestAttributeCountMismatch,3,7.606406250000001,Clean
GU0081TestCasesAttributeMismatch,3,7.606406250000001,Clean
GU0082IdenticalTestCase,3,7.606406250000001,Clean
GU0083TestCaseAttributeMismatchMethod,3,7.606406250000001,Clean
DependencyObjectType,2,7.606406250000001,Clean
DependencyPropertyType,2,7.606406250000001,Clean
IEnumerableType,3,7.606406250000001,Clean
KnownSymbol,4,7.606406250000001,Clean
NUnitAssertType,2,7.606406250000001,Clean
StringBuilderType,2,7.606406250000001,Clean
StringType,2,7.606406250000001,Clean
TaskType,2,7.606406250000001,Clean
XmlSerializerType,2,7.606406250000001,Clean
XunitAssertType,2,7.606406250000001,Clean
StandardDocs,2,7.606406250000001,Clean
ArgumentSyntaxExt,0,7.606406250000001,Clean
BasePropertyDeclarationSyntaxExt,0,7.606406250000001,Clean
ReturnValueWalker,7,7.606406250000001,Clean
HelpLink,0,7.606406250000001,Clean
ArgumentListAnalyzer,7,7.606406250000001,Clean
ClassDeclarationAnalyzer,6,7.606406250000001,Clean
ConstructorAnalyzer,7,7.606406250000001,Clean
CtorWalker,7,7.606406250000001,Clean
MethodGroupAnalyzer,6,7.606406250000001,Clean
ObjectCreationAnalyzer,7,7.606406250000001,Clean
ParameterAnalyzer,6,7.606406250000001,Clean
PropertyDeclarationAnalyzer,7,7.606406250000001,Clean
SimpleAssignmentAnalyzer,7,7.606406250000001,Clean
TestMethodAnalyzer,7,7.606406250000001,Clean
