Component,Threshold,Cutoff,Status
AppButtonInput,2,6.077326348638426,Clean
Vector3Event,0,6.077326348638426,Clean
Vector2Event,0,6.077326348638426,Clean
FloatEvent,0,6.077326348638426,Clean
BoolEvent,0,6.077326348638426,Clean
ButtonEvent,1,6.077326348638426,Clean
TouchPadEvent,0,6.077326348638426,Clean
TransformEvent,0,6.077326348638426,Clean
GameObjectEvent,0,6.077326348638426,Clean
AutoPlayVideo,2,6.077326348638426,Clean
PositionSwapper,3,6.077326348638426,Clean
ToggleAction,2,6.077326348638426,Clean
ControllerProviderFactory,1,6.077326348638426,Clean
DummyControllerProvider,2,6.077326348638426,Clean
EditorControllerProvider,4,6.077326348638426,Clean
EmulatorControllerProvider,6,6.077326348638426,Clean
MouseControllerProvider,7,6.077326348638426,Fault_proner
ControllerState,2,6.077326348638426,Clean
EmulatorClientSocketConnectionState,1,6.077326348638426,Clean
EmulatorClientSocket,6,6.077326348638426,Clean
EmulatorConfig,4,6.077326348638426,Clean
Mode,1,6.077326348638426,Clean
EmulatorGyroEvent,3,6.077326348638426,Clean
EmulatorAccelEvent,3,6.077326348638426,Clean
EmulatorTouchEvent,6,6.077326348638426,Clean
Action,1,6.077326348638426,Clean
Pointer,2,6.077326348638426,Clean
EmulatorOrientationEvent,3,6.077326348638426,Clean
EmulatorButtonEvent,3,6.077326348638426,Clean
ButtonCode,1,6.077326348638426,Clean
EmulatorManager,6,6.077326348638426,Clean
IControllerProvider,2,6.077326348638426,Clean
IKeyboardProvider,2,6.077326348638426,Clean
KeyboardProviderFactory,1,6.077326348638426,Clean
AndroidNativeKeyboardProvider,7,6.077326348638426,Fault_proner
gvr_clock_time_point,2,6.077326348638426,Clean
gvr_recti,3,6.077326348638426,Clean
DummyKeyboardProvider,3,6.077326348638426,Clean
EmulatorKeyboardProvider,6,6.077326348638426,Clean
PhoneEvent,8,6.077326348638426,Fault_proner
Types,1,6.077326348638426,Clean
Type,0,6.077326348638426,Clean
MotionEvent,8,6.077326348638426,Fault_proner
Pointer_duplicated,8,6.077326348638426,Fault_proner
Builder,7,6.077326348638426,Fault_proner
GyroscopeEvent,8,6.077326348638426,Fault_proner
AccelerometerEvent,8,6.077326348638426,Fault_proner
DepthMapEvent,8,6.077326348638426,Fault_proner
OrientationEvent,8,6.077326348638426,Fault_proner
KeyEvent,8,6.077326348638426,Fault_proner
PhoneEvent_duplicated,9,6.077326348638426,Fault_proner
Types_duplicated,2,6.077326348638426,Clean
Type_duplicated,1,6.077326348638426,Clean
MotionEvent_duplicated,9,6.077326348638426,Fault_proner
Pointer_duplicated_duplicated,9,6.077326348638426,Fault_proner
Builder_duplicated,8,6.077326348638426,Fault_proner
GyroscopeEvent_duplicated,9,6.077326348638426,Fault_proner
AccelerometerEvent_duplicated,9,6.077326348638426,Fault_proner
DepthMapEvent_duplicated,9,6.077326348638426,Fault_proner
OrientationEvent_duplicated,9,6.077326348638426,Fault_proner
KeyEvent_duplicated,9,6.077326348638426,Fault_proner
