Component,Threshold,Cutoff,Status
Guard,2,8.11672815871911,Clean
QName,2,8.11672815871911,Clean
XhtmlWriter,7,8.11672815871911,Clean
XmlBaseAwareXmlReader,7,8.11672815871911,Clean
XmlBaseState,2,8.11672815871911,Clean
XmlFirstLowerWriter,4,8.11672815871911,Clean
XmlFirstUpperReader,7,8.11672815871911,Clean
XmlFragmentReader,8,8.11672815871911,Clean
XmlFragmentStream,7,8.11672815871911,Clean
XmlNamespaces,3,8.11672815871911,Clean
XmlNodeFactory,4,8.11672815871911,Clean
SerializableNode,6,8.11672815871911,Clean
XPathNavigatorNode,1,8.11672815871911,Clean
XmlReaderNode,2,8.11672815871911,Clean
ObjectNode,1,8.11672815871911,Clean
XmlNodeListFactory,3,8.11672815871911,Clean
XmlNodeListIterator,7,8.11672815871911,Clean
XmlNodeListEnumerator,3,8.11672815871911,Clean
XmlNormalizingReader,9,8.11672815871911,Fault_proner
XmlPrefix,2,8.11672815871911,Clean
XmlWrappingReader,8,8.11672815871911,Clean
XmlWrappingWriter,8,8.11672815871911,Clean
CacheKeyFactory,2,8.11672815871911,Clean
SignatureExtractor,5,8.11672815871911,Clean
StringSorter,1,8.11672815871911,Clean
XmlAttributeOverridesThumbprinter,5,8.11672815871911,Clean
XmlSerializerCache,7,8.11672815871911,Clean
DynamicContext,6,8.11672815871911,Clean
DynamicVariable,2,8.11672815871911,Clean
EmptyXPathNodeIterator,3,8.11672815871911,Clean
IHasXPathNavigator,1,8.11672815871911,Clean
IndexingXPathNavigator,8,8.11672815871911,Clean
IndexingXsltContext,4,8.11672815871911,Clean
KeyExtensionFunction,4,8.11672815871911,Clean
KeyDef,3,8.11672815871911,Clean
XPathNavigatorIndex,7,8.11672815871911,Clean
XPathNavigatorIndexManager,5,8.11672815871911,Clean
SingletonXPathNodeIterator,3,8.11672815871911,Clean
SubtreeXPathNavigator,7,8.11672815871911,Clean
XPathCache,6,8.11672815871911,Clean
XPathDocumentWriter,8,8.11672815871911,Clean
XPathIteratorReader,8,8.11672815871911,Clean
FakedRootReader,7,8.11672815871911,Clean
XPathNavigatorIterator,8,8.11672815871911,Clean
XPathVariable,2,8.11672815871911,Clean
DocPair,2,8.11672815871911,Clean
ExsltContext,8,8.11672815871911,Clean
ExsltContextFunction,3,8.11672815871911,Clean
ExsltDatesAndTimes,8,8.11672815871911,Clean
ExsltDateTimeFactory,3,8.11672815871911,Clean
ExsltDateTime,9,8.11672815871911,Fault_proner
DateTimeTz,4,8.11672815871911,Clean
DateTz,4,8.11672815871911,Clean
TimeTz,3,8.11672815871911,Clean
YearMonth,4,8.11672815871911,Clean
YearTz,4,8.11672815871911,Clean
Month,4,8.11672815871911,Clean
Day,4,8.11672815871911,Clean
MonthDay,4,8.11672815871911,Clean
ExsltMath,6,8.11672815871911,Clean
ExsltNamespaces,3,8.11672815871911,Clean
ExsltRandom,5,8.11672815871911,Clean
ExsltRegularExpressions,5,8.11672815871911,Clean
ExsltSets,6,8.11672815871911,Clean
AuxExslt,4,8.11672815871911,Clean
ExsltStrings,5,8.11672815871911,Clean
ExsltFunctionNamespace,1,8.11672815871911,Clean
ExsltTransform,7,8.11672815871911,Clean
GdnDatesAndTimes,7,8.11672815871911,Clean
GdnDynamic,6,8.11672815871911,Clean
GdnMath,1,8.11672815871911,Clean
GdnRegularExpressions,5,8.11672815871911,Clean
GdnSets,4,8.11672815871911,Clean
GdnStrings,3,8.11672815871911,Clean
RedirectState,1,8.11672815871911,Clean
MultiXmlTextWriter,7,8.11672815871911,Clean
OutputMethod,1,8.11672815871911,Clean
OutputState,5,8.11672815871911,Clean
CharacterMap,2,8.11672815871911,Clean
CharacterMapping,3,8.11672815871911,Clean
CharacterMappingXmlReader,5,8.11672815871911,Clean
CharacterMappingXmlWriter,6,8.11672815871911,Clean
IXmlTransform,2,8.11672815871911,Clean
XmlInput,6,8.11672815871911,Clean
OutputResolver,0,8.11672815871911,Clean
XmlOutput,3,8.11672815871911,Clean
DefaultXmlResolver,1,8.11672815871911,Clean
MvpXslTransform,9,8.11672815871911,Fault_proner
XslReader,8,8.11672815871911,Clean
XmlToken,4,8.11672815871911,Clean
BufferWriter,9,8.11672815871911,Fault_proner
QNameTable,3,8.11672815871911,Clean
ScopeManager,8,8.11672815871911,Clean
TokenPipe,7,8.11672815871911,Clean
TokenPipeMultiThread,6,8.11672815871911,Clean
Resources,4,8.11672815871911,Clean
TextIncludingReader,7,8.11672815871911,Clean
TextUtils,2,8.11672815871911,Clean
XIncludeException,1,8.11672815871911,Clean
ResourceException,1,8.11672815871911,Clean
FatalException,2,8.11672815871911,Clean
NonXmlCharacterException,1,8.11672815871911,Clean
CircularInclusionException,1,8.11672815871911,Clean
FatalResourceException,1,8.11672815871911,Clean
XIncludeSyntaxError,1,8.11672815871911,Clean
AttributeOrNamespaceInIncludeLocationError,1,8.11672815871911,Clean
MalformedXInclusionResultError,1,8.11672815871911,Clean
InvalidAcceptHTTPHeaderValueError,1,8.11672815871911,Clean
XIncludeKeywords,4,8.11672815871911,Clean
XIncludingReader,8,8.11672815871911,Clean
FallbackState,3,8.11672815871911,Clean
XIncludingReaderState,1,8.11672815871911,Clean
ElementSchemaPointerPart,4,8.11672815871911,Clean
LexUtils,6,8.11672815871911,Clean
Pointer,3,8.11672815871911,Clean
PointerPart,2,8.11672815871911,Clean
SchemaBasedPointer,4,8.11672815871911,Clean
ShorthandPointer,2,8.11672815871911,Clean
XmlnsSchemaPointerPart,4,8.11672815871911,Clean
XPath1SchemaPointerPart,3,8.11672815871911,Clean
XPointerException,1,8.11672815871911,Clean
XPointerSyntaxException,1,8.11672815871911,Clean
NoSubresourcesIdentifiedException,1,8.11672815871911,Clean
XPointerLexer,8,8.11672815871911,Clean
LexKind,1,8.11672815871911,Clean
XPointerParser,4,8.11672815871911,Clean
XPointerReader,9,8.11672815871911,Fault_proner
XPointerSchema,3,8.11672815871911,Clean
SchemaType,1,8.11672815871911,Clean
XPointerSchemaPointerPart,3,8.11672815871911,Clean
