Component,Threshold,Cutoff,Status
FormatterData,5,7.215077166600713,Clean
FormatterDataCollection,6,7.215077166600713,Clean
FormatterDataEnumerator,8,7.215077166600713,Fault_proner
FormatterType,1,7.215077166600713,Clean
FormatterElement,5,7.215077166600713,Clean
FormatterElementCollection,6,7.215077166600713,Clean
FormatterElementEnumerator,8,7.215077166600713,Fault_proner
NUnit2Test,5,7.215077166600713,Clean
NUnit2TestCollection,6,7.215077166600713,Clean
NUnit2TestEnumerator,8,7.215077166600713,Fault_proner
Categories,4,7.215077166600713,Clean
Category,4,7.215077166600713,Clean
CategoryCollection,6,7.215077166600713,Clean
CategoryEnumerator,8,7.215077166600713,Fault_proner
TraceLogger,5,7.215077166600713,Clean
ILog,2,7.215077166600713,Clean
LogManager,5,7.215077166600713,Clean
NullLogger,2,7.215077166600713,Clean
NUnit2OutProcTask,6,7.215077166600713,Clean
