Component,Threshold,Cutoff,Status
DiffAlgorithm,7,8.654051206947496,Clean
SupportedAlgorithm,1,8.654051206947496,Clean
Edit,7,8.654051206947496,Clean
Type,1,8.654051206947496,Clean
EditList,5,8.654051206947496,Clean
HashedSequence<S>,2,8.654051206947496,Clean
HashedSequenceComparator<S>,3,8.654051206947496,Clean
HashedSequencePair<S>,5,8.654051206947496,Clean
HistogramDiff,7,8.654051206947496,Clean
State<S>,5,8.654051206947496,Clean
HistogramDiffIndex<S>,5,8.654051206947496,Clean
LowLevelDiffAlgorithm,5,8.654051206947496,Clean
MyersDiff<S>,6,8.654051206947496,Clean
_LowLevelDiffAlgorithm_114,3,8.654051206947496,Clean
MiddleEdit,6,8.654051206947496,Clean
EditPaths,7,8.654051206947496,Clean
ForwardEditPaths,6,8.654051206947496,Clean
BackwardEditPaths,6,8.654051206947496,Clean
RawText,9,8.654051206947496,Fault_proner
RawTextComparator,9,8.654051206947496,Fault_proner
_RawTextComparator_56,5,8.654051206947496,Clean
_RawTextComparator_87,5,8.654051206947496,Clean
_RawTextComparator_138,5,8.654051206947496,Clean
_RawTextComparator_173,5,8.654051206947496,Clean
_RawTextComparator_208,6,8.654051206947496,Clean
Sequence,1,8.654051206947496,Clean
SequenceComparator<S>,5,8.654051206947496,Clean
Subsequence<S>,7,8.654051206947496,Clean
SubsequenceComparator<S>,3,8.654051206947496,Clean
Resources,4,8.654051206947496,Clean
AList<T>,4,8.654051206947496,Clean
Arrays,5,8.654051206947496,Clean
ByteArrayOutputStream,6,8.654051206947496,Clean
ByteBuffer,7,8.654051206947496,Clean
ByteOrder,1,8.654051206947496,Clean
CharsetDecoder,6,8.654051206947496,Clean
CodingErrorAction,1,8.654051206947496,Clean
Collections<T>,2,8.654051206947496,Clean
Collections,5,8.654051206947496,Clean
DataConverter,10,8.654051206947496,Fault_proner
PackContext,7,8.654051206947496,Clean
CopyConverter,5,8.654051206947496,Clean
SwapConverter,5,8.654051206947496,Clean
DigestOutputStream,6,8.654051206947496,Clean
EnumeratorWrapper<T>,5,8.654051206947496,Clean
VirtualMachineError,2,8.654051206947496,Clean
StackOverflowError,1,8.654051206947496,Clean
BrokenBarrierException,0,8.654051206947496,Clean
BufferUnderflowException,0,8.654051206947496,Clean
CharacterCodingException,0,8.654051206947496,Clean
DataFormatException,0,8.654051206947496,Clean
EOFException,1,8.654051206947496,Clean
Error,3,8.654051206947496,Clean
ExecutionException,0,8.654051206947496,Clean
InstantiationException,0,8.654051206947496,Clean
InterruptedIOException,0,8.654051206947496,Clean
MissingResourceException,0,8.654051206947496,Clean
NoSuchAlgorithmException,0,8.654051206947496,Clean
NoSuchElementException,0,8.654051206947496,Clean
NoSuchMethodException,0,8.654051206947496,Clean
OverlappingFileLockException,0,8.654051206947496,Clean
ParseException,1,8.654051206947496,Clean
RuntimeException,2,8.654051206947496,Clean
StringIndexOutOfBoundsException,0,8.654051206947496,Clean
UnknownHostException,0,8.654051206947496,Clean
UnsupportedEncodingException,0,8.654051206947496,Clean
URISyntaxException,0,8.654051206947496,Clean
ZipException,0,8.654051206947496,Clean
GitException,0,8.654051206947496,Clean
ConnectException,0,8.654051206947496,Clean
KeyManagementException,0,8.654051206947496,Clean
IllegalCharsetNameException,0,8.654051206947496,Clean
UnsupportedCharsetException,0,8.654051206947496,Clean
Extensions,7,8.654051206947496,Clean
FileInputStream,3,8.654051206947496,Clean
FilePath,7,8.654051206947496,Clean
InputStream,9,8.654051206947496,Fault_proner
Iterator,3,8.654051206947496,Clean
Iterator<T>,6,8.654051206947496,Clean
MessageDigest,5,8.654051206947496,Clean
MessageDigest<TAlgorithm>,7,8.654051206947496,Clean
MessageFormat,3,8.654051206947496,Clean
OutputStream,8,8.654051206947496,Clean
Runtime,3,8.654051206947496,Clean
WrappedSystemStream,8,8.654051206947496,Clean
Constants,4,8.654051206947496,Clean
IntList,7,8.654051206947496,Clean
IOUtil,3,8.654051206947496,Clean
LongList,7,8.654051206947496,Clean
MutableInteger,2,8.654051206947496,Clean
RawCharUtil,6,8.654051206947496,Clean
RawParseUtils,6,8.654051206947496,Clean
NullOutputStream,5,8.654051206947496,Clean
