Component,Threshold,Cutoff,Status
AspTestClient,2,7.151784330940453,Clean
AspTestContext,2,7.151784330940453,Clean
AspTestExecutionModule,4,7.151784330940453,Clean
IAspFixtureHost,4,7.151784330940453,Clean
AspFixtureRequest,6,7.151784330940453,Clean
AspFixtureRequestFactory,3,7.151784330940453,Clean
AspFixtureResponse,2,7.151784330940453,Clean
CustomizableHttpWebRequest,8,7.151784330940453,Fault_proner
CustomizableHttpWebResponse,2,7.151784330940453,Clean
HttpReflectionUtils,0,7.151784330940453,Clean
HttpWebClient,9,7.151784330940453,Fault_proner
HttpWriteMode,1,7.151784330940453,Clean
SR,2,7.151784330940453,Clean
AspFixtureHost,9,7.151784330940453,Fault_proner
AspFixtureSimpleWorkerRequest,4,7.151784330940453,Clean
AspFixtureRequestWorkerRequest,7,7.151784330940453,Clean
ResponseData,3,7.151784330940453,Clean
