Component,Threshold,Cutoff,Status
FirstPersonController,6,7.384679987402457,Clean
HeadBob,6,7.384679987402457,Clean
MouseLook,8,7.384679987402457,Fault_proner
RigidbodyFirstPersonController,8,7.384679987402457,Fault_proner
MovementSettings,7,7.384679987402457,Clean
AdvancedSettings,3,7.384679987402457,Clean
AxisTouchButton,7,7.384679987402457,Clean
ButtonHandler,6,7.384679987402457,Clean
CrossPlatformInputManager,8,7.384679987402457,Fault_proner
ActiveInputMethod,1,7.384679987402457,Clean
VirtualAxis,6,7.384679987402457,Clean
VirtualButton,7,7.384679987402457,Clean
InputAxisScrollbar,4,7.384679987402457,Clean
Joystick,7,7.384679987402457,Clean
AxisOption,1,7.384679987402457,Clean
MobileControlRig,3,7.384679987402457,Clean
TiltInput,6,7.384679987402457,Clean
AxisOptions,1,7.384679987402457,Clean
AxisMapping,4,7.384679987402457,Clean
MappingType,1,7.384679987402457,Clean
TiltInputAxisStylePropertyDrawer,3,7.384679987402457,Clean
TouchPad,7,7.384679987402457,Clean
ControlStyle,1,7.384679987402457,Clean
VirtualInput,9,7.384679987402457,Fault_proner
MobileInput,6,7.384679987402457,Clean
StandaloneInput,5,7.384679987402457,Clean
TiltInput_duplicated,6,7.384679987402457,Clean
AxisOptions_duplicated,0,7.384679987402457,Clean
AxisMapping_duplicated,3,7.384679987402457,Clean
MappingType_duplicated,0,7.384679987402457,Clean
TiltInputAxisStylePropertyDrawer_duplicated,3,7.384679987402457,Clean
ActivateTrigger,6,7.384679987402457,Clean
Mode,1,7.384679987402457,Clean
AutoMobileShaderSwitch,1,7.384679987402457,Clean
ReplacementDefinition,3,7.384679987402457,Clean
ReplacementList,2,7.384679987402457,Clean
ReplacementListDrawer,5,7.384679987402457,Clean
AutoMoveAndRotate,6,7.384679987402457,Clean
Vector3andSpace,3,7.384679987402457,Clean
CameraRefocus,6,7.384679987402457,Clean
CurveControlledBob,7,7.384679987402457,Clean
DragRigidbody,4,7.384679987402457,Clean
DynamicShadowSettings,5,7.384679987402457,Clean
FollowTarget,2,7.384679987402457,Clean
FOVKick,7,7.384679987402457,Clean
FPSCounter,4,7.384679987402457,Clean
LerpControlledBob,7,7.384679987402457,Clean
ObjectResetter,5,7.384679987402457,Clean
ParticleSystemDestroyer,6,7.384679987402457,Clean
PlatformSpecificContent,5,7.384679987402457,Clean
BuildTargetGroup,1,7.384679987402457,Clean
SimpleActivatorMenu,5,7.384679987402457,Clean
SimpleMouseRotator,6,7.384679987402457,Clean
SmoothFollow,4,7.384679987402457,Clean
TimedObjectActivator,6,7.384679987402457,Clean
Action,1,7.384679987402457,Clean
Entry,4,7.384679987402457,Clean
Entries,3,7.384679987402457,Clean
EntriesDrawer,6,7.384679987402457,Clean
TimedObjectDestructor,3,7.384679987402457,Clean
WaypointCircuit,9,7.384679987402457,Fault_proner
WaypointList,4,7.384679987402457,Clean
RoutePoint,4,7.384679987402457,Clean
WaypointListDrawer,6,7.384679987402457,Clean
TransformNameComparer,1,7.384679987402457,Clean
WaypointProgressTracker,8,7.384679987402457,Fault_proner
ProgressStyle,1,7.384679987402457,Clean
AutoMobileShaderSwitch_duplicated,1,7.384679987402457,Clean
ReplacementDefinition_duplicated,2,7.384679987402457,Clean
ReplacementList_duplicated,2,7.384679987402457,Clean
ReplacementListDrawer_duplicated,5,7.384679987402457,Clean
TimedObjectActivator_duplicated,5,7.384679987402457,Clean
Action_duplicated,0,7.384679987402457,Clean
Entry_duplicated,3,7.384679987402457,Clean
Entries_duplicated,2,7.384679987402457,Clean
EntriesDrawer_duplicated,6,7.384679987402457,Clean
WaypointCircuit_duplicated,8,7.384679987402457,Fault_proner
WaypointList_duplicated,3,7.384679987402457,Clean
RoutePoint_duplicated,4,7.384679987402457,Clean
WaypointListDrawer_duplicated,6,7.384679987402457,Clean
TransformNameComparer_duplicated,1,7.384679987402457,Clean
CrossPlatformInitialize,4,7.384679987402457,Clean
