Component,Threshold,Cutoff,Status
BodyCollider,1,6.4675495444726225,Clean
CircularDrive,6,6.4675495444726225,Clean
Axis_t,0,6.4675495444726225,Clean
ComplexThrowable,6,6.4675495444726225,Clean
AttachMode,1,6.4675495444726225,Clean
ControllerHoverHighlight,7,6.4675495444726225,Fault_proner
CustomEvents,0,6.4675495444726225,Clean
UnityEventSingleFloat,0,6.4675495444726225,Clean
UnityEventHand,1,6.4675495444726225,Clean
DebugUI,4,6.4675495444726225,Clean
DestroyOnDetachedFromHand,1,6.4675495444726225,Clean
DestroyOnParticleSystemDeath,1,6.4675495444726225,Clean
DestroyOnTriggerEnter,2,6.4675495444726225,Clean
DistanceHaptics,2,6.4675495444726225,Clean
DontDestroyOnLoad,0,6.4675495444726225,Clean
EnumFlags,2,6.4675495444726225,Clean
EnumFlagsPropertyDrawer,1,6.4675495444726225,Clean
FallbackCameraController,5,6.4675495444726225,Clean
Hand,9,6.4675495444726225,Fault_proner
HandType,1,6.4675495444726225,Clean
AttachmentFlags,1,6.4675495444726225,Clean
AttachedObject,3,6.4675495444726225,Clean
HandEditor,4,6.4675495444726225,Clean
HapticRack,6,6.4675495444726225,Clean
HideOnHandFocusLost,1,6.4675495444726225,Clean
IgnoreHovering,1,6.4675495444726225,Clean
InputModule,6,6.4675495444726225,Clean
Interactable,4,6.4675495444726225,Clean
InteractableButtonEvents,5,6.4675495444726225,Clean
InteractableHoverEvents,6,6.4675495444726225,Clean
ItemPackage,4,6.4675495444726225,Clean
ItemPackageType,1,6.4675495444726225,Clean
ItemPackageReference,2,6.4675495444726225,Clean
ItemPackageSpawner,7,6.4675495444726225,Fault_proner
LinearAnimation,6,6.4675495444726225,Clean
LinearAnimator,6,6.4675495444726225,Clean
LinearAudioPitch,6,6.4675495444726225,Clean
LinearBlendshape,6,6.4675495444726225,Clean
LinearDisplacement,5,6.4675495444726225,Clean
LinearDrive,6,6.4675495444726225,Clean
LinearMapping,1,6.4675495444726225,Clean
Player,9,6.4675495444726225,Fault_proner
PlaySound,7,6.4675495444726225,Fault_proner
SeeThru,5,6.4675495444726225,Clean
SleepOnAwake,0,6.4675495444726225,Clean
SoundDeparent,1,6.4675495444726225,Clean
SoundPlayOneshot,8,6.4675495444726225,Fault_proner
SpawnAndAttachAfterControllerIsTracking,4,6.4675495444726225,Clean
SpawnAndAttachToHand,3,6.4675495444726225,Clean
SpawnRenderModel,5,6.4675495444726225,Clean
Throwable,6,6.4675495444726225,Clean
UIElement,5,6.4675495444726225,Clean
UIElementEditor,2,6.4675495444726225,Clean
Unparent,3,6.4675495444726225,Clean
Util,8,6.4675495444726225,Fault_proner
AfterTimer_Component,6,6.4675495444726225,Clean
VelocityEstimator,7,6.4675495444726225,Fault_proner
ControllerButtonHints,9,6.4675495444726225,Fault_proner
OffsetType,1,6.4675495444726225,Clean
ButtonHintInfo,3,6.4675495444726225,Clean
ArcheryTarget,6,6.4675495444726225,Clean
Arrow,8,6.4675495444726225,Fault_proner
ArrowHand,7,6.4675495444726225,Fault_proner
ArrowheadRotation,0,6.4675495444726225,Clean
Balloon,8,6.4675495444726225,Fault_proner
BalloonColor,1,6.4675495444726225,Clean
BalloonColliders,4,6.4675495444726225,Clean
BalloonHapticBump,2,6.4675495444726225,Clean
BalloonSpawner,7,6.4675495444726225,Fault_proner
ExplosionWobble,2,6.4675495444726225,Clean
FireSource,7,6.4675495444726225,Fault_proner
Longbow,8,6.4675495444726225,Fault_proner
