Component,Threshold,Cutoff,Status
PlayClubController,1,8.20746464499198,Clean
DynamicColliderRegistry,8,8.20746464499198,Clean
IDynamicBoneWrapper,3,8.20746464499198,Clean
DynamicBoneWrapper,4,8.20746464499198,Clean
DynamicBone_CustomWrapper,4,8.20746464499198,Clean
ImpersonationHandler,6,8.20746464499198,Clean
LookAtMeHandler,5,8.20746464499198,Clean
MaestroTool,6,8.20746464499198,Clean
PlayClubActor,8,8.20746464499198,Clean
PlayClubContext,4,8.20746464499198,Clean
PlayClubInterpreter,7,8.20746464499198,Clean
PlayClubSeatedMode,8,8.20746464499198,Clean
PlayClubSettings,2,8.20746464499198,Clean
PlayClubStandingMode,8,8.20746464499198,Clean
PlayClubVoiceCommand,3,8.20746464499198,Clean
PlayClubVR,5,8.20746464499198,Clean
PlayTool,7,8.20746464499198,Clean
TransientHead,7,8.20746464499198,Clean
OSPAudioVolumeManager,5,8.20746464499198,Clean
EyeTargetController,4,8.20746464499198,Clean
EyeTarget,3,8.20746464499198,Clean
IKCtrl,7,8.20746464499198,Clean
IKVisibility,1,8.20746464499198,Clean
IKState,1,8.20746464499198,Clean
IKTool,7,8.20746464499198,Clean
IKStateReactor,2,8.20746464499198,Clean
PlayClubStudioVR,5,8.20746464499198,Clean
ShisenCorrecter,4,8.20746464499198,Clean
StudioActor,3,8.20746464499198,Clean
StudioInterpreter,7,8.20746464499198,Clean
StudioSeatedMode,2,8.20746464499198,Clean
StudioStandingMode,3,8.20746464499198,Clean
GamePadHelper,3,8.20746464499198,Clean
GamePadClub,6,8.20746464499198,Clean
GamePadController,7,8.20746464499198,Clean
CameraHandler,6,8.20746464499198,Clean
GameControlHandler,5,8.20746464499198,Clean
MouseHandler,5,8.20746464499198,Clean
