Component,Threshold,Cutoff,Status
AccessModifer,1,8.183774813667881,Clean
AccessModifierExtensions,2,8.183774813667881,Clean
ArgumentDirection,1,8.183774813667881,Clean
ArgumentDirectionExtenstions,1,8.183774813667881,Clean
AssemblyData,10,8.183774813667881,Fault_proner
AssemblyDataComparer,2,8.183774813667881,Clean
CleanConstructor,8,8.183774813667881,Clean
CleanConstructors,2,8.183774813667881,Clean
CleanDetachedVariable,3,8.183774813667881,Clean
CleanEvent,6,8.183774813667881,Clean
CleanEvents,1,8.183774813667881,Clean
CleanField,2,8.183774813667881,Clean
CleanMethods,2,8.183774813667881,Clean
CleanArrayElement,4,8.183774813667881,Clean
CleanProperty,2,8.183774813667881,Clean
ShallowCollectionInfo,5,8.183774813667881,Clean
CollectionInfo,7,8.183774813667881,Clean
IContainerOfTypeMemberData,3,8.183774813667881,Clean
ITypeSystem,6,8.183774813667881,Clean
TypeDataProperties,2,8.183774813667881,Clean
IPartOfTest,3,8.183774813667881,Clean
CleanAssembly,4,8.183774813667881,Clean
OverloadResolutionParameterInfo,6,8.183774813667881,Clean
ParameterData,7,8.183774813667881,Clean
ParameterTypeData,5,8.183774813667881,Clean
CleanMethodContents,6,8.183774813667881,Clean
CleanArguments,8,8.183774813667881,Clean
CleanMembers,3,8.183774813667881,Clean
CleanReturnValue,4,8.183774813667881,Clean
TypeMemberData,10,8.183774813667881,Fault_proner
MemberRole,1,8.183774813667881,Clean
CleanArgument,4,8.183774813667881,Clean
CleanMember,7,8.183774813667881,Clean
MemberAccessType,1,8.183774813667881,Clean
CleanVariable,8,8.183774813667881,Clean
CleanType,5,8.183774813667881,Clean
TypeData,9,8.183774813667881,Fault_proner
CleanMethod,9,8.183774813667881,Fault_proner
IAssemblyCachesContainer,3,8.183774813667881,Clean
AssemblyCachesContainer,7,8.183774813667881,Clean
ClassFactoryData,2,8.183774813667881,Clean
AssemblyCache,6,8.183774813667881,Clean
FactoryTypesAssemblyCache,6,8.183774813667881,Clean
IFactoryTypesCache,3,8.183774813667881,Clean
FactoryTypesCache,7,8.183774813667881,Clean
IFactoryTypesProvider,1,8.183774813667881,Clean
FactoryTypesProvider,6,8.183774813667881,Clean
HierarchyMapperAssemblyCacheData,2,8.183774813667881,Clean
ProbingPathContainer,4,8.183774813667881,Clean
IAssemblyHierarchyMapperCache,3,8.183774813667881,Clean
AssemblyHierarchyMapperCache,6,8.183774813667881,Clean
IHierarchyMapperCache,4,8.183774813667881,Clean
HierarchyMapperCache,8,8.183774813667881,Clean
IMappedObjectsRepository,4,8.183774813667881,Clean
MappedObjectsRepository,7,8.183774813667881,Clean
IMethodSelector,1,8.183774813667881,Clean
MethodSelector,7,8.183774813667881,Clean
IShallowTypeRepository,4,8.183774813667881,Clean
ShallowTypeRepository,7,8.183774813667881,Clean
IReflectionBridge,5,8.183774813667881,Clean
ReflectionBridge,7,8.183774813667881,Clean
ITypeSystemClean,5,8.183774813667881,Clean
TypeSystemClean,7,8.183774813667881,Clean
ITypeIdProvider,4,8.183774813667881,Clean
TypeIdProvider,7,8.183774813667881,Clean
"ReadWriteCache<TKey,TValue>",4,8.183774813667881,Clean
IHierarchyMapper,4,8.183774813667881,Clean
HierarchyMapper,7,8.183774813667881,Clean
INumericResolver,3,8.183774813667881,Clean
