Component,Threshold,Cutoff,Status
BehaviorObscurable,4,5.582836363636363,Clean
BehaviorUnveiler,6,5.582836363636363,Fault_proner
BehaviorFingerScroll,2,5.582836363636363,Clean
Behavior,7,5.582836363636363,Fault_proner
BehaviorDraggable,7,5.582836363636363,Fault_proner
BehaviorDroppable,2,5.582836363636363,Clean
DroppedEventArgs,2,5.582836363636363,Clean
BehaviorUpdater,6,5.582836363636363,Fault_proner
EffectCssClass,6,5.582836363636363,Fault_proner
EffectFocusAndSelect,4,5.582836363636363,Clean
EffectHighlightText,4,5.582836363636363,Clean
EffectTimeout,2,5.582836363636363,Clean
EffectMove,8,5.582836363636363,Fault_proner
EffectSize,8,5.582836363636363,Fault_proner
EffectRollUp,6,5.582836363636363,Fault_proner
EffectRollDown,6,5.582836363636363,Fault_proner
EffectFadeOut,5,5.582836363636363,Clean
Effect,9,5.582836363636363,Fault_proner
Transition,0,5.582836363636363,Clean
EffectFadeIn,6,5.582836363636363,Fault_proner
EffectHighlight,4,5.582836363636363,Clean
EffectBorder,7,5.582836363636363,Fault_proner
IDisableableBehavior,1,5.582836363636363,Clean
ListItem,7,5.582836363636363,Fault_proner
ListItemCollection,8,5.582836363636363,Fault_proner
StyleCollection,7,5.582836363636363,Fault_proner
StyleValue,2,5.582836363636363,Clean
Styles,2,5.582836363636363,Clean
Button,6,5.582836363636363,Fault_proner
CheckBox,6,5.582836363636363,Fault_proner
LinkButton,7,5.582836363636363,Fault_proner
Panel,5,5.582836363636363,Clean
HiddenField,5,5.582836363636363,Clean
Image,3,5.582836363636363,Clean
RadioButton,6,5.582836363636363,Fault_proner
SelectList,9,5.582836363636363,Fault_proner
ImageButton,6,5.582836363636363,Fault_proner
Dynamic,7,5.582836363636363,Fault_proner
ReloadEventArgs,2,5.582836363636363,Clean
TextArea,8,5.582836363636363,Fault_proner
Label,5,5.582836363636363,Clean
RaControl,9,5.582836363636363,Fault_proner
RaWebControl,10,5.582836363636363,Fault_proner
TextBox,9,5.582836363636363,Fault_proner
TextBoxMode,0,5.582836363636363,Clean
CallbackFilter,6,5.582836363636363,Fault_proner
PostbackFilter,6,5.582836363636363,Fault_proner
WebMethod,0,5.582836363636363,Clean
IRaControl,1,5.582836363636363,Clean
AjaxManager,8,5.582836363636363,Fault_proner
