Component,Threshold,Cutoff,Status
AgentCore,8,8.086419753086421,Clean
AutoRelease,7,8.086419753086421,Clean
IConnect,1,8.086419753086421,Clean
Connect,6,8.086419753086421,Clean
ICore,6,8.086419753086421,Clean
IBinderProvider,2,8.086419753086421,Clean
CoreThreadRequestHandler,7,8.086419753086421,Clean
EventProvider,5,8.086419753086421,Clean
Loader,2,8.086419753086421,Clean
GhostMethodHandler,6,8.086419753086421,Clean
InterfaceProvider,3,8.086419753086421,Clean
IAgent,7,8.086419753086421,Clean
IEventProxyCreator,3,8.086419753086421,Clean
IProtocol,4,8.086419753086421,Clean
MemberMap,7,8.086419753086421,Clean
PackageRecorder,10,8.086419753086421,Fault_proner
NetworkMonitor,8,8.086419753086421,Clean
PackageReader<TPackage>,6,8.086419753086421,Clean
PackageWriter<TPackage>,6,8.086419753086421,Clean
ISocketReader,1,8.086419753086421,Clean
SocketBodyReader,7,8.086419753086421,Clean
SocketHeadReader,7,8.086419753086421,Clean
User,8,8.086419753086421,Clean
OfflineStage,7,8.086419753086421,Clean
OnlineStage,7,8.086419753086421,Clean
GenericEventClosure,5,8.086419753086421,Clean
GenericEventClosure<T1>,5,8.086419753086421,Clean
"GenericEventClosure<T1,T2>",5,8.086419753086421,Clean
"GenericEventClosure<T1,T2,T3>",5,8.086419753086421,Clean
"GenericEventClosure<T1,T2,T3,T4>",5,8.086419753086421,Clean
"GenericEventClosure<T1,T2,T3,T4,T5>",5,8.086419753086421,Clean
IGhostRequest,3,8.086419753086421,Clean
IOnline,2,8.086419753086421,Clean
Online,7,8.086419753086421,Clean
RequestPackage,4,8.086419753086421,Clean
ResponsePackage,4,8.086419753086421,Clean
TPackageData<TData>,2,8.086419753086421,Clean
PackageHelper,2,8.086419753086421,Clean
PackageUpdateProperty,4,8.086419753086421,Clean
PackageInvokeEvent,4,8.086419753086421,Clean
PackageErrorMethod,4,8.086419753086421,Clean
PackageReturnValue,4,8.086419753086421,Clean
PackageLoadSoulCompile,4,8.086419753086421,Clean
PackageLoadSoul,4,8.086419753086421,Clean
PackageUnloadSoul,4,8.086419753086421,Clean
PackageCallMethod,4,8.086419753086421,Clean
PackageRelease,2,8.086419753086421,Clean
PackageProtocolSubmit,2,8.086419753086421,Clean
IResponseQueue,2,8.086419753086421,Clean
IRequestQueue,2,8.086419753086421,Clean
ClientToServerOpCode,1,8.086419753086421,Clean
ServerToClientOpCode,1,8.086419753086421,Clean
ReturnValueQueue,6,8.086419753086421,Clean
ISoulBinder,5,8.086419753086421,Clean
SoulProvider,8,8.086419753086421,Clean
Soul,4,8.086419753086421,Clean
EventHandler,2,8.086419753086421,Clean
PropertyHandler,7,8.086419753086421,Clean
ITime,1,8.086419753086421,Clean
Time,7,8.086419753086421,Clean
IUserCommand,1,8.086419753086421,Clean
UserController<TUser>,8,8.086419753086421,Clean
TypeMethodCatcher,3,8.086419753086421,Clean
Config,4,8.086419753086421,Clean
EmptyArray<T>,0,8.086419753086421,Clean
IObjectPool,2,8.086419753086421,Clean
IObjectProvider,2,8.086419753086421,Clean
IRecycleable,1,8.086419753086421,Clean
ISocket,4,8.086419753086421,Clean
ISocketRecevieable,2,8.086419753086421,Clean
IPeer,5,8.086419753086421,Clean
IClient,2,8.086419753086421,Clean
IConnectable,3,8.086419753086421,Clean
IServer,3,8.086419753086421,Clean
ITime_duplicated,3,8.086419753086421,Clean
Time_duplicated,6,8.086419753086421,Clean
Line,9,8.086419753086421,Fault_proner
"ObjectFactory<TObject,TShell>",6,8.086419753086421,Clean
Resource,3,8.086419753086421,Clean
PeerTransmission,7,8.086419753086421,Clean
"ObjectPool<TShell,TObject>",6,8.086419753086421,Clean
CongestionRecorder,8,8.086419753086421,Clean
Item,8,8.086419753086421,Clean
Agent,8,8.086419753086421,Clean
ArrayCache<T>,5,8.086419753086421,Clean
BufferDispenser,8,8.086419753086421,Clean
PeerStatus,1,8.086419753086421,Clean
ISocketSendable,3,8.086419753086421,Clean
ISerialProvider,1,8.086419753086421,Clean
PackageRectifier,8,8.086419753086421,Clean
Socket,10,8.086419753086421,Fault_proner
PeerConnecter,8,8.086419753086421,Clean
PeerDisconnecter,6,8.086419753086421,Clean
PeerListener,8,8.086419753086421,Clean
RetransmissionTimeOut,7,8.086419753086421,Clean
SegmentStream,8,8.086419753086421,Clean
SocketMessageFactory,5,8.086419753086421,Clean
SocketMessageProvider,4,8.086419753086421,Clean
Task,6,8.086419753086421,Clean
WiringOperator,8,8.086419753086421,Clean
SocketRecevier,6,8.086419753086421,Clean
SocketSender,6,8.086419753086421,Clean
Timestamp,4,8.086419753086421,Clean
Host,9,8.086419753086421,Fault_proner
Logger,8,8.086419753086421,Clean
Command,3,8.086419753086421,Clean
PeerOperation,1,8.086419753086421,Clean
SocketMessageInternal,4,8.086419753086421,Clean
SocketMessage,10,8.086419753086421,Fault_proner
Peer,7,8.086419753086421,Clean
Client,7,8.086419753086421,Clean
Connecter,8,8.086419753086421,Clean
Server,8,8.086419753086421,Clean
UdpSocket,7,8.086419753086421,Clean
Connecter_duplicated,6,8.086419753086421,Clean
Server_duplicated,6,8.086419753086421,Clean
Peer_duplicated,9,8.086419753086421,Fault_proner
Client_duplicated,2,8.086419753086421,Clean
Driver<TCommand>,6,8.086419753086421,Clean
Record,2,8.086419753086421,Clean
History<TRecord>,4,8.086419753086421,Clean
ICommandProvidable,2,8.086419753086421,Clean
IPlayer,3,8.086419753086421,Clean
Player<T>,9,8.086419753086421,Fault_proner
