Component,Threshold,Cutoff,Status
Arm,8,8.382775119617225,Clean
Bone,8,8.382775119617225,Clean
BoneType,1,8.382775119617225,Clean
ClockCorrelator,7,8.382775119617225,Clean
Config,7,8.382775119617225,Clean
ValueType,1,8.382775119617225,Clean
Controller,9,8.382775119617225,Fault_proner
PolicyFlag,1,8.382775119617225,Clean
CSharpExtensions,4,8.382775119617225,Clean
Device,7,8.382775119617225,Clean
DeviceType,0,8.382775119617225,Clean
DeviceList,7,8.382775119617225,Clean
DistortionData,5,8.382775119617225,Clean
LeapEvent,1,8.382775119617225,Clean
LeapEventArgs,5,8.382775119617225,Clean
FrameEventArgs,5,8.382775119617225,Clean
ImageEventArgs,5,8.382775119617225,Clean
ImageRequestFailedEventArgs,7,8.382775119617225,Clean
LogEventArgs,5,8.382775119617225,Clean
PolicyEventArgs,4,8.382775119617225,Clean
DistortionEventArgs,5,8.382775119617225,Clean
ConfigChangeEventArgs,4,8.382775119617225,Clean
SetConfigResponseEventArgs,5,8.382775119617225,Clean
ConnectionEventArgs,3,8.382775119617225,Clean
ConnectionLostEventArgs,3,8.382775119617225,Clean
DeviceEventArgs,5,8.382775119617225,Clean
DeviceFailureEventArgs,4,8.382775119617225,Clean
FailedDevice,5,8.382775119617225,Clean
FailureType,1,8.382775119617225,Clean
FailedDeviceList,4,8.382775119617225,Clean
Finger,8,8.382775119617225,Clean
FingerType,1,8.382775119617225,Clean
Frame,7,8.382775119617225,Clean
Hand,8,8.382775119617225,Clean
IController,5,8.382775119617225,Clean
Image,8,8.382775119617225,Clean
FormatType,1,8.382775119617225,Clean
PerspectiveType,0,8.382775119617225,Clean
ImageType,1,8.382775119617225,Clean
RequestFailureReason,1,8.382775119617225,Clean
InteractionBox,7,8.382775119617225,Clean
Matrix,8,8.382775119617225,Clean
MessageSeverity,1,8.382775119617225,Clean
TimeBracket,3,8.382775119617225,Clean
TrackedQuad,6,8.382775119617225,Clean
Constants,3,8.382775119617225,Clean
Vector,9,8.382775119617225,Fault_proner
TestHandFactory,6,8.382775119617225,Clean
