Component,Threshold,Cutoff,Status
BundleConfig,1,6.161753590325018,Clean
FilterConfig,1,6.161753590325018,Clean
ApplicationUserManager,4,6.161753590325018,Clean
RouteConfig,1,6.161753590325018,Clean
Startup,6,6.161753590325018,Clean
WebApiConfig,1,6.161753590325018,Clean
WebApiApplication,1,6.161753590325018,Clean
ApiDescriptionExtensions,0,6.161753590325018,Clean
HelpPageConfig,2,6.161753590325018,Clean
HelpPageAreaRegistration,2,6.161753590325018,Clean
HelpPageConfigurationExtensions,6,6.161753590325018,Clean
HelpPageSampleGenerator,7,6.161753590325018,Fault_proner
HelpPageSampleKey,7,6.161753590325018,Fault_proner
ImageSample,5,6.161753590325018,Clean
InvalidSample,5,6.161753590325018,Clean
ObjectGenerator,6,6.161753590325018,Clean
SimpleTypeObjectGenerator,5,6.161753590325018,Clean
SampleDirection,1,6.161753590325018,Clean
TextSample,5,6.161753590325018,Clean
XmlDocumentationProvider,6,6.161753590325018,Clean
HelpController,7,6.161753590325018,Fault_proner
CollectionModelDescription,3,6.161753590325018,Clean
ComplexTypeModelDescription,3,6.161753590325018,Clean
DictionaryModelDescription,2,6.161753590325018,Clean
EnumTypeModelDescription,3,6.161753590325018,Clean
EnumValueDescription,2,6.161753590325018,Clean
IModelDocumentationProvider,3,6.161753590325018,Clean
KeyValuePairModelDescription,4,6.161753590325018,Clean
ModelDescription,3,6.161753590325018,Clean
ModelDescriptionGenerator,8,6.161753590325018,Fault_proner
ModelNameAttribute,2,6.161753590325018,Clean
ModelNameHelper,2,6.161753590325018,Clean
ParameterAnnotation,1,6.161753590325018,Clean
ParameterDescription,2,6.161753590325018,Clean
SimpleTypeModelDescription,2,6.161753590325018,Clean
HelpPageApiModel,6,6.161753590325018,Clean
AccountController,7,6.161753590325018,Fault_proner
ExternalLoginData,6,6.161753590325018,Clean
RandomOAuthStateGenerator,2,6.161753590325018,Clean
FasController,5,6.161753590325018,Clean
HomeController,1,6.161753590325018,Clean
SecsController,5,6.161753590325018,Clean
ValuesController,4,6.161753590325018,Clean
Fa,2,6.161753590325018,Clean
Sec,2,6.161753590325018,Clean
UserViewModel,1,6.161753590325018,Clean
addUserViewModel,5,6.161753590325018,Clean
corexttable,4,6.161753590325018,Clean
Configuration,3,6.161753590325018,Clean
AddExternalLoginBindingModel,2,6.161753590325018,Clean
ChangePasswordBindingModel,2,6.161753590325018,Clean
RegisterBindingModel,2,6.161753590325018,Clean
RegisterExternalBindingModel,2,6.161753590325018,Clean
RemoveLoginBindingModel,2,6.161753590325018,Clean
SetPasswordBindingModel,2,6.161753590325018,Clean
ExternalLoginViewModel,2,6.161753590325018,Clean
ManageInfoViewModel,2,6.161753590325018,Clean
UserInfoViewModel,2,6.161753590325018,Clean
UserLoginInfoViewModel,1,6.161753590325018,Clean
ApplicationUser,1,6.161753590325018,Clean
ApplicationDbContext,4,6.161753590325018,Clean
ApplicationOAuthProvider,7,6.161753590325018,Fault_proner
ChallengeResult,4,6.161753590325018,Clean
