Component,Threshold,Cutoff,Status
BinaryPropertyDeserializer,7,7.856595892794989,Clean
BinaryPropertySerializer,7,7.856595892794989,Clean
PropertyCache,2,7.856595892794989,Clean
SizeOptimizedBinaryReader,7,7.856595892794989,Clean
BurstBinaryReader,7,7.856595892794989,Clean
BurstBinaryWriter,7,7.856595892794989,Clean
PropertyProvider,8,7.856595892794989,Fault_proner
PropertiesToIgnore,7,7.856595892794989,Clean
TypePropertiesToIgnore,3,7.856595892794989,Clean
TypePropertiesToIgnoreCollection,3,7.856595892794989,Clean
DefaultXmlReader,7,7.856595892794989,Clean
XmlPropertyDeserializer,7,7.856595892794989,Clean
XmlPropertySerializer,7,7.856595892794989,Clean
SizeOptimizedBinaryWriter,7,7.856595892794989,Clean
ByteWriteCommand,3,7.856595892794989,Clean
NumberWriteCommand,3,7.856595892794989,Clean
NumbersWriteCommand,3,7.856595892794989,Clean
ValueWriteCommand,3,7.856595892794989,Clean
WriteCommand,1,7.856595892794989,Clean
DefaultXmlWriter,7,7.856595892794989,Clean
TypeNameConverter,7,7.856595892794989,Clean
SimpleValueConverter,6,7.856595892794989,Clean
ArrayAnalyzer,7,7.856595892794989,Clean
ArrayInfo,3,7.856595892794989,Clean
DefaultInitializer,4,7.856595892794989,Clean
CreatingInstanceException,2,7.856595892794989,Clean
DeserializingException,3,7.856595892794989,Clean
Tools,5,7.856595892794989,Clean
SimpleValueParsingException,2,7.856595892794989,Clean
Property,8,7.856595892794989,Fault_proner
ReferenceTargetProperty,7,7.856595892794989,Clean
ReferenceInfo,3,7.856595892794989,Clean
NullProperty,4,7.856595892794989,Clean
PropertyCollection,5,7.856595892794989,Clean
SimpleProperty,6,7.856595892794989,Clean
ComplexProperty,9,7.856595892794989,Fault_proner
CollectionProperty,8,7.856595892794989,Fault_proner
DictionaryProperty,8,7.856595892794989,Fault_proner
SingleDimensionalArrayProperty,8,7.856595892794989,Fault_proner
MultiDimensionalArrayProperty,8,7.856595892794989,Fault_proner
MultiDimensionalArrayItem,2,7.856595892794989,Clean
DimensionInfo,2,7.856595892794989,Clean
KeyValueItem,2,7.856595892794989,Clean
PropertyArt,1,7.856595892794989,Clean
SharpSerializerSettings<T>,3,7.856595892794989,Clean
AdvancedSharpSerializerXmlSettings,3,7.856595892794989,Clean
AdvancedSharpSerializerBinarySettings,2,7.856595892794989,Clean
AdvancedSharpSerializerSettings,5,7.856595892794989,Clean
BinarySerializationMode,1,7.856595892794989,Clean
SharpSerializerBinarySettings,3,7.856595892794989,Clean
SharpSerializerXmlSettings,2,7.856595892794989,Clean
ExcludeFromSerializationAttribute,0,7.856595892794989,Clean
SharpSerializer,8,7.856595892794989,Fault_proner
Elements,5,7.856595892794989,Clean
SubElements,2,7.856595892794989,Clean
Attributes,3,7.856595892794989,Clean
NumberSize,3,7.856595892794989,Clean
IndexGenerator<T>,2,7.856595892794989,Clean
BinaryReaderTools,5,7.856595892794989,Clean
BinaryWriterTools,5,7.856595892794989,Clean
ISimpleValueConverter,2,7.856595892794989,Clean
IXmlReader,4,7.856595892794989,Clean
IXmlWriter,5,7.856595892794989,Clean
IBinaryReader,5,7.856595892794989,Clean
IBinaryWriter,5,7.856595892794989,Clean
PropertyTypeInfo<TProperty>,3,7.856595892794989,Clean
TypeInfoCollection,0,7.856595892794989,Clean
PropertyFactory,7,7.856595892794989,Clean
TypeInfo,8,7.856595892794989,Fault_proner
ITypeNameConverter,2,7.856595892794989,Clean
IPropertySerializer,3,7.856595892794989,Clean
PropertySerializer,7,7.856595892794989,Clean
Elements_duplicated,3,7.856595892794989,Clean
SubElements_duplicated,3,7.856595892794989,Clean
Attributes_duplicated,4,7.856595892794989,Clean
IPropertyDeserializer,3,7.856595892794989,Clean
ObjectFactory,5,7.856595892794989,Clean
MultiDimensionalArrayCreatingInfo,1,7.856595892794989,Clean
