Component,Threshold,Cutoff,Status
BundleConfig,1,6.1376,Clean
FilterConfig,1,6.1376,Clean
RouteConfig,1,6.1376,Clean
Startup,3,6.1376,Clean
WebApiConfig,1,6.1376,Clean
MvcApplication,1,6.1376,Clean
AccountController,7,6.1376,Fault_proner
ManageMessageId,1,6.1376,Clean
ChallengeResult,5,6.1376,Clean
ChartsController,6,6.1376,Clean
HomeController,4,6.1376,Clean
RankingController,7,6.1376,Fault_proner
UserController,7,6.1376,Fault_proner
initial,5,6.1376,Clean
WinFirst,4,6.1376,Clean
Configuration,3,6.1376,Clean
ExternalLoginConfirmationViewModel,2,6.1376,Clean
ManageUserViewModel,2,6.1376,Clean
LoginViewModel,2,6.1376,Clean
RegisterViewModel,2,6.1376,Clean
ApplicationUser,1,6.1376,Clean
ApplicationDbContext,0,6.1376,Clean
Ranking,3,6.1376,Clean
SickFridayDB,2,6.1376,Clean
User,2,6.1376,Clean
