Component,Threshold,Cutoff,Status
SimhoppConsole,6,7.48936170212766,Clean
HandleClient,2,7.48936170212766,Clean
ServerObjectData,1,7.48936170212766,Clean
ClientObjectData,2,7.48936170212766,Clean
MsgBox,1,7.48936170212766,Clean
Program,1,7.48936170212766,Clean
Server,6,7.48936170212766,Clean
Simhopp,8,7.48936170212766,Fault_proner
Contest,8,7.48936170212766,Fault_proner
DatabaseController,7,7.48936170212766,Clean
ISimhopp,3,7.48936170212766,Clean
JumpResult,6,7.48936170212766,Clean
Participant,8,7.48936170212766,Fault_proner
Diver,2,7.48936170212766,Clean
Judge,6,7.48936170212766,Clean
Person,5,7.48936170212766,Clean
Trick,3,7.48936170212766,Clean
TrickList,7,7.48936170212766,Clean
PresenterStartScreen,6,7.48936170212766,Clean
IStartScreen,1,7.48936170212766,Clean
