Component,Threshold,Cutoff,Status
BasicFeedForwardNeuralNetwork,6,7.565421329822252,Clean
FeatureScaler,6,7.565421329822252,Clean
FeatureScalingParameters,2,7.565421329822252,Clean
FunctionMinimizer,7,7.565421329822252,Clean
GradientDescentOptimizer,7,7.565421329822252,Clean
HypothesisCalculatorUtilities,0,7.565421329822252,Clean
ICostFunctionCalculator,2,7.565421329822252,Clean
IHypothesisCalculator,2,7.565421329822252,Clean
ICostFunctionGradientCalculator,3,7.565421329822252,Clean
LoggingUtilities,3,7.565421329822252,Clean
LogisticRegressionCostFunctionCalculator,6,7.565421329822252,Clean
LogisticRegressionErrorRateCalculator,5,7.565421329822252,Clean
LogisticRegressionHypothesisCalculator,5,7.565421329822252,Clean
MatrixRandomizer,0,7.565421329822252,Clean
MatrixUtilities,5,7.565421329822252,Clean
MetricsUtilities,5,7.565421329822252,Clean
MultivariateLinearRegressionCostFunctionCalculator,6,7.565421329822252,Clean
MultivariateLinearRegressionHypothesisCalculator,6,7.565421329822252,Clean
NullApplicationLogger,3,7.565421329822252,Clean
PolynomialFeatureGenerator,6,7.565421329822252,Clean
TrainingDataProcessorArgumentValidator,4,7.565421329822252,Clean
CostHistoryItem,2,7.565421329822252,Clean
Matrix,7,7.565421329822252,Clean
MatrixCsvReader,6,7.565421329822252,Clean
MnistImageFileReader,6,7.565421329822252,Clean
MnistLabelFileReader,5,7.565421329822252,Clean
Program,5,7.565421329822252,Clean
ContainerObjectXmlSerializer,5,7.565421329822252,Clean
