Component,Threshold,Cutoff,Status
AAMode,1,7.4153480015402655,Clean
Antialiasing,8,7.4153480015402655,Fault_proner
Bloom,8,7.4153480015402655,Fault_proner
LensFlareStyle,1,7.4153480015402655,Clean
TweakMode,1,7.4153480015402655,Clean
HDRBloomMode,1,7.4153480015402655,Clean
BloomScreenBlendMode,1,7.4153480015402655,Clean
BloomQuality,1,7.4153480015402655,Clean
LensflareStyle34,1,7.4153480015402655,Clean
TweakMode34,1,7.4153480015402655,Clean
BloomAndFlares,7,7.4153480015402655,Clean
BloomOptimized,7,7.4153480015402655,Clean
Resolution,1,7.4153480015402655,Clean
BlurType,1,7.4153480015402655,Clean
Blur,6,7.4153480015402655,Clean
BlurOptimized,8,7.4153480015402655,Fault_proner
CameraMotionBlur,7,7.4153480015402655,Clean
MotionBlurFilter,1,7.4153480015402655,Clean
ColorCorrectionCurves,8,7.4153480015402655,Fault_proner
ColorCorrectionMode,1,7.4153480015402655,Clean
ColorCorrectionLookup,7,7.4153480015402655,Clean
ColorCorrectionRamp,1,7.4153480015402655,Clean
ContrastEnhance,4,7.4153480015402655,Clean
ContrastStretch,6,7.4153480015402655,Clean
CreaseShading,5,7.4153480015402655,Clean
DepthOfField,7,7.4153480015402655,Clean
BlurSampleCount,1,7.4153480015402655,Clean
DepthOfFieldDeprecated,7,7.4153480015402655,Clean
Dof34QualitySetting,1,7.4153480015402655,Clean
DofResolution,1,7.4153480015402655,Clean
DofBlurriness,1,7.4153480015402655,Clean
BokehDestination,1,7.4153480015402655,Clean
EdgeDetection,7,7.4153480015402655,Clean
EdgeDetectMode,1,7.4153480015402655,Clean
Fisheye,3,7.4153480015402655,Clean
GlobalFog,6,7.4153480015402655,Clean
Grayscale,2,7.4153480015402655,Clean
ImageEffectBase,5,7.4153480015402655,Clean
ImageEffects,3,7.4153480015402655,Clean
MotionBlur,7,7.4153480015402655,Clean
NoiseAndGrain,6,7.4153480015402655,Clean
NoiseAndScratches,6,7.4153480015402655,Clean
PostEffectsBase,7,7.4153480015402655,Clean
PostEffectsHelper,3,7.4153480015402655,Clean
Quads,5,7.4153480015402655,Clean
ScreenOverlay,5,7.4153480015402655,Clean
OverlayBlendMode,1,7.4153480015402655,Clean
ScreenSpaceAmbientObscurance,6,7.4153480015402655,Clean
ScreenSpaceAmbientOcclusion,6,7.4153480015402655,Clean
SSAOSamples,1,7.4153480015402655,Clean
SepiaTone,1,7.4153480015402655,Clean
SunShafts,6,7.4153480015402655,Clean
SunShaftsResolution,1,7.4153480015402655,Clean
ShaftsScreenBlendMode,1,7.4153480015402655,Clean
TiltShift,6,7.4153480015402655,Clean
TiltShiftMode,1,7.4153480015402655,Clean
TiltShiftQuality,1,7.4153480015402655,Clean
Tonemapping,8,7.4153480015402655,Fault_proner
TonemapperType,1,7.4153480015402655,Clean
AdaptiveTexSize,1,7.4153480015402655,Clean
Triangles,3,7.4153480015402655,Clean
Twirl,4,7.4153480015402655,Clean
VignetteAndChromaticAberration,6,7.4153480015402655,Clean
AberrationMode,1,7.4153480015402655,Clean
Vortex,4,7.4153480015402655,Clean
GizmoType,1,7.4153480015402655,Clean
GizmoTypeDrawer,1,7.4153480015402655,Clean
IPunObservable,0,7.4153480015402655,Clean
IPunCallbacks,3,7.4153480015402655,Clean
IPunPrefabPool,0,7.4153480015402655,Clean
MonoBehaviour,3,7.4153480015402655,Clean
PunBehaviour,6,7.4153480015402655,Clean
PhotonMessageInfo,4,7.4153480015402655,Clean
PunEvent,2,7.4153480015402655,Clean
PhotonStream,6,7.4153480015402655,Clean
HelpURL,0,7.4153480015402655,Clean
EditorSceneManager,3,7.4153480015402655,Clean
SceneManager,1,7.4153480015402655,Clean
SceneManagerHelper,1,7.4153480015402655,Clean
WebRpcResponse,2,7.4153480015402655,Clean
IPunObservable_duplicated,0,7.4153480015402655,Clean
IPunCallbacks_duplicated,3,7.4153480015402655,Clean
IPunPrefabPool_duplicated,0,7.4153480015402655,Clean
MonoBehaviour_duplicated,2,7.4153480015402655,Clean
PunBehaviour_duplicated,5,7.4153480015402655,Clean
PhotonMessageInfo_duplicated,4,7.4153480015402655,Clean
PunEvent_duplicated,2,7.4153480015402655,Clean
PhotonStream_duplicated,6,7.4153480015402655,Clean
HelpURL_duplicated,0,7.4153480015402655,Clean
EditorSceneManager_duplicated,3,7.4153480015402655,Clean
SceneManager_duplicated,1,7.4153480015402655,Clean
SceneManagerHelper_duplicated,1,7.4153480015402655,Clean
WebRpcResponse_duplicated,2,7.4153480015402655,Clean
IPunObservable_duplicated_duplicated,0,7.4153480015402655,Clean
IPunCallbacks_duplicated_duplicated,3,7.4153480015402655,Clean
IPunPrefabPool_duplicated_duplicated,0,7.4153480015402655,Clean
MonoBehaviour_duplicated_duplicated,2,7.4153480015402655,Clean
PunBehaviour_duplicated_duplicated,5,7.4153480015402655,Clean
PhotonMessageInfo_duplicated_duplicated,4,7.4153480015402655,Clean
PunEvent_duplicated_duplicated,2,7.4153480015402655,Clean
PhotonStream_duplicated_duplicated,6,7.4153480015402655,Clean
HelpURL_duplicated_duplicated,0,7.4153480015402655,Clean
EditorSceneManager_duplicated_duplicated,3,7.4153480015402655,Clean
SceneManager_duplicated_duplicated,2,7.4153480015402655,Clean
SceneManagerHelper_duplicated_duplicated,1,7.4153480015402655,Clean
WebRpcResponse_duplicated_duplicated,2,7.4153480015402655,Clean
SocketUdp,4,7.4153480015402655,Clean
PlayerRoomIndexing,9,7.4153480015402655,Fault_proner
PlayerRoomIndexingExtensions,1,7.4153480015402655,Clean
ButtonInsideScrollList,2,7.4153480015402655,Clean
TextButtonTransition,4,7.4153480015402655,Clean
TextToggleIsOnTransition,5,7.4153480015402655,Clean
TimeKeeper,2,7.4153480015402655,Clean
ChatChannel,8,7.4153480015402655,Fault_proner
ChatClient,8,7.4153480015402655,Fault_proner
ChatDisconnectCause,1,7.4153480015402655,Clean
ChatEventCode,3,7.4153480015402655,Clean
ChatOperationCode,3,7.4153480015402655,Clean
ChatParameterCode,3,7.4153480015402655,Clean
ChatPeer,9,7.4153480015402655,Fault_proner
CustomAuthenticationType,1,7.4153480015402655,Clean
AuthenticationValues,7,7.4153480015402655,Clean
ParameterCode,3,7.4153480015402655,Clean
ErrorCode,4,7.4153480015402655,Clean
ChatState,1,7.4153480015402655,Clean
ChatUserStatus,2,7.4153480015402655,Clean
IChatClientListener,5,7.4153480015402655,Clean
BaseController,7,7.4153480015402655,Clean
BetterToggle,1,7.4153480015402655,Clean
ChangePOV,6,7.4153480015402655,Clean
CharacterInstantiation,1,7.4153480015402655,Clean
FirstPersonController,6,7.4153480015402655,Clean
Highlighter,5,7.4153480015402655,Clean
OrthographicController,4,7.4153480015402655,Clean
PushToTalkPrivateButton,8,7.4153480015402655,Fault_proner
PushToTalkScript,7,7.4153480015402655,Clean
ThirdPersonController,3,7.4153480015402655,Clean
VoiceDemoUI,7,7.4153480015402655,Clean
AxisTouchButton,7,7.4153480015402655,Clean
CrossPlatformInputManager,8,7.4153480015402655,Fault_proner
ActiveInputMethod,1,7.4153480015402655,Clean
VirtualAxis,4,7.4153480015402655,Clean
VirtualButton,7,7.4153480015402655,Clean
InputAxisScrollbar,1,7.4153480015402655,Clean
Joystick,7,7.4153480015402655,Clean
AxisOption,1,7.4153480015402655,Clean
MobileControlRig,3,7.4153480015402655,Clean
TouchPad,7,7.4153480015402655,Clean
ControlStyle,1,7.4153480015402655,Clean
VirtualInput,9,7.4153480015402655,Fault_proner
MobileInput,6,7.4153480015402655,Clean
StandaloneInput,5,7.4153480015402655,Clean
BodyCollider,0,7.4153480015402655,Clean
CircularDrive,6,7.4153480015402655,Clean
Axis_t,0,7.4153480015402655,Clean
ComplexThrowable,6,7.4153480015402655,Clean
AttachMode,1,7.4153480015402655,Clean
ControllerHoverHighlight,7,7.4153480015402655,Clean
CustomEvents,0,7.4153480015402655,Clean
UnityEventSingleFloat,0,7.4153480015402655,Clean
UnityEventHand,1,7.4153480015402655,Clean
DebugUI,2,7.4153480015402655,Clean
DestroyOnDetachedFromHand,1,7.4153480015402655,Clean
DestroyOnParticleSystemDeath,0,7.4153480015402655,Clean
DestroyOnTriggerEnter,0,7.4153480015402655,Clean
DistanceHaptics,2,7.4153480015402655,Clean
DontDestroyOnLoad,0,7.4153480015402655,Clean
EnumFlags,1,7.4153480015402655,Clean
EnumFlagsPropertyDrawer,0,7.4153480015402655,Clean
FallbackCameraController,5,7.4153480015402655,Clean
Hand,9,7.4153480015402655,Fault_proner
HandType,1,7.4153480015402655,Clean
AttachmentFlags,1,7.4153480015402655,Clean
AttachedObject,3,7.4153480015402655,Clean
HandEditor,2,7.4153480015402655,Clean
HapticRack,6,7.4153480015402655,Clean
HideOnHandFocusLost,1,7.4153480015402655,Clean
IgnoreHovering,1,7.4153480015402655,Clean
InputModule,6,7.4153480015402655,Clean
Interactable,2,7.4153480015402655,Clean
InteractableButtonEvents,5,7.4153480015402655,Clean
InteractableHoverEvents,4,7.4153480015402655,Clean
ItemPackage,4,7.4153480015402655,Clean
ItemPackageType,1,7.4153480015402655,Clean
ItemPackageReference,2,7.4153480015402655,Clean
ItemPackageSpawner,7,7.4153480015402655,Clean
LinearAnimation,5,7.4153480015402655,Clean
