Component,Threshold,Cutoff,Status
IWait,3,8.851249640907785,Clean
Wait,3,8.851249640907785,Clean
CapabilitiesBuilder,8,8.851249640907785,Clean
CapabilitiesExtensions,7,8.851249640907785,Clean
ICapabilitiesBuilder,5,8.851249640907785,Clean
RemoteCapabilityType,2,8.851249640907785,Clean
Default,3,8.851249640907785,Clean
BrowserStack,3,8.851249640907785,Clean
BrowserConfiguration,8,8.851249640907785,Clean
BrowserConfigurationParser,9,8.851249640907785,Fault_proner
BrowserHost,9,8.851249640907785,Fault_proner
BrowserHostFactory,9,8.851249640907785,Fault_proner
ConfigurationProvider,3,8.851249640907785,Clean
Constants,2,8.851249640907785,Clean
DateTimeProvider,2,8.851249640907785,Clean
IBrowserConfigurationParser,2,8.851249640907785,Clean
IBrowserHost,5,8.851249640907785,Clean
IBrowserHostFactory,5,8.851249640907785,Clean
IConfigurationProvider,3,8.851249640907785,Clean
IDateTimeProvider,3,8.851249640907785,Clean
InvalidDesktopResolution,2,8.851249640907785,Clean
PrivateLocalServer,8,8.851249640907785,Clean
RemoteBrowserConfigurator,7,8.851249640907785,Clean
TestSpecification,3,8.851249640907785,Clean
EnumerableExtensions,1,8.851249640907785,Clean
BoDiExtensions,4,8.851249640907785,Clean
CategorySelection,7,8.851249640907785,Clean
CodeAttributeDeclarationExtensions,5,8.851249640907785,Clean
EnumExtensions,4,8.851249640907785,Clean
PageProvider,7,8.851249640907785,Clean
SelenoExtensions,3,8.851249640907785,Clean
TypeExtensions,3,8.851249640907785,Clean
WebDriverExtensions,4,8.851249640907785,Clean
IBrowserStackTunnel,5,8.851249640907785,Clean
BrowserStackTunnel,10,8.851249640907785,Fault_proner
BrowserStackLocalServer,9,8.851249640907785,Fault_proner
IBrowserStackLocalServer,5,8.851249640907785,Clean
LocalState,1,8.851249640907785,Clean
IProcess,5,8.851249640907785,Clean
ProcessWrapper,8,8.851249640907785,Clean
BrowserStackService,8,8.851249640907785,Clean
IBrowserStackService,5,8.851249640907785,Clean
Disposable,7,8.851249640907785,Clean
NUnitAttributeConstants,4,8.851249640907785,Clean
TestResultNotifier,8,8.851249640907785,Clean
BrowserEnum,1,8.851249640907785,Clean
InvalidBrowserConfigurationException,2,8.851249640907785,Clean
UnsupportedBrowserException,3,8.851249640907785,Clean
IResponsiveComponent,2,8.851249640907785,Clean
Page,4,8.851249640907785,Clean
UiComponent,7,8.851249640907785,Clean
HttpClientFactory,9,8.851249640907785,Fault_proner
HttpClientWrapper,8,8.851249640907785,Clean
IHttpClient,4,8.851249640907785,Clean
IHttpClientFactory,2,8.851249640907785,Clean
AutomationSession,3,8.851249640907785,Clean
SessionDetail,3,8.851249640907785,Clean
SessionStatus,1,8.851249640907785,Clean
SessionUpdate,4,8.851249640907785,Clean
