Component,Threshold,Cutoff,Status
Constants,5,7.7378701953371145,Clean
Attribute,4,7.7378701953371145,Clean
ContentModel,1,7.7378701953371145,Clean
HtmlEntities,6,7.7378701953371145,Clean
HtmlReader,8,7.7378701953371145,Fault_proner
Token,6,7.7378701953371145,Clean
InsertionMode,1,7.7378701953371145,Clean
CurrentTokenizerTokenState,1,7.7378701953371145,Clean
Tokenizer,8,7.7378701953371145,Fault_proner
HtmlTextReader,8,7.7378701953371145,Fault_proner
HtmlTextTokenizer,9,7.7378701953371145,Fault_proner
ParsingFunction,1,7.7378701953371145,Clean
TokenState,1,7.7378701953371145,Clean
EntityNameCharacter,3,7.7378701953371145,Clean
HtmlTokenizer,7,7.7378701953371145,Clean
HtmlWrappingTokenizer,7,7.7378701953371145,Clean
ParseErrorEventArgs,3,7.7378701953371145,Clean
CompatibilityMode,1,7.7378701953371145,Clean
MetaDetector,3,7.7378701953371145,Clean
PreambleDetector,2,7.7378701953371145,Clean
SeekableReadOnlyStream,6,7.7378701953371145,Clean
StreamChain,5,7.7378701953371145,Clean
Resources,1,7.7378701953371145,Clean
