Component,Threshold,Cutoff,Status
SetRoomRotationUsingHead,4,7.285858185037085,Clean
AnalogInterface,4,7.285858185037085,Clean
ButtonInterface,4,7.285858185037085,Clean
ClientKit,6,7.285858185037085,Clean
DirectionInterface,6,7.285858185037085,Clean
DisplayController,7,7.285858185037085,Clean
DLLSearchPathFixer,5,7.285858185037085,Clean
PathTools,1,7.285858185037085,Clean
EyeTracker2DInterface,4,7.285858185037085,Clean
EyeTracker3DInterface,4,7.285858185037085,Clean
EyeTrackerBlinkInterface,4,7.285858185037085,Clean
GetParent,1,7.285858185037085,Clean
ImagingInterface,4,7.285858185037085,Clean
InterfaceBase,1,7.285858185037085,Clean
InterfaceCallbacks,6,7.285858185037085,Clean
InterfaceGameObject,5,7.285858185037085,Clean
Location2DInterface,4,7.285858185037085,Clean
Math,4,7.285858185037085,Clean
NaviPositionInterface,4,7.285858185037085,Clean
NaviVelocityInterface,4,7.285858185037085,Clean
OrientationInterface,6,7.285858185037085,Clean
OsvrCharacterMotor,6,7.285858185037085,Clean
OsvrCharacterMotorMovement,3,7.285858185037085,Clean
OsvrCharacterMotorJumping,3,7.285858185037085,Clean
OsvrInputController,2,7.285858185037085,Clean
OsvrMirrorDisplay,5,7.285858185037085,Clean
OsvrMouseLook,4,7.285858185037085,Clean
RotationAxes,0,7.285858185037085,Clean
OsvrRenderManager,7,7.285858185037085,Clean
OSVR_ProjectionMatrix,2,7.285858185037085,Clean
OSVR_ViewportDescription,2,7.285858185037085,Clean
OsvrUnityNativeVR,7,7.285858185037085,Clean
StereoRigSetup,0,7.285858185037085,Clean
PoseInterface,6,7.285858185037085,Clean
PositionInterface,6,7.285858185037085,Clean
RequiresAnalogInterface,2,7.285858185037085,Clean
RequiresButtonInterface,2,7.285858185037085,Clean
RequiresDirectionInterface,2,7.285858185037085,Clean
RequiresEyeTracker2DInterface,2,7.285858185037085,Clean
RequiresEyeTracker3DInterface,2,7.285858185037085,Clean
RequiresEyeTrackerBlinkInterface,2,7.285858185037085,Clean
RequiresImagingInterface,2,7.285858185037085,Clean
RequiresNaviPositionInterface,2,7.285858185037085,Clean
RequiresNaviVelocityInterface,2,7.285858185037085,Clean
RequiresOrientationInterface,2,7.285858185037085,Clean
RequiresPoseInterface,2,7.285858185037085,Clean
RequiresPositionInterface,2,7.285858185037085,Clean
SkeletonInterface,7,7.285858185037085,Clean
PostRotationType,0,7.285858185037085,Clean
VREye,7,7.285858185037085,Clean
VRSurface,8,7.285858185037085,Fault_proner
VRViewer,7,7.285858185037085,Clean
AutoRecenter,2,7.285858185037085,Clean
SetRoomRotationUsingHead_duplicated,4,7.285858185037085,Clean
AnalogInterface_duplicated,4,7.285858185037085,Clean
ButtonInterface_duplicated,4,7.285858185037085,Clean
ClientKit_duplicated,6,7.285858185037085,Clean
DirectionInterface_duplicated,6,7.285858185037085,Clean
DisplayController_duplicated,7,7.285858185037085,Clean
DLLSearchPathFixer_duplicated,5,7.285858185037085,Clean
PathTools_duplicated,1,7.285858185037085,Clean
EyeTracker2DInterface_duplicated,4,7.285858185037085,Clean
EyeTracker3DInterface_duplicated,4,7.285858185037085,Clean
EyeTrackerBlinkInterface_duplicated,4,7.285858185037085,Clean
GetParent_duplicated,1,7.285858185037085,Clean
ImagingInterface_duplicated,4,7.285858185037085,Clean
InterfaceBase_duplicated,1,7.285858185037085,Clean
InterfaceCallbacks_duplicated,6,7.285858185037085,Clean
InterfaceGameObject_duplicated,5,7.285858185037085,Clean
Location2DInterface_duplicated,4,7.285858185037085,Clean
Math_duplicated,4,7.285858185037085,Clean
NaviPositionInterface_duplicated,4,7.285858185037085,Clean
NaviVelocityInterface_duplicated,4,7.285858185037085,Clean
OrientationInterface_duplicated,6,7.285858185037085,Clean
OsvrCharacterMotor_duplicated,6,7.285858185037085,Clean
OsvrCharacterMotorMovement_duplicated,3,7.285858185037085,Clean
OsvrCharacterMotorJumping_duplicated,3,7.285858185037085,Clean
OsvrInputController_duplicated,2,7.285858185037085,Clean
OsvrMirrorDisplay_duplicated,5,7.285858185037085,Clean
OsvrMouseLook_duplicated,4,7.285858185037085,Clean
RotationAxes_duplicated,0,7.285858185037085,Clean
OsvrRenderManager_duplicated,7,7.285858185037085,Clean
OSVR_ProjectionMatrix_duplicated,2,7.285858185037085,Clean
OSVR_ViewportDescription_duplicated,2,7.285858185037085,Clean
OsvrUnityNativeVR_duplicated,7,7.285858185037085,Clean
StereoRigSetup_duplicated,0,7.285858185037085,Clean
PoseInterface_duplicated,6,7.285858185037085,Clean
PositionInterface_duplicated,6,7.285858185037085,Clean
RequiresAnalogInterface_duplicated,2,7.285858185037085,Clean
RequiresButtonInterface_duplicated,2,7.285858185037085,Clean
RequiresDirectionInterface_duplicated,2,7.285858185037085,Clean
RequiresEyeTracker2DInterface_duplicated,2,7.285858185037085,Clean
RequiresEyeTracker3DInterface_duplicated,2,7.285858185037085,Clean
RequiresEyeTrackerBlinkInterface_duplicated,2,7.285858185037085,Clean
RequiresImagingInterface_duplicated,2,7.285858185037085,Clean
RequiresNaviPositionInterface_duplicated,2,7.285858185037085,Clean
RequiresNaviVelocityInterface_duplicated,2,7.285858185037085,Clean
RequiresOrientationInterface_duplicated,2,7.285858185037085,Clean
RequiresPoseInterface_duplicated,2,7.285858185037085,Clean
RequiresPositionInterface_duplicated,2,7.285858185037085,Clean
SkeletonInterface_duplicated,7,7.285858185037085,Clean
PostRotationType_duplicated,0,7.285858185037085,Clean
VREye_duplicated,7,7.285858185037085,Clean
VRSurface_duplicated,8,7.285858185037085,Fault_proner
VRViewer_duplicated,7,7.285858185037085,Clean
AutoRecenter_duplicated,2,7.285858185037085,Clean
OrientationAdapter,2,7.285858185037085,Clean
PositionAdapter,2,7.285858185037085,Clean
Pose3,2,7.285858185037085,Clean
PoseAdapter,3,7.285858185037085,Clean
Location2DAdapter,2,7.285858185037085,Clean
EyeTracker3DState,2,7.285858185037085,Clean
EyeTracker3DAdapter,3,7.285858185037085,Clean
InterfaceGameObjectBase,7,7.285858185037085,Clean
PathHolder,2,7.285858185037085,Clean
IRequiresInterface,2,7.285858185037085,Clean
K1RadialDistortion,3,7.285858185037085,Clean
K1RadialDistortionFactory,7,7.285858185037085,Clean
SessionData,8,7.285858185037085,Fault_proner
GameType,1,7.285858185037085,Clean
ExampleInteractiveItem,5,7.285858185037085,Clean
ExampleRenderScale,0,7.285858185037085,Clean
ExampleRotation,1,7.285858185037085,Clean
ExampleTouchpad,5,7.285858185037085,Clean
Asteroid,8,7.285858185037085,Fault_proner
AsteroidExplosion,5,7.285858185037085,Clean
EnvironmentController,7,7.285858185037085,Clean
FlyerAlignmentChecker,7,7.285858185037085,Clean
FlyerGameController,7,7.285858185037085,Clean
FlyerHealthController,7,7.285858185037085,Clean
FlyerLaser,8,7.285858185037085,Fault_proner
FlyerLaserController,5,7.285858185037085,Clean
FlyerMovementController,7,7.285858185037085,Clean
Ring,8,7.285858185037085,Fault_proner
UIController,6,7.285858185037085,Clean
ExplosionPhysicsForce,3,7.285858185037085,Clean
ParticleSystemMultiplier,2,7.285858185037085,Clean
IntroManager,2,7.285858185037085,Clean
AgentTrail,6,7.285858185037085,Clean
AICharacterControl,8,7.285858185037085,Fault_proner
CameraOrbit,7,7.285858185037085,Clean
OrbitStyle,1,7.285858185037085,Clean
DestinationMarker,7,7.285858185037085,Clean
ExitArea,7,7.285858185037085,Clean
MazeGameController,7,7.285858185037085,Clean
MazeTargetSetting,7,7.285858185037085,Clean
Player,8,7.285858185037085,Fault_proner
SwitchButton,7,7.285858185037085,Clean
ThirdPersonCharacter,6,7.285858185037085,Clean
Turret,7,7.285858185037085,Clean
MenuAnimator,5,7.285858185037085,Clean
MenuButton,5,7.285858185037085,Clean
MenuItemPopout,2,7.285858185037085,Clean
MenuSelectorMover,4,7.285858185037085,Clean
ShootingGalleryController,7,7.285858185037085,Clean
ShootingGalleryGun,5,7.285858185037085,Clean
ShootingGalleryScore,1,7.285858185037085,Clean
ShootingTarget,7,7.285858185037085,Clean
UIController_duplicated,7,7.285858185037085,Clean
GUIArrows,6,7.285858185037085,Clean
InputWarnings,7,7.285858185037085,Clean
ObjectPool,6,7.285858185037085,Clean
PlatformDependentText,3,7.285858185037085,Clean
PlatformTextPair,3,7.285858185037085,Clean
Reticle,7,7.285858185037085,Clean
ReturnToMainMenu,4,7.285858185037085,Clean
SelectionRadial,8,7.285858185037085,Fault_proner
SelectionSlider,7,7.285858185037085,Clean
UIFader,7,7.285858185037085,Clean
UIMovement,3,7.285858185037085,Clean
UITint,5,7.285858185037085,Clean
VRCameraFade,7,7.285858185037085,Clean
VRCameraUI,0,7.285858185037085,Clean
VRDeviceManager,1,7.285858185037085,Clean
VREyeRaycaster,7,7.285858185037085,Clean
VRFPSCounter,1,7.285858185037085,Clean
VRInput,7,7.285858185037085,Clean
SwipeDirection,1,7.285858185037085,Clean
VRInteractiveItem,6,7.285858185037085,Clean
VRTrackingReset,0,7.285858185037085,Clean
CrossPlatformInitialize,3,7.285858185037085,Clean
