Component,Threshold,Cutoff,Status
PerformanceTestAttribute,0,7.444970414201185,Clean
PerformanceTestCommand,5,7.444970414201185,Clean
PerformanceUnityTestAttribute,4,7.444970414201185,Clean
VersionAttribute,2,7.444970414201185,Clean
Measure,6,7.444970414201185,Clean
ScopeMeasurement,3,7.444970414201185,Clean
ProfilerMeasurement,5,7.444970414201185,Clean
PerformanceTest,9,7.444970414201185,Fault_proner
PerformanceTestRun,3,7.444970414201185,Clean
PlayerSystemInfo,3,7.444970414201185,Clean
EditorVersion,3,7.444970414201185,Clean
BuildSettings,3,7.444970414201185,Clean
ScreenSettings,3,7.444970414201185,Clean
QualitySettings,3,7.444970414201185,Clean
PlayerSettings,3,7.444970414201185,Clean
SampleGroup,8,7.444970414201185,Fault_proner
SampleGroupDefinition,7,7.444970414201185,Clean
AggregationType,1,7.444970414201185,Clean
SampleUnit,1,7.444970414201185,Clean
FramesMeasurement,6,7.444970414201185,Clean
ScopedFrameTimeMeasurement,3,7.444970414201185,Clean
FrameTimeMeasurement,1,7.444970414201185,Clean
MethodMeasurement,6,7.444970414201185,Clean
ProfilerMarkerMeasurement,5,7.444970414201185,Clean
PerformanceTestException,3,7.444970414201185,Clean
Utils,7,7.444970414201185,Clean
