Component,Threshold,Cutoff,Status
EventSystemChecker,0,8.27790315392263,Clean
Pause,7,8.27790315392263,Clean
PlayMusic,7,8.27790315392263,Clean
QuitApplication,1,8.27790315392263,Clean
SetAudioLevels,3,8.27790315392263,Clean
StartOptions,8,8.27790315392263,Clean
SensorResponseHandler,5,8.27790315392263,Clean
VRAVEObstacle,2,8.27790315392263,Clean
VRAVESensor,3,8.27790315392263,Clean
Sensors,8,8.27790315392263,Clean
HUDAsyncController,6,8.27790315392263,Clean
HUDAudioController,9,8.27790315392263,Fault_proner
HUDAudioModel,4,8.27790315392263,Clean
HUDController,8,8.27790315392263,Clean
HUDModel,9,8.27790315392263,Fault_proner
HUDModel_Left,2,8.27790315392263,Clean
HUDModel_Right,2,8.27790315392263,Clean
HUDModel_RightTop,2,8.27790315392263,Clean
HUDModel_Upright,3,8.27790315392263,Clean
HUDVRAVE_Default,3,8.27790315392263,Clean
BackToMainMenu,2,8.27790315392263,Clean
FollowingSensorResponseHandler,7,8.27790315392263,Clean
HUD_LanePassing_Init,4,8.27790315392263,Clean
LanePassingAudioModel,1,8.27790315392263,Clean
LanePassingScenario,7,8.27790315392263,Clean
States,1,8.27790315392263,Clean
LanePassingSensorResponseHandler,7,8.27790315392263,Clean
ReactionTimeAudioModel,1,8.27790315392263,Clean
ReactionTimeScenario,7,8.27790315392263,Clean
SensitiveSensorResponseHandler,5,8.27790315392263,Clean
TrashCanAnimator,3,8.27790315392263,Clean
TrashcanSensorResponseHandler,6,8.27790315392263,Clean
ScenarioTemplate,6,8.27790315392263,Clean
Trigger,2,8.27790315392263,Clean
AICarCollisionChecker,5,8.27790315392263,Clean
WeatherAudioModel,1,8.27790315392263,Clean
WeatherHUDModel,3,8.27790315392263,Clean
WeatherScenario,7,8.27790315392263,Clean
WeatherSpawnModel,4,8.27790315392263,Clean
SpawnController,7,8.27790315392263,Clean
SpawnModel,5,8.27790315392263,Clean
SpawnTriple,3,8.27790315392263,Clean
AmbientAudioController,5,8.27790315392263,Clean
CameraFade,8,8.27790315392263,Clean
ChangeSelected,5,8.27790315392263,Clean
VRAVEStrings,4,8.27790315392263,Clean
CarAIControl,8,8.27790315392263,Clean
BrakeCondition,1,8.27790315392263,Clean
CarDriveType,1,8.27790315392263,Clean
SpeedType,1,8.27790315392263,Clean
CarController,8,8.27790315392263,Clean
CarSelfRighting,4,8.27790315392263,Clean
CarUserControl,8,8.27790315392263,Clean
Speedometer,2,8.27790315392263,Clean
VisualSteeringWheelController,3,8.27790315392263,Clean
StateBehaviour,8,8.27790315392263,Clean
StateEngine,8,8.27790315392263,Clean
StateTransition,1,8.27790315392263,Clean
StateMapping,4,8.27790315392263,Clean
SessionData,8,8.27790315392263,Clean
GameType,1,8.27790315392263,Clean
ExampleInteractiveItem,5,8.27790315392263,Clean
ExampleRenderScale,0,8.27790315392263,Clean
ExampleRotation,1,8.27790315392263,Clean
ExampleTouchpad,5,8.27790315392263,Clean
Asteroid,8,8.27790315392263,Clean
AsteroidExplosion,5,8.27790315392263,Clean
EnvironmentController,7,8.27790315392263,Clean
FlyerAlignmentChecker,7,8.27790315392263,Clean
FlyerGameController,7,8.27790315392263,Clean
FlyerHealthController,7,8.27790315392263,Clean
FlyerLaser,8,8.27790315392263,Clean
FlyerLaserController,5,8.27790315392263,Clean
FlyerMovementController,7,8.27790315392263,Clean
