Component,Threshold,Cutoff,Status
NVRExampleColorLever,3,6.5527479513493505,Clean
NVRExampleColorSlider,3,6.5527479513493505,Clean
NVRExampleDegreeResult,3,6.5527479513493505,Clean
NVRExampleGun,4,6.5527479513493505,Clean
NVRExampleLetterResult,3,6.5527479513493505,Clean
NVRExampleRGBResult,3,6.5527479513493505,Clean
NVRExampleSwitchResult,3,6.5527479513493505,Clean
NVRExampleLeverResultRocket,6,6.5527479513493505,Clean
NVRAttachJoint,8,6.5527479513493505,Fault_proner
NVRAttachPoint,8,6.5527479513493505,Fault_proner
AttachPointMapper,6,6.5527479513493505,Clean
NVRButton,5,6.5527479513493505,Clean
NVRButtonInputs,4,6.5527479513493505,Clean
NVRDrawer,7,6.5527479513493505,Fault_proner
NVRHand,9,6.5527479513493505,Fault_proner
VisibilityLevel,1,6.5527479513493505,Clean
HandState,1,6.5527479513493505,Clean
NVRHead,1,6.5527479513493505,Clean
NVRHelpers,6,6.5527479513493505,Clean
NVRInteractable,10,6.5527479513493505,Fault_proner
NVRInteractableItem,9,6.5527479513493505,Fault_proner
NVRInteractableRotator,9,6.5527479513493505,Fault_proner
NVRInteractables,7,6.5527479513493505,Fault_proner
NVRLetterSpinner,8,6.5527479513493505,Fault_proner
NVRLever,10,6.5527479513493505,Fault_proner
LeverPosition,1,6.5527479513493505,Clean
RotationAxis,0,6.5527479513493505,Clean
NVRPhysicalController,8,6.5527479513493505,Fault_proner
NVRPlayer,8,6.5527479513493505,Fault_proner
NVRSlider,9,6.5527479513493505,Fault_proner
NVRSwitch,6,6.5527479513493505,Clean
NVRTeleporter,1,6.5527479513493505,Clean
IVRSystem,3,6.5527479513493505,Clean
IVRExtendedDisplay,2,6.5527479513493505,Clean
IVRApplications,3,6.5527479513493505,Clean
IVRChaperone,3,6.5527479513493505,Clean
IVRChaperoneSetup,3,6.5527479513493505,Clean
IVRCompositor,3,6.5527479513493505,Clean
IVROverlay,3,6.5527479513493505,Clean
IVRRenderModels,3,6.5527479513493505,Clean
IVRNotifications,1,6.5527479513493505,Clean
IVRSettings,3,6.5527479513493505,Clean
IVRTrackedCamera,3,6.5527479513493505,Clean
CVRSystem,6,6.5527479513493505,Clean
CVRExtendedDisplay,6,6.5527479513493505,Clean
CVRApplications,6,6.5527479513493505,Clean
CVRChaperone,6,6.5527479513493505,Clean
CVRChaperoneSetup,6,6.5527479513493505,Clean
CVRCompositor,6,6.5527479513493505,Clean
CVROverlay,6,6.5527479513493505,Clean
CVRRenderModels,6,6.5527479513493505,Clean
CVRNotifications,4,6.5527479513493505,Clean
CVRSettings,6,6.5527479513493505,Clean
CVRTrackedCamera,5,6.5527479513493505,Clean
OpenVRInterop,4,6.5527479513493505,Clean
EVREye,1,6.5527479513493505,Clean
EGraphicsAPIConvention,1,6.5527479513493505,Clean
EColorSpace,1,6.5527479513493505,Clean
ETrackingResult,1,6.5527479513493505,Clean
ETrackedDeviceClass,1,6.5527479513493505,Clean
ETrackedControllerRole,1,6.5527479513493505,Clean
ETrackingUniverseOrigin,1,6.5527479513493505,Clean
ETrackedDeviceProperty,2,6.5527479513493505,Clean
ETrackedPropertyError,1,6.5527479513493505,Clean
EVRSubmitFlags,1,6.5527479513493505,Clean
EVRState,0,6.5527479513493505,Clean
EVREventType,2,6.5527479513493505,Clean
EDeviceActivityLevel,1,6.5527479513493505,Clean
EVRButtonId,1,6.5527479513493505,Clean
EVRMouseButton,0,6.5527479513493505,Clean
EVRControllerAxisType,1,6.5527479513493505,Clean
EVRControllerEventOutputType,0,6.5527479513493505,Clean
ECollisionBoundsStyle,0,6.5527479513493505,Clean
EVROverlayError,2,6.5527479513493505,Clean
EVRApplicationType,1,6.5527479513493505,Clean
EVRFirmwareError,1,6.5527479513493505,Clean
EVRNotificationError,1,6.5527479513493505,Clean
EVRInitError,2,6.5527479513493505,Clean
EVRApplicationError,1,6.5527479513493505,Clean
EVRApplicationProperty,1,6.5527479513493505,Clean
EVRApplicationTransitionState,1,6.5527479513493505,Clean
ChaperoneCalibrationState,1,6.5527479513493505,Clean
EChaperoneConfigFile,1,6.5527479513493505,Clean
EChaperoneImportFlags,0,6.5527479513493505,Clean
EVRCompositorError,1,6.5527479513493505,Clean
VROverlayInputMethod,1,6.5527479513493505,Clean
VROverlayTransformType,1,6.5527479513493505,Clean
VROverlayFlags,1,6.5527479513493505,Clean
EGamepadTextInputMode,0,6.5527479513493505,Clean
EGamepadTextInputLineMode,0,6.5527479513493505,Clean
EOverlayDirection,1,6.5527479513493505,Clean
EVRRenderModelError,1,6.5527479513493505,Clean
EVRComponentProperty,0,6.5527479513493505,Clean
EVRNotificationType,1,6.5527479513493505,Clean
EVRNotificationStyle,1,6.5527479513493505,Clean
EVRSettingsError,1,6.5527479513493505,Clean
ECameraVideoStreamFormat,1,6.5527479513493505,Clean
VREvent_Data_t,3,6.5527479513493505,Clean
HmdMatrix34_t,3,6.5527479513493505,Clean
HmdMatrix44_t,3,6.5527479513493505,Clean
HmdVector3_t,3,6.5527479513493505,Clean
HmdVector4_t,2,6.5527479513493505,Clean
HmdVector3d_t,2,6.5527479513493505,Clean
HmdVector2_t,2,6.5527479513493505,Clean
HmdQuaternion_t,2,6.5527479513493505,Clean
HmdColor_t,3,6.5527479513493505,Clean
HmdQuad_t,4,6.5527479513493505,Clean
HmdRect2_t,3,6.5527479513493505,Clean
DistortionCoordinates_t,3,6.5527479513493505,Clean
Texture_t,4,6.5527479513493505,Clean
TrackedDevicePose_t,4,6.5527479513493505,Clean
VRTextureBounds_t,3,6.5527479513493505,Clean
VREvent_Controller_t,0,6.5527479513493505,Clean
VREvent_Mouse_t,2,6.5527479513493505,Clean
VREvent_Scroll_t,2,6.5527479513493505,Clean
VREvent_TouchPadMove_t,2,6.5527479513493505,Clean
VREvent_Notification_t,1,6.5527479513493505,Clean
VREvent_Process_t,2,6.5527479513493505,Clean
VREvent_Overlay_t,0,6.5527479513493505,Clean
VREvent_Status_t,0,6.5527479513493505,Clean
VREvent_Keyboard_t,1,6.5527479513493505,Clean
VREvent_Ipd_t,0,6.5527479513493505,Clean
VREvent_Chaperone_t,1,6.5527479513493505,Clean
VREvent_Reserved_t,1,6.5527479513493505,Clean
VREvent_PerformanceTest_t,0,6.5527479513493505,Clean
VREvent_SeatedZeroPoseReset_t,0,6.5527479513493505,Clean
VREvent_t,4,6.5527479513493505,Clean
HiddenAreaMesh_t,2,6.5527479513493505,Clean
VRControllerAxis_t,2,6.5527479513493505,Clean
VRControllerState_t,4,6.5527479513493505,Clean
Compositor_OverlaySettings,3,6.5527479513493505,Clean
Compositor_FrameTiming,5,6.5527479513493505,Clean
VROverlayIntersectionParams_t,4,6.5527479513493505,Clean
VROverlayIntersectionResults_t,4,6.5527479513493505,Clean
RenderModel_ComponentState_t,4,6.5527479513493505,Clean
RenderModel_Vertex_t,3,6.5527479513493505,Clean
RenderModel_TextureMap_t,2,6.5527479513493505,Clean
RenderModel_t,2,6.5527479513493505,Clean
RenderModel_ControllerMode_State_t,1,6.5527479513493505,Clean
NotificationBitmap_t,3,6.5527479513493505,Clean
CameraVideoStreamFrame_t,5,6.5527479513493505,Clean
COpenVRContext,8,6.5527479513493505,Fault_proner
OpenVR,8,6.5527479513493505,Fault_proner
