Component,Threshold,Cutoff,Status
BaseVRDevice,6,7.198979591836736,Clean
EditorDevice,4,7.198979591836736,Clean
GvrDevice,5,7.198979591836736,Clean
ControllerProviderFactory,0,7.198979591836736,Clean
DummyControllerProvider,1,7.198979591836736,Clean
EmulatorControllerProvider,4,7.198979591836736,Clean
ControllerState,2,7.198979591836736,Clean
EmulatorClientSocket,3,7.198979591836736,Clean
EmulatorConfig,2,7.198979591836736,Clean
Mode,1,7.198979591836736,Clean
EmulatorGyroEvent,2,7.198979591836736,Clean
EmulatorAccelEvent,2,7.198979591836736,Clean
EmulatorTouchEvent,4,7.198979591836736,Clean
Action,1,7.198979591836736,Clean
Pointer,2,7.198979591836736,Clean
EmulatorOrientationEvent,2,7.198979591836736,Clean
EmulatorButtonEvent,3,7.198979591836736,Clean
ButtonCode,1,7.198979591836736,Clean
EmulatorManager,5,7.198979591836736,Clean
IControllerProvider,1,7.198979591836736,Clean
PhoneEvent,8,7.198979591836736,Fault_proner
Types,1,7.198979591836736,Clean
Type,0,7.198979591836736,Clean
MotionEvent,8,7.198979591836736,Fault_proner
Pointer_duplicated,8,7.198979591836736,Fault_proner
Builder,7,7.198979591836736,Clean
GyroscopeEvent,8,7.198979591836736,Fault_proner
AccelerometerEvent,8,7.198979591836736,Fault_proner
DepthMapEvent,8,7.198979591836736,Fault_proner
OrientationEvent,8,7.198979591836736,Fault_proner
KeyEvent,8,7.198979591836736,Fault_proner
PhoneEvent_duplicated,9,7.198979591836736,Fault_proner
Types_duplicated,2,7.198979591836736,Clean
Type_duplicated,1,7.198979591836736,Clean
MotionEvent_duplicated,9,7.198979591836736,Fault_proner
Pointer_duplicated_duplicated,8,7.198979591836736,Fault_proner
Builder_duplicated,8,7.198979591836736,Fault_proner
GyroscopeEvent_duplicated,8,7.198979591836736,Fault_proner
AccelerometerEvent_duplicated,8,7.198979591836736,Fault_proner
DepthMapEvent_duplicated,8,7.198979591836736,Fault_proner
OrientationEvent_duplicated,8,7.198979591836736,Fault_proner
KeyEvent_duplicated,8,7.198979591836736,Fault_proner
