Component,Threshold,Cutoff,Status
Sys_CodeConfigServices,1,6.1239058383615195,Clean
Sys_GeneralServices,1,6.1239058383615195,Clean
Sys_SqlCommanderServices,2,6.1239058383615195,Clean
Sys_DelegateApproveServices,1,6.1239058383615195,Clean
Sys_VersionServices,1,6.1239058383615195,Clean
Sys_AttOvertimePermitConfigServices,9,6.1239058383615195,Fault_proner
Sys_AsynTaskServices,1,6.1239058383615195,Clean
Sys_BookmarkServices,2,6.1239058383615195,Clean
Sys_DynamicColumnServices,2,6.1239058383615195,Clean
Sys_GroupPermissionServices,3,6.1239058383615195,Clean
Sys_AutoBackupServices,1,6.1239058383615195,Clean
Task_AutoBackup,1,6.1239058383615195,Clean
Sys_LockObjectItemServices,2,6.1239058383615195,Clean
Sys_LockObjectServices,2,6.1239058383615195,Clean
Sys_ReleaseNoteServices,1,6.1239058383615195,Clean
Sys_GroupServices,2,6.1239058383615195,Clean
Sys_DataPermissionServices,5,6.1239058383615195,Clean
Sys_ResourceServices,3,6.1239058383615195,Clean
Sys_UserApproveServices,5,6.1239058383615195,Clean
Sys_CodeObjectServices,1,6.1239058383615195,Clean
Sys_UserServices,7,6.1239058383615195,Fault_proner
Sys_AllSettingServices,4,6.1239058383615195,Clean
EmployeeServices,2,6.1239058383615195,Clean
HreGenericService<T>,1,6.1239058383615195,Clean
Hre_AccidentServices,1,6.1239058383615195,Clean
Hre_ContractExtendServices,2,6.1239058383615195,Clean
Hre_AppendixContractServices,2,6.1239058383615195,Clean
Hre_PlanHeadCountServices,1,6.1239058383615195,Clean
Hre_ProfileQualificationServices,1,6.1239058383615195,Clean
Hre_StopWorkingServices,5,6.1239058383615195,Clean
Hre_UniformServices,1,6.1239058383615195,Clean
Hre_QualificationServices,1,6.1239058383615195,Clean
Hre_CertificateServices,1,6.1239058383615195,Clean
Hre_SoftSkillServices,0,6.1239058383615195,Clean
Hre_CardHistoryServices,1,6.1239058383615195,Clean
Hre_AddressServices,1,6.1239058383615195,Clean
Hre_ContractServices,7,6.1239058383615195,Fault_proner
Hre_DependantServices,2,6.1239058383615195,Clean
Hre_DisciplineServices,1,6.1239058383615195,Clean
Hre_HDTJobServices,5,6.1239058383615195,Clean
Hre_ProfileServices,7,6.1239058383615195,Fault_proner
Hre_RelativesServices,2,6.1239058383615195,Clean
Hre_ReportServices,8,6.1239058383615195,Fault_proner
Hre_RewardServices,1,6.1239058383615195,Clean
Hre_CandidateGeneralServices,2,6.1239058383615195,Clean
Hre_VisaInfoServices,1,6.1239058383615195,Clean
Hre_CandidateHistoryServices,1,6.1239058383615195,Clean
Hre_WorkHistoryServices,3,6.1239058383615195,Clean
Att_AnalysisOvertimeServices,6,6.1239058383615195,Clean
Att_AnnualDetailServices,5,6.1239058383615195,Clean
Att_AnnualSickLeaveDetailServices,9,6.1239058383615195,Fault_proner
Att_ProcessApprovedServices,6,6.1239058383615195,Clean
Att_ComputeWorkdayAdjustServices,6,6.1239058383615195,Clean
TamScanLogModel,1,6.1239058383615195,Clean
Att_RptExceptionDataServices,2,6.1239058383615195,Clean
Att_TimeSheetServices,1,6.1239058383615195,Clean
Att_WorkDayHelper,6,6.1239058383615195,Clean
Att_AttendanceLib,8,6.1239058383615195,Fault_proner
Att_AttendanceServices,7,6.1239058383615195,Fault_proner
Att_AttendanceTableItemServices,1,6.1239058383615195,Clean
Att_AttendanceTableServices,1,6.1239058383615195,Clean
Att_GenericService<T>,1,6.1239058383615195,Clean
Att_ReportServices,9,6.1239058383615195,Fault_proner
Att_PregnancyServices,1,6.1239058383615195,Clean
Att_RosterGroupServices,7,6.1239058383615195,Fault_proner
Att_CutOffDurationServices,2,6.1239058383615195,Clean
Att_GradeServices,4,6.1239058383615195,Clean
Att_TAMServices,6,6.1239058383615195,Clean
Att_TAMScanLogServices,1,6.1239058383615195,Clean
Att_ReportLateEarlyTotalServices,2,6.1239058383615195,Clean
Att_WorkDayServices,7,6.1239058383615195,Fault_proner
Att_RosterServices,7,6.1239058383615195,Fault_proner
Att_OvertimeServices,10,6.1239058383615195,Fault_proner
Att_LeavedayServices,7,6.1239058383615195,Fault_proner
Att_OvertimePermitConfigServices,3,6.1239058383615195,Clean
Att_AnnualInsuranceLeaveDetailServices,4,6.1239058383615195,Clean
HDTJobTypeRange,2,6.1239058383615195,Clean
Att_AnnualLeaveDetailServices,7,6.1239058383615195,Fault_proner
Att_CompensationServices,1,6.1239058383615195,Clean
Att_CompensationDetailServices,4,6.1239058383615195,Clean
Att_AnnualLeaveServices,3,6.1239058383615195,Clean
Att_AllowLimitOvertimeServices,3,6.1239058383615195,Clean
