Component,Threshold,Cutoff,Status
ARPlaneAnchorGameObject,4,9.244931506849316,Clean
ARAnchor,2,9.244931506849316,Clean
ARCamera,5,9.244931506849316,Clean
ARErrorCode,0,9.244931506849316,Clean
ARFrame,4,9.244931506849316,Clean
ARHitTestResult,5,9.244931506849316,Clean
ARHitTestResultType,2,9.244931506849316,Clean
ARLightEstimate,2,9.244931506849316,Clean
ARPlaneAnchor,5,9.244931506849316,Clean
ARPlaneAnchorAlignment,1,9.244931506849316,Clean
ARPoint,3,9.244931506849316,Clean
ARRect,3,9.244931506849316,Clean
ARSize,3,9.244931506849316,Clean
ARTextureHandles,3,9.244931506849316,Clean
ARTrackingQuality,1,9.244931506849316,Clean
ARTrackingState,1,9.244931506849316,Clean
ARTrackingStateReason,1,9.244931506849316,Clean
UnityARMatrix4x4,3,9.244931506849316,Clean
internal_UnityARCamera,4,9.244931506849316,Clean
UnityARCamera,4,9.244931506849316,Clean
UnityARAnchorData,5,9.244931506849316,Clean
UnityARHitTestResult,5,9.244931506849316,Clean
UnityARAlignment,1,9.244931506849316,Clean
UnityARPlaneDetection,1,9.244931506849316,Clean
ARKitSessionConfiguration,9,9.244931506849316,Clean
ARKitWorldTackingSessionConfiguration,9,9.244931506849316,Clean
UnityARSessionRunOption,1,9.244931506849316,Clean
UnityARSessionNativeInterface,7,9.244931506849316,Clean
UnityARGeneratePlane,6,9.244931506849316,Clean
UnityARHitTestExample,5,9.244931506849316,Clean
UnityARKitControl,5,9.244931506849316,Clean
UnityARVideo,7,9.244931506849316,Clean
UnityARAnchorManager,6,9.244931506849316,Clean
UnityARMatrixOps,5,9.244931506849316,Clean
UnityARUtility,7,9.244931506849316,Clean
