Component,Threshold,Cutoff,Status
EonSpinner,2,8.309414032821289,Clean
SyncFacing,1,8.309414032821289,Clean
SyncOrbit,1,8.309414032821289,Clean
DynamicWindColorEffector,4,8.309414032821289,Clean
DynamicWindColorResponder,7,8.309414032821289,Clean
GlobalDynamicWindColorSimple,7,8.309414032821289,Clean
SimpleCustomFog,1,8.309414032821289,Clean
Fog,3,8.309414032821289,Clean
MessageSign,6,8.309414032821289,Clean
CombineMeshFilters,1,8.309414032821289,Clean
AudioFader,4,8.309414032821289,Clean
JumpToPage,8,8.309414032821289,Clean
PagedScrollBar,5,8.309414032821289,Clean
PagedScrollRect,9,8.309414032821289,Fault_proner
SnapDirection,1,8.309414032821289,Clean
ChildrenPageProvider,3,8.309414032821289,Clean
IPageProvider,3,8.309414032821289,Clean
PooledPageProvider,7,8.309414032821289,Clean
PrefabPageProvider,4,8.309414032821289,Clean
BaseScrollEffect,3,8.309414032821289,Clean
UpdateData,3,8.309414032821289,Clean
BaseTile,9,8.309414032821289,Fault_proner
FadeScrollEffect,2,8.309414032821289,Clean
FloatTile,8,8.309414032821289,Clean
MaskedTile,8,8.309414032821289,Clean
ScaleScrollEffect,2,8.309414032821289,Clean
TiledPage,8,8.309414032821289,Clean
TileOrderBy,1,8.309414032821289,Clean
TileScrollEffect,2,8.309414032821289,Clean
TranslateScrollEffect,4,8.309414032821289,Clean
GameObjectPool,5,8.309414032821289,Clean
GameObjectPoolController,4,8.309414032821289,Clean
IObjectPool,3,8.309414032821289,Clean
ObjectPool<T>,6,8.309414032821289,Clean
ObjectPoolManager,5,8.309414032821289,Clean
Tab,6,8.309414032821289,Clean
TabGroup,3,8.309414032821289,Clean
IUITransition,2,8.309414032821289,Clean
UIFadeTransition,6,8.309414032821289,Clean
AssetTree,9,8.309414032821289,Fault_proner
Node,2,8.309414032821289,Clean
SerializedNode,3,8.309414032821289,Clean
ReorientOnLoad,1,8.309414032821289,Clean
IconState,1,8.309414032821289,Clean
IconRelationship,1,8.309414032821289,Clean
IconValue,7,8.309414032821289,Clean
EasingFunction,1,8.309414032821289,Clean
CustomizeArmModelUI,7,8.309414032821289,Clean
FollowObjectRotation,0,8.309414032821289,Clean
ScalarSliderUI,6,8.309414032821289,Clean
VectorSlidersUI,7,8.309414032821289,Clean
EasingFunctions,2,8.309414032821289,Clean
EnablePointerController,0,8.309414032821289,Clean
FadeControllerVisual,2,8.309414032821289,Clean
HideByScale,3,8.309414032821289,Clean
Mirror,6,8.309414032821289,Clean
OnPreRenderCallback,1,8.309414032821289,Clean
SetActiveAnimated,6,8.309414032821289,Clean
Entry,3,8.309414032821289,Clean
Trail,7,8.309414032821289,Clean
Section,2,8.309414032821289,Clean
Shape,1,8.309414032821289,Clean
VisualizeArmModel,7,8.309414032821289,Clean
Joint,1,8.309414032821289,Clean
ModeController,3,8.309414032821289,Clean
Mode,1,8.309414032821289,Clean
ModeData,3,8.309414032821289,Clean
ModeSelector,7,8.309414032821289,Clean
Ball,10,8.309414032821289,Fault_proner
BallGrabber,2,8.309414032821289,Clean
BallReturner,1,8.309414032821289,Clean
BallSpawner,8,8.309414032821289,Clean
Projectile,4,8.309414032821289,Clean
ProjectileSplat,3,8.309414032821289,Clean
Zapper,7,8.309414032821289,Clean
IArmModelVisualProvider,3,8.309414032821289,Clean
SwingArmModel,2,8.309414032821289,Clean
TransitionArmModel,8,8.309414032821289,Clean
