Component,Threshold,Cutoff,Status
LogSystemInitilization,2,8.411663053382348,Clean
FileReactor,7,8.411663053382348,Clean
ILogReactor,3,8.411663053382348,Clean
LogLevel,1,8.411663053382348,Clean
LogRecord,6,8.411663053382348,Clean
LogSystem,8,8.411663053382348,Clean
Log,6,8.411663053382348,Clean
CameraTarget,8,8.411663053382348,Clean
HotCorner,5,8.411663053382348,Clean
WatsonCamera,8,8.411663053382348,Clean
RESTConnector,8,8.411663053382348,Clean
Response,2,8.411663053382348,Clean
Form,4,8.411663053382348,Clean
Request,4,8.411663053382348,Clean
DeleteRequest,5,8.411663053382348,Clean
WSConnector,8,8.411663053382348,Clean
ConnectionState,1,8.411663053382348,Clean
Message,2,8.411663053382348,Clean
BinaryMessage,3,8.411663053382348,Clean
TextMessage,3,8.411663053382348,Clean
DebugConsole,8,8.411663053382348,Clean
DebugInfo,3,8.411663053382348,Clean
DebugReactor,4,8.411663053382348,Clean
QualityManager,3,8.411663053382348,Clean
AlchemyAPI,8,8.411663053382348,Clean
GetAuthorsRequest,3,8.411663053382348,Clean
GetRankedConceptsRequest,3,8.411663053382348,Clean
GetDatesRequest,3,8.411663053382348,Clean
GetEmotionsRequest,3,8.411663053382348,Clean
GetEntitiesRequest,3,8.411663053382348,Clean
DetectFeedsRequest,3,8.411663053382348,Clean
GetKeywordsRequest,3,8.411663053382348,Clean
GetLanguagesRequest,3,8.411663053382348,Clean
GetMicroformatsRequest,3,8.411663053382348,Clean
GetPublicationDateRequest,3,8.411663053382348,Clean
GetRelationsRequest,3,8.411663053382348,Clean
GetTextSentimentRequest,3,8.411663053382348,Clean
GetTargetedSentimentRequest,3,8.411663053382348,Clean
GetRankedTaxomomyRequest,3,8.411663053382348,Clean
GetTextRequest,3,8.411663053382348,Clean
GetTitleRequest,3,8.411663053382348,Clean
CombinedCallRequest,3,8.411663053382348,Clean
GetNewsRequest,3,8.411663053382348,Clean
CheckServiceStatus,4,8.411663053382348,Clean
CombinedCallData,5,8.411663053382348,Clean
ImageKeyword,2,8.411663053382348,Clean
AuthorsData,2,8.411663053382348,Clean
Authors,2,8.411663053382348,Clean
ConceptsData,2,8.411663053382348,Clean
Concept,3,8.411663053382348,Clean
DateData,2,8.411663053382348,Clean
Date,2,8.411663053382348,Clean
EmotionData,2,8.411663053382348,Clean
DocEmotions,2,8.411663053382348,Clean
EntityData,5,8.411663053382348,Clean
Entity,6,8.411663053382348,Clean
PositionOnMap,7,8.411663053382348,Clean
EntityPrimaryType,1,8.411663053382348,Clean
EntitySubType,1,8.411663053382348,Clean
FeedData,2,8.411663053382348,Clean
Feed,1,8.411663053382348,Clean
KeywordData,4,8.411663053382348,Clean
Keyword,2,8.411663053382348,Clean
LanguageData,3,8.411663053382348,Clean
MicroformatData,2,8.411663053382348,Clean
Microformat,2,8.411663053382348,Clean
PubDateData,2,8.411663053382348,Clean
RelationsData,2,8.411663053382348,Clean
SentimentData,2,8.411663053382348,Clean
TargetedSentimentData,2,8.411663053382348,Clean
TargetedSentiment,2,8.411663053382348,Clean
TaxonomyData,2,8.411663053382348,Clean
TextData,2,8.411663053382348,Clean
Title,2,8.411663053382348,Clean
KnowledgeGraph,1,8.411663053382348,Clean
Disambiguated,3,8.411663053382348,Clean
Quotation,2,8.411663053382348,Clean
DocSentiment,3,8.411663053382348,Clean
PublicationDate,2,8.411663053382348,Clean
Relation,2,8.411663053382348,Clean
Subject,2,8.411663053382348,Clean
Action,1,8.411663053382348,Clean
ObjectData,1,8.411663053382348,Clean
Verb,1,8.411663053382348,Clean
Taxonomy,2,8.411663053382348,Clean
Location,1,8.411663053382348,Clean
Temporal,1,8.411663053382348,Clean
Decoded,1,8.411663053382348,Clean
NewsResponse,2,8.411663053382348,Clean
Result,1,8.411663053382348,Clean
Docs,1,8.411663053382348,Clean
Source,1,8.411663053382348,Clean
Original,0,8.411663053382348,Clean
Enriched,0,8.411663053382348,Clean
URL,2,8.411663053382348,Clean
EnrichedTitle,1,8.411663053382348,Clean
Fields,4,8.411663053382348,Clean
Conversation,8,8.411663053382348,Clean
MessageReq,3,8.411663053382348,Clean
CheckServiceStatus_duplicated,5,8.411663053382348,Clean
MessageResponse,2,8.411663053382348,Clean
EntityResponse,1,8.411663053382348,Clean
Intent,1,8.411663053382348,Clean
OutputData,1,8.411663053382348,Clean
LogMessageResponse,1,8.411663053382348,Clean
MessageRequest,3,8.411663053382348,Clean
InputData,1,8.411663053382348,Clean
Context,1,8.411663053382348,Clean
SystemResponse,1,8.411663053382348,Clean
Version,2,8.411663053382348,Clean
ConversationExperimental,8,8.411663053382348,Clean
MessageReq_duplicated,2,8.411663053382348,Clean
CheckServiceStatus_duplicated_duplicated,5,8.411663053382348,Clean
Workspaces,0,8.411663053382348,Clean
Workspace,1,8.411663053382348,Clean
MessageResponse_duplicated,2,8.411663053382348,Clean
Intents,0,8.411663053382348,Clean
Intent_duplicated,1,8.411663053382348,Clean
Examples,0,8.411663053382348,Clean
Example,1,8.411663053382348,Clean
EntityExample,1,8.411663053382348,Clean
Entities,0,8.411663053382348,Clean
Entity_duplicated,1,8.411663053382348,Clean
Values,1,8.411663053382348,Clean
DialogNodes,0,8.411663053382348,Clean
DialogNode,1,8.411663053382348,Clean
MessageIntent,1,8.411663053382348,Clean
Output,0,8.411663053382348,Clean
GoTo,1,8.411663053382348,Clean
Version_duplicated,2,8.411663053382348,Clean
Value,0,8.411663053382348,Clean
MetaDataMap,1,8.411663053382348,Clean
Evidence,1,8.411663053382348,Clean
Synonym,1,8.411663053382348,Clean
SynSet,1,8.411663053382348,Clean
SynonymList,1,8.411663053382348,Clean
EvidenceRequest,1,8.411663053382348,Clean
Answer,5,8.411663053382348,Clean
Cell,1,8.411663053382348,Clean
Row,0,8.411663053382348,Clean
Table,0,8.411663053382348,Clean
Slots,1,8.411663053382348,Clean
Word,2,8.411663053382348,Clean
ParseTree,1,8.411663053382348,Clean
Question,3,8.411663053382348,Clean
QuestionClass,1,8.411663053382348,Clean
Response_duplicated,2,8.411663053382348,Clean
ResponseList,0,8.411663053382348,Clean
DeepQA,8,8.411663053382348,Clean
AskQuestionReq,3,8.411663053382348,Clean
CheckServiceStatus_duplicated_duplicated_duplicated,4,8.411663053382348,Clean
GetEnvironmentsResponse,1,8.411663053382348,Clean
Environment,2,8.411663053382348,Clean
IndexCapacity,1,8.411663053382348,Clean
DiskUsage,1,8.411663053382348,Clean
MemoryUsage,1,8.411663053382348,Clean
DeleteEnvironmentResponse,1,8.411663053382348,Clean
TestDocument,2,8.411663053382348,Clean
DocumentSnapshot,1,8.411663053382348,Clean
Notice,1,8.411663053382348,Clean
GetConfigurationsResponse,1,8.411663053382348,Clean
ConfigurationRef,2,8.411663053382348,Clean
Configuration,2,8.411663053382348,Clean
Conversions,1,8.411663053382348,Clean
PdfSettings,0,8.411663053382348,Clean
WordSettings,0,8.411663053382348,Clean
HtmlSettings,1,8.411663053382348,Clean
Enrichment,1,8.411663053382348,Clean
NormalizationOperation,1,8.411663053382348,Clean
PdfHeadingDetection,0,8.411663053382348,Clean
WordHeadingDetection,1,8.411663053382348,Clean
XPathPatterns,0,8.411663053382348,Clean
EnrichmentOptions,1,8.411663053382348,Clean
FontSetting,1,8.411663053382348,Clean
WordStyle,1,8.411663053382348,Clean
DeleteConfigurationResponse,1,8.411663053382348,Clean
GetCollectionsResponse,1,8.411663053382348,Clean
CollectionRef,2,8.411663053382348,Clean
DeleteCollectionResponse,1,8.411663053382348,Clean
Collection,2,8.411663053382348,Clean
DocumentCounts,1,8.411663053382348,Clean
GetFieldsResponse,1,8.411663053382348,Clean
Field,2,8.411663053382348,Clean
DocumentAccepted,2,8.411663053382348,Clean
DeleteDocumentResponse,1,8.411663053382348,Clean
DocumentStatus,2,8.411663053382348,Clean
QueryResponse,5,8.411663053382348,Clean
QueryResult,2,8.411663053382348,Clean
QueryAggregation,1,8.411663053382348,Clean
AggregationTerm,1,8.411663053382348,Clean
AggregationResult,2,8.411663053382348,Clean
DiscoveryVersion,2,8.411663053382348,Clean
Discovery,8,8.411663053382348,Clean
GetEnvironmentsRequest,3,8.411663053382348,Clean
AddEnvironmentRequest,3,8.411663053382348,Clean
GetEnvironmentRequest,3,8.411663053382348,Clean
DeleteEnvironmentRequest,3,8.411663053382348,Clean
GetConfigurationsRequest,3,8.411663053382348,Clean
AddConfigurationRequest,3,8.411663053382348,Clean
GetConfigurationRequest,3,8.411663053382348,Clean
DeleteConfigurationRequest,3,8.411663053382348,Clean
PreviewConfigurationRequest,3,8.411663053382348,Clean
GetCollectionsRequest,3,8.411663053382348,Clean
AddCollectionRequest,3,8.411663053382348,Clean
