Component,Threshold,Cutoff,Status
"ReadOnlyDictionary<K,V>",6,5.893004115226337,Fault_proner
"RedBlackTree<K,V>",5,5.893004115226337,Clean
RedBlackTreeNode<T>,2,5.893004115226337,Clean
RegionMap<T>,5,5.893004115226337,Clean
InternalErrorException,0,5.893004115226337,Clean
Program,0,5.893004115226337,Clean
Util,7,5.893004115226337,Fault_proner
SubStream,8,5.893004115226337,Fault_proner
BlockReference,3,5.893004115226337,Clean
ClrHeader,4,5.893004115226337,Clean
ClrHeaderFlags,0,5.893004115226337,Clean
ClrMetadataRoot,5,5.893004115226337,Clean
DataDirectoryName,1,5.893004115226337,Clean
DllCharacteristics,0,5.893004115226337,Clean
ImageType,1,5.893004115226337,Clean
MachineType,2,5.893004115226337,Clean
FileCharacteristics,1,5.893004115226337,Clean
ManagedPEFile,7,5.893004115226337,Fault_proner
Module,1,5.893004115226337,Clean
PEHeader,5,5.893004115226337,Clean
SectionFlags,1,5.893004115226337,Clean
SectionHeader,6,5.893004115226337,Fault_proner
StreamHeader,4,5.893004115226337,Clean
TableID,2,5.893004115226337,Clean
WindowsSubsystem,1,5.893004115226337,Clean
SafeUtf8Str,2,5.893004115226337,Clean
TablesHeader,6,5.893004115226337,Fault_proner
