Component,Threshold,Cutoff,Status
AbstractReference,8,8.112465373961218,Clean
ArrayTypeReference,6,8.112465373961218,Clean
ClassName,4,8.112465373961218,Clean
ClassSignature,5,8.112465373961218,Clean
ClassSource,4,8.112465373961218,Clean
IAccessModifiers,2,8.112465373961218,Clean
IReachableContext,4,8.112465373961218,Clean
MethodSignature,6,8.112465373961218,Clean
ResolveException,1,8.112465373961218,Clean
TypeParameter,6,8.112465373961218,Clean
TypeVariableReference,5,8.112465373961218,Clean
TypeArgument,9,8.112465373961218,Fault_proner
Signatures,6,8.112465373961218,Clean
Extensions,4,8.112465373961218,Clean
InnerClass,5,8.112465373961218,Clean
BaseTypeReference,8,8.112465373961218,Clean
BaseTypes,1,8.112465373961218,Clean
ClassAccessFlags,0,8.112465373961218,Clean
ClassFile,10,8.112465373961218,Fault_proner
ClassFileReader,6,8.112465373961218,Clean
IClassLoader,4,8.112465373961218,Clean
LocalVariable,6,8.112465373961218,Clean
LineNumber,5,8.112465373961218,Clean
NestedClassAccessFlags,1,8.112465373961218,Clean
Descriptors,6,8.112465373961218,Clean
ExceptionHandler,8,8.112465373961218,Clean
StreamExtensions,3,8.112465373961218,Clean
FieldAccessFlags,1,8.112465373961218,Clean
FieldDefinition,9,8.112465373961218,Fault_proner
JarFile,9,8.112465373961218,Fault_proner
MemberDefinition,8,8.112465373961218,Clean
MethodAccessFlags,1,8.112465373961218,Clean
MethodDefinition,9,8.112465373961218,Fault_proner
MethodDescriptor,8,8.112465373961218,Clean
ObjectTypeReference,6,8.112465373961218,Clean
TypeArgumentWildcard,0,8.112465373961218,Clean
TypeReference,6,8.112465373961218,Clean
VoidTypeReference,5,8.112465373961218,Clean
Annotation,7,8.112465373961218,Clean
Attribute,2,8.112465373961218,Clean
CodeAttribute,9,8.112465373961218,Fault_proner
ConstantValueAttribute,5,8.112465373961218,Clean
ConstElementValue,9,8.112465373961218,Fault_proner
ClassElementValue,9,8.112465373961218,Fault_proner
AnnotationElementValue,9,8.112465373961218,Fault_proner
ArrayElementValue,9,8.112465373961218,Fault_proner
AnnotationsAttribute,4,8.112465373961218,Clean
AnnotationDefaultAttribute,4,8.112465373961218,Clean
IElementValueVisitor,5,8.112465373961218,Clean
IModifiableAttributeProvider,4,8.112465373961218,Clean
RuntimeVisibleParameterAnnotationsAttribute,3,8.112465373961218,Clean
RuntimeInvisibleParameterAnnotationsAttribute,3,8.112465373961218,Clean
ElementValuePair,4,8.112465373961218,Clean
RuntimeInvisibleAnnotationsAttribute,3,8.112465373961218,Clean
RuntimeVisibleAnnotationsAttribute,3,8.112465373961218,Clean
EnumConstElementValue,9,8.112465373961218,Fault_proner
ElementValue,3,8.112465373961218,Clean
OverrideAttribute,2,8.112465373961218,Clean
IAttributeProvider,1,8.112465373961218,Clean
SignatureAttribute,6,8.112465373961218,Clean
DeprecatedAttribute,2,8.112465373961218,Clean
LocalVariableTableAttribute,3,8.112465373961218,Clean
LineNumberTableAttribute,7,8.112465373961218,Clean
SourceFileAttribute,5,8.112465373961218,Clean
SyntheticAttribute,2,8.112465373961218,Clean
InnerClassesAttribute,3,8.112465373961218,Clean
ExceptionsAttribute,3,8.112465373961218,Clean
UnknownAttribute,2,8.112465373961218,Clean
BranchOffset,6,8.112465373961218,Clean
CodeReader,6,8.112465373961218,Clean
IResolveable,1,8.112465373961218,Clean
LocalVariableReference,7,8.112465373961218,Clean
CodeNames,3,8.112465373961218,Clean
TableSwitchData,7,8.112465373961218,Clean
LookupSwitchData,8,8.112465373961218,Clean
Pair,5,8.112465373961218,Clean
Instruction,5,8.112465373961218,Clean
Code,2,8.112465373961218,Clean
ConstantPool,7,8.112465373961218,Clean
ConstantPoolClass,9,8.112465373961218,Fault_proner
ConstantPoolDouble,0,8.112465373961218,Clean
ConstantPoolEntry,7,8.112465373961218,Clean
ConstantPoolFieldRef,9,8.112465373961218,Fault_proner
ConstantPoolFloat,0,8.112465373961218,Clean
ConstantPoolInteger,0,8.112465373961218,Clean
ConstantPoolInterfaceMethodRef,1,8.112465373961218,Clean
ConstantPoolLong,0,8.112465373961218,Clean
ConstantPoolMemberRef,9,8.112465373961218,Fault_proner
ConstantPoolMethodRef,9,8.112465373961218,Fault_proner
ConstantPoolNameAndType,7,8.112465373961218,Clean
ConstantPoolString,7,8.112465373961218,Clean
ConstantPoolTags,0,8.112465373961218,Clean
ConstantPoolUtf8,1,8.112465373961218,Clean
ConstantPoolValue<T>,7,8.112465373961218,Clean
IConstantPoolValue,1,8.112465373961218,Clean
