Component,Threshold,Cutoff,Status
AICharacterControl,6,7.419267707082834,Clean
ThirdPersonCharacter,6,7.419267707082834,Clean
ThirdPersonUserControl,2,7.419267707082834,Clean
AxisTouchButton,7,7.419267707082834,Clean
ButtonHandler,5,7.419267707082834,Clean
CrossPlatformInputManager,8,7.419267707082834,Fault_proner
ActiveInputMethod,1,7.419267707082834,Clean
VirtualAxis,6,7.419267707082834,Clean
VirtualButton,7,7.419267707082834,Clean
InputAxisScrollbar,3,7.419267707082834,Clean
Joystick,7,7.419267707082834,Clean
AxisOption,1,7.419267707082834,Clean
MobileControlRig,3,7.419267707082834,Clean
TiltInput,6,7.419267707082834,Clean
AxisOptions,1,7.419267707082834,Clean
AxisMapping,3,7.419267707082834,Clean
MappingType,1,7.419267707082834,Clean
TiltInputAxisStylePropertyDrawer,3,7.419267707082834,Clean
TouchPad,7,7.419267707082834,Clean
ControlStyle,1,7.419267707082834,Clean
VirtualInput,9,7.419267707082834,Fault_proner
MobileInput,6,7.419267707082834,Clean
StandaloneInput,5,7.419267707082834,Clean
TiltInput_duplicated,6,7.419267707082834,Clean
AxisOptions_duplicated,0,7.419267707082834,Clean
AxisMapping_duplicated,2,7.419267707082834,Clean
MappingType_duplicated,0,7.419267707082834,Clean
TiltInputAxisStylePropertyDrawer_duplicated,3,7.419267707082834,Clean
AAMode,1,7.419267707082834,Clean
Antialiasing,9,7.419267707082834,Fault_proner
Bloom,9,7.419267707082834,Fault_proner
LensFlareStyle,1,7.419267707082834,Clean
TweakMode,1,7.419267707082834,Clean
HDRBloomMode,1,7.419267707082834,Clean
BloomScreenBlendMode,1,7.419267707082834,Clean
BloomQuality,1,7.419267707082834,Clean
LensflareStyle34,1,7.419267707082834,Clean
TweakMode34,1,7.419267707082834,Clean
BloomAndFlares,9,7.419267707082834,Fault_proner
BloomOptimized,8,7.419267707082834,Fault_proner
Resolution,1,7.419267707082834,Clean
BlurType,1,7.419267707082834,Clean
Blur,7,7.419267707082834,Clean
BlurOptimized,8,7.419267707082834,Fault_proner
CameraMotionBlur,9,7.419267707082834,Fault_proner
MotionBlurFilter,1,7.419267707082834,Clean
ColorCorrectionCurves,9,7.419267707082834,Fault_proner
ColorCorrectionMode,1,7.419267707082834,Clean
ColorCorrectionLookup,8,7.419267707082834,Fault_proner
ColorCorrectionRamp,1,7.419267707082834,Clean
ContrastEnhance,7,7.419267707082834,Clean
ContrastStretch,6,7.419267707082834,Clean
CreaseShading,7,7.419267707082834,Clean
DepthOfField,9,7.419267707082834,Fault_proner
BlurSampleCount,1,7.419267707082834,Clean
DepthOfFieldDeprecated,9,7.419267707082834,Fault_proner
Dof34QualitySetting,1,7.419267707082834,Clean
DofResolution,1,7.419267707082834,Clean
DofBlurriness,1,7.419267707082834,Clean
BokehDestination,1,7.419267707082834,Clean
EdgeDetection,8,7.419267707082834,Fault_proner
EdgeDetectMode,1,7.419267707082834,Clean
Fisheye,7,7.419267707082834,Clean
GlobalFog,7,7.419267707082834,Clean
Grayscale,2,7.419267707082834,Clean
ImageEffectBase,6,7.419267707082834,Clean
ImageEffects,5,7.419267707082834,Clean
MotionBlur,7,7.419267707082834,Clean
NoiseAndGrain,8,7.419267707082834,Fault_proner
NoiseAndScratches,6,7.419267707082834,Clean
PostEffectsBase,7,7.419267707082834,Clean
PostEffectsHelper,3,7.419267707082834,Clean
Quads,5,7.419267707082834,Clean
ScreenOverlay,8,7.419267707082834,Fault_proner
OverlayBlendMode,1,7.419267707082834,Clean
ScreenSpaceAmbientObscurance,7,7.419267707082834,Clean
ScreenSpaceAmbientOcclusion,6,7.419267707082834,Clean
SSAOSamples,1,7.419267707082834,Clean
SepiaTone,1,7.419267707082834,Clean
SunShafts,9,7.419267707082834,Fault_proner
SunShaftsResolution,1,7.419267707082834,Clean
ShaftsScreenBlendMode,1,7.419267707082834,Clean
TiltShift,8,7.419267707082834,Fault_proner
TiltShiftMode,1,7.419267707082834,Clean
TiltShiftQuality,1,7.419267707082834,Clean
Tonemapping,9,7.419267707082834,Fault_proner
TonemapperType,1,7.419267707082834,Clean
AdaptiveTexSize,1,7.419267707082834,Clean
Triangles,3,7.419267707082834,Clean
Twirl,4,7.419267707082834,Clean
VignetteAndChromaticAberration,8,7.419267707082834,Fault_proner
AberrationMode,1,7.419267707082834,Clean
Vortex,4,7.419267707082834,Clean
WaterBasic,1,7.419267707082834,Clean
AfterburnerPhysicsForce,5,7.419267707082834,Clean
ExplosionFireAndDebris,6,7.419267707082834,Clean
ExplosionPhysicsForce,2,7.419267707082834,Clean
Explosive,7,7.419267707082834,Clean
ExtinguishableParticleSystem,3,7.419267707082834,Clean
FireLight,4,7.419267707082834,Clean
Hose,3,7.419267707082834,Clean
ParticleSystemMultiplier,1,7.419267707082834,Clean
SmokeParticles,0,7.419267707082834,Clean
WaterHoseParticles,5,7.419267707082834,Clean
ActivateTrigger,6,7.419267707082834,Clean
Mode,1,7.419267707082834,Clean
AutoMobileShaderSwitch,1,7.419267707082834,Clean
ReplacementDefinition,2,7.419267707082834,Clean
ReplacementList,1,7.419267707082834,Clean
ReplacementListDrawer,4,7.419267707082834,Clean
AutoMoveAndRotate,6,7.419267707082834,Clean
Vector3andSpace,2,7.419267707082834,Clean
CameraRefocus,6,7.419267707082834,Clean
CurveControlledBob,6,7.419267707082834,Clean
DragRigidbody,4,7.419267707082834,Clean
DynamicShadowSettings,5,7.419267707082834,Clean
FollowTarget,1,7.419267707082834,Clean
FOVKick,6,7.419267707082834,Clean
FPSCounter,3,7.419267707082834,Clean
LerpControlledBob,6,7.419267707082834,Clean
ObjectResetter,6,7.419267707082834,Clean
ParticleSystemDestroyer,6,7.419267707082834,Clean
PlatformSpecificContent,5,7.419267707082834,Clean
BuildTargetGroup,1,7.419267707082834,Clean
SimpleActivatorMenu,5,7.419267707082834,Clean
SimpleMouseRotator,6,7.419267707082834,Clean
SmoothFollow,4,7.419267707082834,Clean
TimedObjectActivator,5,7.419267707082834,Clean
Action,1,7.419267707082834,Clean
Entry,4,7.419267707082834,Clean
Entries,2,7.419267707082834,Clean
EntriesDrawer,5,7.419267707082834,Clean
TimedObjectDestructor,2,7.419267707082834,Clean
WaypointCircuit,9,7.419267707082834,Fault_proner
WaypointList,3,7.419267707082834,Clean
RoutePoint,3,7.419267707082834,Clean
WaypointListDrawer,5,7.419267707082834,Clean
TransformNameComparer,1,7.419267707082834,Clean
WaypointProgressTracker,7,7.419267707082834,Clean
ProgressStyle,1,7.419267707082834,Clean
AutoMobileShaderSwitch_duplicated,1,7.419267707082834,Clean
ReplacementDefinition_duplicated,1,7.419267707082834,Clean
ReplacementList_duplicated,1,7.419267707082834,Clean
ReplacementListDrawer_duplicated,4,7.419267707082834,Clean
TimedObjectActivator_duplicated,4,7.419267707082834,Clean
Action_duplicated,0,7.419267707082834,Clean
