Component,Threshold,Cutoff,Status
Bank,3,6.358264081255772,Clean
Config,4,6.358264081255772,Clean
DataBase,7,6.358264081255772,Fault_proner
Item,3,6.358264081255772,Clean
ItemStatus,2,6.358264081255772,Clean
ItemType,2,6.358264081255772,Clean
Misc,7,6.358264081255772,Fault_proner
Order,5,6.358264081255772,Clean
PersonInfo,3,6.358264081255772,Clean
XmlSerialization,3,6.358264081255772,Clean
Language,2,6.358264081255772,Clean
Settings,1,6.358264081255772,Clean
TabBank,1,6.358264081255772,Clean
TabItems,1,6.358264081255772,Clean
TabItemStatus,1,6.358264081255772,Clean
TabItemTypes,1,6.358264081255772,Clean
TabOrders,1,6.358264081255772,Clean
TabPersonInfo,1,6.358264081255772,Clean
TabReports,0,6.358264081255772,Clean
