Component,Threshold,Cutoff,Status
ServiceModule,0,5.3916059660076305,Clean
BankDetailsService,4,5.3916059660076305,Clean
CertificateService,8,5.3916059660076305,Fault_proner
CompanyDetailsService,8,5.3916059660076305,Fault_proner
ConsignmentItemService,8,5.3916059660076305,Fault_proner
ConsignmentService,8,5.3916059660076305,Fault_proner
CurrencyService,7,5.3916059660076305,Fault_proner
CustomerService,7,5.3916059660076305,Fault_proner
DeliveryItemService,8,5.3916059660076305,Fault_proner
DeliveryService,8,5.3916059660076305,Fault_proner
EntityIdProviderFromWebService,1,5.3916059660076305,Clean
EntityIdProviderService,1,5.3916059660076305,Clean
InstrumentService,7,5.3916059660076305,Fault_proner
InvoiceItemService,8,5.3916059660076305,Fault_proner
InvoiceService,8,5.3916059660076305,Fault_proner
JobItemService,8,5.3916059660076305,Fault_proner
JobService,8,5.3916059660076305,Fault_proner
ListItemService,5,5.3916059660076305,Clean
OrderItemService,8,5.3916059660076305,Fault_proner
OrderService,8,5.3916059660076305,Fault_proner
QuoteItemService,8,5.3916059660076305,Fault_proner
QuoteService,8,5.3916059660076305,Fault_proner
ServiceBase,3,5.3916059660076305,Clean
SupplierService,8,5.3916059660076305,Fault_proner
TaxCodeService,1,5.3916059660076305,Clean
UserManagementService,8,5.3916059660076305,Fault_proner
DomainValidationException,4,5.3916059660076305,Clean
IValidator,1,5.3916059660076305,Clean
ValidationExtensions,0,5.3916059660076305,Clean
SupplierValidator,1,5.3916059660076305,Clean
UserAccountValidator,1,5.3916059660076305,Clean
