Component,Threshold,Cutoff,Status
Event,4,7.728541131822748,Clean
EventId,4,7.728541131822748,Clean
Hierarchy,5,7.728541131822748,Clean
IEventConverter,3,7.728541131822748,Clean
IHierarchy,4,7.728541131822748,Clean
IServiceMessageFactory,5,7.728541131822748,Clean
IServiceMessageWriter,2,7.728541131822748,Clean
ServiceMessageFactory,7,7.728541131822748,Clean
ServiceMessage,5,7.728541131822748,Clean
Names,3,7.728541131822748,Clean
ServiceMessageAttr,4,7.728541131822748,Clean
ServiceMessageWriter,7,7.728541131822748,Clean
EventConverter3,7,7.728541131822748,Clean
EventConverter2,7,7.728541131822748,Clean
TeamCityEventListener,8,7.728541131822748,Fault_proner
SafeAttributeAccess,1,7.728541131822748,Clean
ExtensionAttribute,0,7.728541131822748,Clean
