Component,Threshold,Cutoff,Status
CameraCapture,7,5.338938639676298,Fault_proner
RecorderState,0,5.338938639676298,Clean
FFmpegConfig,2,5.338938639676298,Clean
FFmpegPipe,8,5.338938639676298,Fault_proner
Codec,0,5.338938639676298,Clean
Resolution,0,5.338938639676298,Clean
Blitter,5,5.338938639676298,Clean
ErrorHandling,4,5.338938639676298,Clean
Disposable,2,5.338938639676298,Clean
RecursiveReader,4,5.338938639676298,Clean
ArraySegmentExtensions,3,5.338938639676298,Clean
YUVFormat,0,5.338938639676298,Clean
YUVHeader,8,5.338938639676298,Fault_proner
YUVFrameReader,6,5.338938639676298,Fault_proner
YUVFrame,3,5.338938639676298,Clean
YUVReader,7,5.338938639676298,Fault_proner
MessagePackObjectAttribute,3,5.338938639676298,Clean
KeyAttribute,5,5.338938639676298,Clean
IgnoreMemberAttribute,0,5.338938639676298,Clean
UnionAttribute,3,5.338938639676298,Clean
SerializationConstructorAttribute,0,5.338938639676298,Clean
MessagePackFormatterAttribute,5,5.338938639676298,Clean
Float32Bits,7,5.338938639676298,Fault_proner
Float64Bits,7,5.338938639676298,Fault_proner
IFormatterResolver,2,5.338938639676298,Clean
FormatterResolverExtensions,5,5.338938639676298,Clean
FormatterNotRegisteredException,1,5.338938639676298,Clean
IMessagePackSerializationCallbackReceiver,3,5.338938639676298,Clean
TinyJsonToken,1,5.338938639676298,Clean
ValueType,1,5.338938639676298,Clean
TinyJsonException,1,5.338938639676298,Clean
TinyJsonReader,7,5.338938639676298,Fault_proner
LZ4MessagePackSerializer,7,5.338938639676298,Fault_proner
LZ4MemoryPool,3,5.338938639676298,Clean
MessagePackBinary,7,5.338938639676298,Fault_proner
StreamDecodeMemoryPool,4,5.338938639676298,Clean
ExtensionResult,3,5.338938639676298,Clean
ExtensionHeader,3,5.338938639676298,Clean
DateTimeConstants,1,5.338938639676298,Clean
IMapHeaderDecoder,0,5.338938639676298,Clean
FixMapHeader,5,5.338938639676298,Clean
Map16Header,5,5.338938639676298,Clean
Map32Header,5,5.338938639676298,Clean
InvalidMapHeader,6,5.338938639676298,Fault_proner
IArrayHeaderDecoder,0,5.338938639676298,Clean
FixArrayHeader,5,5.338938639676298,Clean
Array16Header,5,5.338938639676298,Clean
Array32Header,5,5.338938639676298,Clean
InvalidArrayHeader,6,5.338938639676298,Fault_proner
IBooleanDecoder,0,5.338938639676298,Clean
1,5,5.338938639676298,Clean
0,5,5.338938639676298,Clean
InvalidBoolean,5,5.338938639676298,Clean
IByteDecoder,0,5.338938639676298,Clean
FixByte,5,5.338938639676298,Clean
UInt8Byte,5,5.338938639676298,Clean
InvalidByte,6,5.338938639676298,Fault_proner
IBytesDecoder,0,5.338938639676298,Clean
NilBytes,5,5.338938639676298,Clean
Bin8Bytes,5,5.338938639676298,Clean
Bin16Bytes,5,5.338938639676298,Clean
Bin32Bytes,5,5.338938639676298,Clean
InvalidBytes,6,5.338938639676298,Fault_proner
IBytesSegmentDecoder,0,5.338938639676298,Clean
NilBytesSegment,5,5.338938639676298,Clean
Bin8BytesSegment,5,5.338938639676298,Clean
Bin16BytesSegment,5,5.338938639676298,Clean
Bin32BytesSegment,5,5.338938639676298,Clean
InvalidBytesSegment,6,5.338938639676298,Fault_proner
ISByteDecoder,0,5.338938639676298,Clean
FixSByte,5,5.338938639676298,Clean
Int8SByte,5,5.338938639676298,Clean
InvalidSByte,6,5.338938639676298,Fault_proner
ISingleDecoder,0,5.338938639676298,Clean
FixNegativeFloat,6,5.338938639676298,Fault_proner
FixFloat,6,5.338938639676298,Fault_proner
Int8Single,6,5.338938639676298,Fault_proner
Int16Single,6,5.338938639676298,Fault_proner
Int32Single,6,5.338938639676298,Fault_proner
