Component,Threshold,Cutoff,Status
DemoScript,7,8.509925332362046,Clean
RotationAxes,1,8.509925332362046,Clean
RangeOfIntegers,2,8.509925332362046,Clean
RangeOfFloats,2,8.509925332362046,Clean
FireBaseScript,10,8.509925332362046,Fault_proner
ICollisionHandler,2,8.509925332362046,Clean
FireCollisionForwardScript,3,8.509925332362046,Clean
LoopingAudioSource,6,8.509925332362046,Clean
FireConstantBaseScript,4,8.509925332362046,Clean
FireLightScript,5,8.509925332362046,Clean
FireProjectileScript,9,8.509925332362046,Fault_proner
MeteorSwarmScript,8,8.509925332362046,Clean
SingleLineAttribute,3,8.509925332362046,Clean
SingleLineDrawer,5,8.509925332362046,Clean
LightningBoltEditor,2,8.509925332362046,Clean
VSCode,8,8.509925332362046,Clean
VSCodeAssetPostprocessor,1,8.509925332362046,Clean
