Component,Threshold,Cutoff,Status
AntiAliasing,7,8.343572778827978,Clean
Method,0,8.343572778827978,Clean
FXAA,10,8.343572778827978,Fault_proner
QualitySettings,5,8.343572778827978,Clean
ConsoleSettings,3,8.343572778827978,Clean
Preset,6,8.343572778827978,Clean
LayoutAttribute,1,8.343572778827978,Clean
IAntiAliasing,5,8.343572778827978,Clean
SMAA,10,8.343572778827978,Fault_proner
SettingsGroup,1,8.343572778827978,Clean
TopLevelSettings,1,8.343572778827978,Clean
ExperimentalGroup,1,8.343572778827978,Clean
DebugPass,1,8.343572778827978,Clean
QualityPreset,1,8.343572778827978,Clean
EdgeDetectionMethod,1,8.343572778827978,Clean
GlobalSettings,5,8.343572778827978,Clean
TemporalSettings,5,8.343572778827978,Clean
PredicationSettings,6,8.343572778827978,Clean
AmbientOcclusion,7,8.343572778827978,Clean
PropertyObserver,7,8.343572778827978,Clean
SampleCount,1,8.343572778827978,Clean
OcclusionSource,1,8.343572778827978,Clean
Settings,5,8.343572778827978,Clean
Bloom,7,8.343572778827978,Clean
ImageEffectHelper,6,8.343572778827978,Clean
MinAttribute,2,8.343572778827978,Clean
RenderTextureUtility,5,8.343572778827978,Clean
DepthOfField,8,8.343572778827978,Clean
Passes,2,8.343572778827978,Clean
MedianPasses,1,8.343572778827978,Clean
BokehTexturesPasses,1,8.343572778827978,Clean
TweakMode,1,8.343572778827978,Clean
ApertureShape,1,8.343572778827978,Clean
FilterQuality,1,8.343572778827978,Clean
AllTweakModes,1,8.343572778827978,Clean
Basic,1,8.343572778827978,Clean
Advanced,1,8.343572778827978,Clean
Explicit,1,8.343572778827978,Clean
FocusSettings,6,8.343572778827978,Clean
BokehTextureSettings,6,8.343572778827978,Clean
BlurSettings,6,8.343572778827978,Clean
LensAberrations,8,8.343572778827978,Clean
AdvancedSetting,1,8.343572778827978,Clean
DistortionSettings,5,8.343572778827978,Clean
VignetteSettings,6,8.343572778827978,Clean
ChromaticAberrationSettings,4,8.343572778827978,Clean
Pass,1,8.343572778827978,Clean
ScreenSpaceReflection,8,8.343572778827978,Clean
SSRDebugMode,0,8.343572778827978,Clean
SSRResolution,1,8.343572778827978,Clean
SSRSettings,6,8.343572778827978,Clean
BasicSettings,3,8.343572778827978,Clean
ReflectionSettings,4,8.343572778827978,Clean
AdvancedSettings,4,8.343572778827978,Clean
DebugSettings,1,8.343572778827978,Clean
PassIndex,1,8.343572778827978,Clean
TonemappingColorGrading,9,8.343572778827978,Fault_proner
IndentedGroup,0,8.343572778827978,Clean
ChannelMixer,0,8.343572778827978,Clean
ColorWheelGroup,5,8.343572778827978,Clean
Curve,4,8.343572778827978,Clean
EyeAdaptationSettings,6,8.343572778827978,Clean
Tonemapper,1,8.343572778827978,Clean
TonemappingSettings,6,8.343572778827978,Clean
LUTSettings,4,8.343572778827978,Clean
ColorWheelsSettings,4,8.343572778827978,Clean
BasicsSettings,5,8.343572778827978,Clean
ChannelMixerSettings,3,8.343572778827978,Clean
CurvesSettings,6,8.343572778827978,Clean
ColorGradingPrecision,0,8.343572778827978,Clean
ColorGradingSettings,6,8.343572778827978,Clean
DragByChangingPhysics,8,8.343572778827978,Clean
MoveBy,1,8.343572778827978,Clean
AttachMode,1,8.343572778827978,Clean
AttachCondition,1,8.343572778827978,Clean
DragByParenting,6,8.343572778827978,Clean
DragWithJoint,8,8.343572778827978,Clean
IForceGauge,3,8.343572778827978,Clean
InputController,8,8.343572778827978,Clean
Interactable,8,8.343572778827978,Clean
PlaySoundOnCollision,3,8.343572778827978,Clean
SliderGauge,5,8.343572778827978,Clean
SphereGauge,5,8.343572778827978,Clean
IVRSystem,3,8.343572778827978,Clean
IVRExtendedDisplay,2,8.343572778827978,Clean
IVRTrackedCamera,3,8.343572778827978,Clean
IVRApplications,3,8.343572778827978,Clean
IVRChaperone,3,8.343572778827978,Clean
IVRChaperoneSetup,3,8.343572778827978,Clean
IVRCompositor,3,8.343572778827978,Clean
IVROverlay,3,8.343572778827978,Clean
IVRRenderModels,3,8.343572778827978,Clean
IVRNotifications,1,8.343572778827978,Clean
IVRSettings,3,8.343572778827978,Clean
IVRScreenshots,3,8.343572778827978,Clean
IVRResources,1,8.343572778827978,Clean
CVRSystem,6,8.343572778827978,Clean
CVRExtendedDisplay,6,8.343572778827978,Clean
CVRTrackedCamera,6,8.343572778827978,Clean
CVRApplications,6,8.343572778827978,Clean
CVRChaperone,6,8.343572778827978,Clean
CVRChaperoneSetup,6,8.343572778827978,Clean
CVRCompositor,6,8.343572778827978,Clean
CVROverlay,6,8.343572778827978,Clean
CVRRenderModels,6,8.343572778827978,Clean
CVRNotifications,4,8.343572778827978,Clean
CVRSettings,6,8.343572778827978,Clean
CVRScreenshots,6,8.343572778827978,Clean
CVRResources,4,8.343572778827978,Clean
OpenVRInterop,4,8.343572778827978,Clean
EVREye,1,8.343572778827978,Clean
EGraphicsAPIConvention,1,8.343572778827978,Clean
EColorSpace,1,8.343572778827978,Clean
ETrackingResult,1,8.343572778827978,Clean
ETrackedDeviceClass,1,8.343572778827978,Clean
ETrackedControllerRole,1,8.343572778827978,Clean
ETrackingUniverseOrigin,1,8.343572778827978,Clean
ETrackedDeviceProperty,2,8.343572778827978,Clean
ETrackedPropertyError,1,8.343572778827978,Clean
EVRSubmitFlags,1,8.343572778827978,Clean
EVRState,0,8.343572778827978,Clean
EVREventType,2,8.343572778827978,Clean
EDeviceActivityLevel,1,8.343572778827978,Clean
EVRButtonId,1,8.343572778827978,Clean
EVRMouseButton,0,8.343572778827978,Clean
EVRControllerAxisType,1,8.343572778827978,Clean
EVRControllerEventOutputType,0,8.343572778827978,Clean
ECollisionBoundsStyle,0,8.343572778827978,Clean
EVROverlayError,1,8.343572778827978,Clean
EVRApplicationType,1,8.343572778827978,Clean
EVRFirmwareError,1,8.343572778827978,Clean
EVRNotificationError,1,8.343572778827978,Clean
EVRInitError,2,8.343572778827978,Clean
EVRScreenshotType,1,8.343572778827978,Clean
EVRScreenshotPropertyFilenames,1,8.343572778827978,Clean
EVRTrackedCameraError,1,8.343572778827978,Clean
EVRTrackedCameraFrameType,1,8.343572778827978,Clean
EVRApplicationError,1,8.343572778827978,Clean
EVRApplicationProperty,1,8.343572778827978,Clean
EVRApplicationTransitionState,1,8.343572778827978,Clean
ChaperoneCalibrationState,1,8.343572778827978,Clean
EChaperoneConfigFile,1,8.343572778827978,Clean
EChaperoneImportFlags,0,8.343572778827978,Clean
EVRCompositorError,1,8.343572778827978,Clean
