Component,Threshold,Cutoff,Status
AssemblyRegistry,7,6.800000000000001,Fault_proner
AssemblyRegistration,8,6.800000000000001,Fault_proner
AssemblyRegistrationCollection,3,6.800000000000001,Clean
RegisteredProject,2,6.800000000000001,Clean
ConfigRegistry,8,6.800000000000001,Fault_proner
ConfigSetting,6,6.800000000000001,Clean
ConfigSettings,3,6.800000000000001,Clean
ConfigExtensions,4,6.800000000000001,Clean
MultiFileRegistry<T>,5,6.800000000000001,Clean
IPin,3,6.800000000000001,Clean
PinExtensions,2,6.800000000000001,Clean
AssemblyBackup,6,6.800000000000001,Clean
AssemblyRestorePaths,1,6.800000000000001,Clean
AssemblyBackupCollection,5,6.800000000000001,Clean
JsonRegistry<T>,6,6.800000000000001,Clean
PinnedProject,2,6.800000000000001,Clean
PinnedRepo,1,6.800000000000001,Clean
PinRegistry,7,6.800000000000001,Fault_proner
PinHolder,1,6.800000000000001,Clean
AssemblyPin,3,6.800000000000001,Clean
AssemblyPinCollection,3,6.800000000000001,Clean
RepoPin,3,6.800000000000001,Clean
RepoPinCollection,3,6.800000000000001,Clean
RepoRegistry,7,6.800000000000001,Fault_proner
RepoRegistration,2,6.800000000000001,Clean
RepoRegistrationCollection,3,6.800000000000001,Clean
XRepoEnvironment,8,6.800000000000001,Fault_proner
