Component,Threshold,Cutoff,Status
Vector2i,2,9.51552,Clean
Sizei,2,9.51552,Clean
Recti,1,9.51552,Clean
Quatf,4,9.51552,Clean
Vector2f,2,9.51552,Clean
Vector3f,4,9.51552,Clean
Matrix4f,2,9.51552,Clean
Matrix4f_Raw,3,9.51552,Clean
Posef,3,9.51552,Clean
PoseStatef,3,9.51552,Clean
InitFlags,1,9.51552,Clean
LogLevel,0,9.51552,Clean
InitParams,4,9.51552,Clean
FovPort,3,9.51552,Clean
HmdType,1,9.51552,Clean
HmdCaps,1,9.51552,Clean
TrackingCaps,0,9.51552,Clean
DistortionCaps,1,9.51552,Clean
Eye,1,9.51552,Clean
HmdDesc,7,9.51552,Clean
HmdDesc_Raw32,5,9.51552,Clean
HmdDesc_Raw64,5,9.51552,Clean
StatusBits,1,9.51552,Clean
SensorData,4,9.51552,Clean
TrackingState,4,9.51552,Clean
FrameTiming,5,9.51552,Clean
FrameTiming_Raw,3,9.51552,Clean
EyeRenderDesc,4,9.51552,Clean
RenderAPIType,1,9.51552,Clean
RenderAPIConfigHeader,3,9.51552,Clean
RenderAPIConfig_Raw,4,9.51552,Clean
RenderAPIConfig,6,9.51552,Clean
OpenGLWindowsConfig,5,9.51552,Clean
OpenGLLinuxConfig,5,9.51552,Clean
AndroidGLESConfig,5,9.51552,Clean
D3D9Config,5,9.51552,Clean
D3D11Config,7,9.51552,Clean
TextureHeader,3,9.51552,Clean
Texture,6,9.51552,Clean
GLTextureData,5,9.51552,Clean
D3D9TextureData,5,9.51552,Clean
D3D10TextureData,5,9.51552,Clean
D3D11TextureData,5,9.51552,Clean
Texture_Raw,4,9.51552,Clean
DistortionVertex,4,9.51552,Clean
DistortionMesh,6,9.51552,Clean
DistortionMesh_Raw,3,9.51552,Clean
HSWDisplayState,3,9.51552,Clean
Hmd,7,9.51552,Clean
ProjectionModifier,1,9.51552,Clean
