Component,Threshold,Cutoff,Status
AxisTouchButton,7,7.054646710755308,Clean
ButtonHandler,6,7.054646710755308,Clean
CrossPlatformInputManager,8,7.054646710755308,Fault_proner
ActiveInputMethod,1,7.054646710755308,Clean
VirtualAxis,6,7.054646710755308,Clean
VirtualButton,7,7.054646710755308,Clean
InputAxisScrollbar,2,7.054646710755308,Clean
Joystick,7,7.054646710755308,Clean
AxisOption,1,7.054646710755308,Clean
MobileControlRig,3,7.054646710755308,Clean
TiltInput,6,7.054646710755308,Clean
AxisOptions,1,7.054646710755308,Clean
AxisMapping,4,7.054646710755308,Clean
MappingType,1,7.054646710755308,Clean
TiltInputAxisStylePropertyDrawer,1,7.054646710755308,Clean
TouchPad,7,7.054646710755308,Clean
ControlStyle,1,7.054646710755308,Clean
VirtualInput,9,7.054646710755308,Fault_proner
MobileInput,6,7.054646710755308,Clean
StandaloneInput,5,7.054646710755308,Clean
TiltInput_duplicated,6,7.054646710755308,Clean
AxisOptions_duplicated,0,7.054646710755308,Clean
AxisMapping_duplicated,3,7.054646710755308,Clean
MappingType_duplicated,0,7.054646710755308,Clean
TiltInputAxisStylePropertyDrawer_duplicated,1,7.054646710755308,Clean
CrossPlatformInitialize,4,7.054646710755308,Clean
