Component,Threshold,Cutoff,Status
AmbiguousTaskNameException,6,8.169973871901702,Clean
BounceException,6,8.169973871901702,Clean
BounceRunner,6,8.169973871901702,Clean
CommandExecutionException,8,8.169973871901702,Clean
ConsoleShellLogger,4,8.169973871901702,Clean
IShellLogger,4,8.169973871901702,Clean
ITaskRunner,3,8.169973871901702,Clean
LogExtensions,1,8.169973871901702,Clean
MultiShellLogger,8,8.169973871901702,Clean
Props,8,8.169973871901702,Clean
StringShellLogger,8,8.169973871901702,Clean
DefaultLogFormatter,3,8.169973871901702,Clean
DependencyResolverAttribute,1,8.169973871901702,Clean
AttributedDependencyResolvers,8,8.169973871901702,Clean
ICommandLog,5,8.169973871901702,Clean
IDependencyResolver,2,8.169973871901702,Clean
Parameters,8,8.169973871901702,Clean
TaskException,5,8.169973871901702,Clean
TaskRunner,7,8.169973871901702,Clean
ILog,5,8.169973871901702,Clean
ILogMessageFormatter,3,8.169973871901702,Clean
ILogOptionCommandLineParser,1,8.169973871901702,Clean
IShell,5,8.169973871901702,Clean
ITask,4,8.169973871901702,Clean
ITaskParameter,3,8.169973871901702,Clean
ITypeParsers,5,8.169973871901702,Clean
Log,10,8.169973871901702,Fault_proner
LogLevel,1,8.169973871901702,Clean
LogOptions,3,8.169973871901702,Clean
NonNamedArgumentException,6,8.169973871901702,Clean
NoMatchingTaskException,7,8.169973871901702,Clean
NullCommandLog,6,8.169973871901702,Clean
ArgumentsParser,6,8.169973871901702,Clean
TaskParameters,7,8.169973871901702,Clean
ProcessOutput,3,8.169973871901702,Clean
RequiredParameterNotGivenException,2,8.169973871901702,Clean
Shell,8,8.169973871901702,Clean
ShellExecutableNotFoundException,2,8.169973871901702,Clean
TaskAttribute,1,8.169973871901702,Clean
MethodInfoExtensions,3,8.169973871901702,Clean
TaskMethod,9,8.169973871901702,Fault_proner
TaskMethodParameter,5,8.169973871901702,Clean
TaskParameter,5,8.169973871901702,Clean
TaskParameterException,3,8.169973871901702,Clean
TaskRequiredParameterException,7,8.169973871901702,Clean
TypeParsers,9,8.169973871901702,Fault_proner
NullTypeParser,8,8.169973871901702,Clean
EnumParser,8,8.169973871901702,Clean
TypeParserNotFoundException,1,8.169973871901702,Clean
ITypeParser,5,8.169973871901702,Clean
IntParser,6,8.169973871901702,Clean
BooleanParser,6,8.169973871901702,Clean
StringParser,6,8.169973871901702,Clean
DateTimeParser,6,8.169973871901702,Clean
UsageHelp,6,8.169973871901702,Clean
MsBuildLogger,6,8.169973871901702,Clean
TeamCityArtifactPublisher,1,8.169973871901702,Clean
TeamCityFormatter,8,8.169973871901702,Clean
TeamCityLog,7,8.169973871901702,Clean
TeamCityMsBuildLogger,8,8.169973871901702,Clean
TeamCityNUnitLogger,9,8.169973871901702,Fault_proner
TeamCityTextFormatter,2,8.169973871901702,Clean
IMsBuild,2,8.169973871901702,Clean
IMsBuildFile,1,8.169973871901702,Clean
IVisualStudioProject,3,8.169973871901702,Clean
MsBuildToolsVersion,3,8.169973871901702,Clean
MsBuild,8,8.169973871901702,Clean
MsBuildFile,5,8.169973871901702,Clean
ConditionParseException,0,8.169973871901702,Clean
IPropertyValues,2,8.169973871901702,Clean
IVisualStudio,3,8.169973871901702,Clean
IVisualStudioSolution,4,8.169973871901702,Clean
ParseResult<T>,2,8.169973871901702,Clean
ProjectFilePropertyExpressionParser,7,8.169973871901702,Clean
PropertyValues,5,8.169973871901702,Clean
IVisualStudioProjectFileLoader,2,8.169973871901702,Clean
IVisualStudioSolutionFileLoader,2,8.169973871901702,Clean
VisualStudio,7,8.169973871901702,Clean
VisualStudioCSharpProjectFileLoader,7,8.169973871901702,Clean
VisualStudioProject,4,8.169973871901702,Clean
VisualStudioProjects,7,8.169973871901702,Clean
VisualStudioSolution,6,8.169973871901702,Clean
VisualStudioSolutionDetails,1,8.169973871901702,Clean
VisualStudioSolutionFileDetails,2,8.169973871901702,Clean
VisualStudioSolutionFileLoader,6,8.169973871901702,Clean
VisualStudioSolutionFileReader,7,8.169973871901702,Clean
VisualStudioSolutionProjectReference,2,8.169973871901702,Clean
IAppPool,0,8.169973871901702,Clean
Iis7WebApplication,8,8.169973871901702,Clean
Iis7WebSite,9,8.169973871901702,Fault_proner
IWebApplication,3,8.169973871901702,Clean
WebSiteBindingParser,7,8.169973871901702,Clean
IWebServer,4,8.169973871901702,Clean
IWebSite,3,8.169973871901702,Clean
Iis7,8,8.169973871901702,Clean
BindingGroup,3,8.169973871901702,Clean
WebSiteBinding,6,8.169973871901702,Clean
WebSiteNotFoundException,1,8.169973871901702,Clean
INUnit,5,8.169973871901702,Clean
NUnit,8,8.169973871901702,Clean
BadExitException,4,8.169973871901702,Clean
BeforeBounceScriptException,6,8.169973871901702,Clean
BeforeBounceScriptRunner,6,8.169973871901702,Clean
RedirectedProcessOutputCapturer,7,8.169973871901702,Clean
BounceAssemblyRunner,7,8.169973871901702,Clean
BounceConsoleException,3,8.169973871901702,Clean
BounceDirectoryFinder,5,8.169973871901702,Clean
FirstNonNullIEnumerableExtension,3,8.169973871901702,Clean
IBounceDirectoryFinder,2,8.169973871901702,Clean
ITargetsAssemblyFinder,1,8.169973871901702,Clean
Program,1,8.169973871901702,Clean
OptionsAndArguments,3,8.169973871901702,Clean
