Component,Threshold,Cutoff,Status
BodyCollider,0,7.537781184776727,Clean
CircularDrive,6,7.537781184776727,Clean
Axis_t,0,7.537781184776727,Clean
ComplexThrowable,6,7.537781184776727,Clean
AttachMode,1,7.537781184776727,Clean
ControllerHoverHighlight,7,7.537781184776727,Clean
CustomEvents,0,7.537781184776727,Clean
UnityEventSingleFloat,0,7.537781184776727,Clean
UnityEventHand,1,7.537781184776727,Clean
DebugUI,2,7.537781184776727,Clean
DestroyOnDetachedFromHand,1,7.537781184776727,Clean
DestroyOnParticleSystemDeath,0,7.537781184776727,Clean
DestroyOnTriggerEnter,0,7.537781184776727,Clean
DistanceHaptics,2,7.537781184776727,Clean
DontDestroyOnLoad,0,7.537781184776727,Clean
EnumFlags,2,7.537781184776727,Clean
EnumFlagsPropertyDrawer,1,7.537781184776727,Clean
FallbackCameraController,5,7.537781184776727,Clean
Hand,9,7.537781184776727,Fault_proner
HandType,1,7.537781184776727,Clean
AttachmentFlags,1,7.537781184776727,Clean
AttachedObject,3,7.537781184776727,Clean
HandEditor,3,7.537781184776727,Clean
HapticRack,6,7.537781184776727,Clean
HideOnHandFocusLost,1,7.537781184776727,Clean
IgnoreHovering,1,7.537781184776727,Clean
InputModule,6,7.537781184776727,Clean
Interactable,2,7.537781184776727,Clean
InteractableButtonEvents,5,7.537781184776727,Clean
InteractableHoverEvents,4,7.537781184776727,Clean
ItemPackage,4,7.537781184776727,Clean
ItemPackageType,1,7.537781184776727,Clean
ItemPackageReference,2,7.537781184776727,Clean
ItemPackageSpawner,7,7.537781184776727,Clean
LinearAnimation,5,7.537781184776727,Clean
LinearAnimator,5,7.537781184776727,Clean
LinearAudioPitch,6,7.537781184776727,Clean
LinearBlendshape,4,7.537781184776727,Clean
LinearDisplacement,3,7.537781184776727,Clean
LinearDrive,6,7.537781184776727,Clean
LinearMapping,1,7.537781184776727,Clean
Player,9,7.537781184776727,Fault_proner
PlaySound,7,7.537781184776727,Clean
SeeThru,5,7.537781184776727,Clean
SleepOnAwake,0,7.537781184776727,Clean
SoundDeparent,0,7.537781184776727,Clean
SoundPlayOneshot,8,7.537781184776727,Fault_proner
SpawnAndAttachAfterControllerIsTracking,2,7.537781184776727,Clean
SpawnAndAttachToHand,3,7.537781184776727,Clean
SpawnRenderModel,5,7.537781184776727,Clean
Throwable,6,7.537781184776727,Clean
UIElement,5,7.537781184776727,Clean
UIElementEditor,2,7.537781184776727,Clean
Unparent,2,7.537781184776727,Clean
Util,8,7.537781184776727,Fault_proner
AfterTimer_Component,6,7.537781184776727,Clean
VelocityEstimator,7,7.537781184776727,Clean
ControllerButtonHints,9,7.537781184776727,Fault_proner
OffsetType,1,7.537781184776727,Clean
ButtonHintInfo,3,7.537781184776727,Clean
ArcheryTarget,6,7.537781184776727,Clean
Arrow,7,7.537781184776727,Clean
ArrowHand,7,7.537781184776727,Clean
ArrowheadRotation,0,7.537781184776727,Clean
Balloon,8,7.537781184776727,Fault_proner
BalloonColor,1,7.537781184776727,Clean
BalloonColliders,4,7.537781184776727,Clean
BalloonHapticBump,2,7.537781184776727,Clean
BalloonSpawner,7,7.537781184776727,Clean
ExplosionWobble,2,7.537781184776727,Clean
FireSource,7,7.537781184776727,Clean
Longbow,8,7.537781184776727,Fault_proner
Handedness,1,7.537781184776727,Clean
SoundBowClick,4,7.537781184776727,Clean
ControllerHintsExample,5,7.537781184776727,Clean
InteractableExample,5,7.537781184776727,Clean
AllowTeleportWhileAttachedToHand,2,7.537781184776727,Clean
ChaperoneInfo,6,7.537781184776727,Clean
IgnoreTeleportTrace,0,7.537781184776727,Clean
Teleport,9,7.537781184776727,Fault_proner
TeleportArc,8,7.537781184776727,Fault_proner
