Component,Threshold,Cutoff,Status
Constants,2,6.234583598219962,Clean
AnalyzerIdentifiers,3,6.234583598219962,Clean
Categories,3,6.234583598219962,Clean
SaveMethodNames,2,6.234583598219962,Clean
EvaluateManagedBackingFieldsCodeFix,6,6.234583598219962,Clean
CslaMemberConstants,4,6.234583598219962,Clean
Properties,3,6.234583598219962,Clean
Operations,3,6.234583598219962,Clean
Types,3,6.234583598219962,Clean
EvaluateManagedBackingFieldsAnalayzer,6,6.234583598219962,Clean
EvaluateManagedBackingFieldsAnalayzerConstants,2,6.234583598219962,Clean
EvaluateManagedBackingFieldsCodeFixConstants,1,6.234583598219962,Clean
EvaluateManagedBackingFieldsWalker,6,6.234583598219962,Clean
FindOperationsWithNonSerializableArgumentsConstants,2,6.234583598219962,Clean
FindOperationsWithNonSerializableArgumentsAnalyzer,5,6.234583598219962,Clean
FindSetOrLoadInvocationsWalker,6,6.234583598219962,Clean
FindGetOrReadInvocationsWalker,6,6.234583598219962,Clean
OnlyUseCslaPropertyMethodsInGetSetRuleConstants,2,6.234583598219962,Clean
EvaluatePropertiesForSimplicityAnalyzer,6,6.234583598219962,Clean
FindSaveAssignmentIssueAnalyzerAddAsyncAssignmentCodeFix,6,6.234583598219962,Clean
FindSaveAssignmentIssueAnalyzerAddAssignmentCodeFix,6,6.234583598219962,Clean
FindSaveAssignmentIssueAnalyzerConstants,2,6.234583598219962,Clean
FindSaveAsyncAssignmentIssueAnalyzerConstants,2,6.234583598219962,Clean
FindSaveAssignmentIssueAnalyzerAddAssignmentCodeFixConstants,1,6.234583598219962,Clean
FindSaveAssignmentIssueAnalyzerAddAsyncAssignmentCodeFixConstants,0,6.234583598219962,Clean
FindSaveAssignmentIssueAnalyzer,7,6.234583598219962,Fault_proner
CheckConstructorsAnalyzer,7,6.234583598219962,Fault_proner
PublicNoArgumentConstructorIsMissingConstants,3,6.234583598219962,Clean
ConstructorHasParametersConstants,2,6.234583598219962,Clean
CheckConstructorsAnalyzerPublicConstructorCodeFixConstants,3,6.234583598219962,Clean
CheckConstructorsAnalyzerPublicConstructorCodeFix,6,6.234583598219962,Clean
ContainsInvocationExpressionWalker,5,6.234583598219962,Clean
IsOperationMethodPublicMakeNonPublicCodeFix,6,6.234583598219962,Clean
IsOperationMethodPublicAnalyzerConstants,3,6.234583598219962,Clean
IsOperationMethodPublicAnalyzerMakeNonPublicCodeFixConstants,3,6.234583598219962,Clean
IsOperationMethodPublicAnalyzer,7,6.234583598219962,Fault_proner
IsBusinessObjectSerializableAnalyzer,5,6.234583598219962,Clean
IsBusinessObjectSerializableConstants,2,6.234583598219962,Clean
IsBusinessObjectSerializableMakeSerializableCodeFixConstants,3,6.234583598219962,Clean
IsBusinessObjectSerializableMakeSerializableCodeFix,6,6.234583598219962,Clean
ISymbolExtensions,3,6.234583598219962,Clean
SyntaxNodeExtensions,3,6.234583598219962,Clean
IMethodSymbolExtensions,4,6.234583598219962,Clean
ITypeSymbolExtensions,4,6.234583598219962,Clean
