Component,Threshold,Cutoff,Status
Keyboard,7,7.069128827063201,Clean
Layout,1,7.069128827063201,Clean
KeyboardDisplay,5,7.069128827063201,Clean
KeyboardKey,9,7.069128827063201,Fault_proner
KeyboardKeyMesh,3,7.069128827063201,Clean
KeyboardMallet,7,7.069128827063201,Clean
KeyboardMalletHandle,0,7.069128827063201,Clean
MoveAndScale,6,7.069128827063201,Clean
State,1,7.069128827063201,Clean
IVRSystem,3,7.069128827063201,Clean
IVRExtendedDisplay,3,7.069128827063201,Clean
IVRTrackedCamera,3,7.069128827063201,Clean
IVRApplications,3,7.069128827063201,Clean
IVRChaperone,3,7.069128827063201,Clean
IVRChaperoneSetup,3,7.069128827063201,Clean
IVRCompositor,3,7.069128827063201,Clean
IVROverlay,3,7.069128827063201,Clean
IVRRenderModels,3,7.069128827063201,Clean
IVRNotifications,1,7.069128827063201,Clean
IVRSettings,3,7.069128827063201,Clean
IVRScreenshots,3,7.069128827063201,Clean
IVRResources,1,7.069128827063201,Clean
CVRSystem,6,7.069128827063201,Clean
CVRExtendedDisplay,6,7.069128827063201,Clean
CVRTrackedCamera,6,7.069128827063201,Clean
CVRApplications,6,7.069128827063201,Clean
CVRChaperone,6,7.069128827063201,Clean
CVRChaperoneSetup,6,7.069128827063201,Clean
CVRCompositor,6,7.069128827063201,Clean
CVROverlay,6,7.069128827063201,Clean
CVRRenderModels,6,7.069128827063201,Clean
CVRNotifications,5,7.069128827063201,Clean
CVRSettings,6,7.069128827063201,Clean
CVRScreenshots,6,7.069128827063201,Clean
CVRResources,4,7.069128827063201,Clean
OpenVRInterop,5,7.069128827063201,Clean
EVREye,1,7.069128827063201,Clean
ETextureType,1,7.069128827063201,Clean
EColorSpace,1,7.069128827063201,Clean
ETrackingResult,1,7.069128827063201,Clean
ETrackedDeviceClass,1,7.069128827063201,Clean
ETrackedControllerRole,1,7.069128827063201,Clean
ETrackingUniverseOrigin,1,7.069128827063201,Clean
ETrackedDeviceProperty,2,7.069128827063201,Clean
ETrackedPropertyError,1,7.069128827063201,Clean
EVRSubmitFlags,1,7.069128827063201,Clean
EVRState,0,7.069128827063201,Clean
EVREventType,2,7.069128827063201,Clean
EDeviceActivityLevel,1,7.069128827063201,Clean
EVRButtonId,2,7.069128827063201,Clean
EVRMouseButton,0,7.069128827063201,Clean
EHiddenAreaMeshType,1,7.069128827063201,Clean
EVRControllerAxisType,1,7.069128827063201,Clean
EVRControllerEventOutputType,0,7.069128827063201,Clean
ECollisionBoundsStyle,0,7.069128827063201,Clean
EVROverlayError,2,7.069128827063201,Clean
EVRApplicationType,1,7.069128827063201,Clean
EVRFirmwareError,1,7.069128827063201,Clean
EVRNotificationError,1,7.069128827063201,Clean
EVRInitError,2,7.069128827063201,Clean
EVRScreenshotType,1,7.069128827063201,Clean
EVRScreenshotPropertyFilenames,1,7.069128827063201,Clean
EVRTrackedCameraError,2,7.069128827063201,Clean
EVRTrackedCameraFrameType,1,7.069128827063201,Clean
EVRApplicationError,2,7.069128827063201,Clean
EVRApplicationProperty,1,7.069128827063201,Clean
EVRApplicationTransitionState,1,7.069128827063201,Clean
ChaperoneCalibrationState,1,7.069128827063201,Clean
EChaperoneConfigFile,1,7.069128827063201,Clean
EChaperoneImportFlags,0,7.069128827063201,Clean
EVRCompositorError,1,7.069128827063201,Clean
VROverlayInputMethod,1,7.069128827063201,Clean
VROverlayTransformType,1,7.069128827063201,Clean
VROverlayFlags,2,7.069128827063201,Clean
VRMessageOverlayResponse,1,7.069128827063201,Clean
EGamepadTextInputMode,0,7.069128827063201,Clean
EGamepadTextInputLineMode,0,7.069128827063201,Clean
EOverlayDirection,1,7.069128827063201,Clean
EVROverlayIntersectionMaskPrimitiveType,1,7.069128827063201,Clean
EVRRenderModelError,1,7.069128827063201,Clean
EVRComponentProperty,0,7.069128827063201,Clean
EVRNotificationType,1,7.069128827063201,Clean
EVRNotificationStyle,1,7.069128827063201,Clean
EVRSettingsError,1,7.069128827063201,Clean
EVRScreenshotError,1,7.069128827063201,Clean
VREvent_Data_t,4,7.069128827063201,Clean
VROverlayIntersectionMaskPrimitive_Data_t,2,7.069128827063201,Clean
HmdMatrix34_t,3,7.069128827063201,Clean
HmdMatrix44_t,4,7.069128827063201,Clean
HmdVector3_t,3,7.069128827063201,Clean
HmdVector4_t,2,7.069128827063201,Clean
HmdVector3d_t,2,7.069128827063201,Clean
HmdVector2_t,2,7.069128827063201,Clean
HmdQuaternion_t,2,7.069128827063201,Clean
HmdColor_t,3,7.069128827063201,Clean
HmdQuad_t,4,7.069128827063201,Clean
HmdRect2_t,3,7.069128827063201,Clean
DistortionCoordinates_t,3,7.069128827063201,Clean
Texture_t,4,7.069128827063201,Clean
TrackedDevicePose_t,4,7.069128827063201,Clean
VRTextureBounds_t,3,7.069128827063201,Clean
VRVulkanTextureData_t,2,7.069128827063201,Clean
VREvent_Controller_t,0,7.069128827063201,Clean
VREvent_Mouse_t,2,7.069128827063201,Clean
VREvent_Scroll_t,2,7.069128827063201,Clean
VREvent_TouchPadMove_t,2,7.069128827063201,Clean
VREvent_Notification_t,1,7.069128827063201,Clean
VREvent_Process_t,2,7.069128827063201,Clean
VREvent_Overlay_t,0,7.069128827063201,Clean
VREvent_Status_t,0,7.069128827063201,Clean
VREvent_Keyboard_t,2,7.069128827063201,Clean
VREvent_Ipd_t,0,7.069128827063201,Clean
VREvent_Chaperone_t,1,7.069128827063201,Clean
VREvent_Reserved_t,1,7.069128827063201,Clean
VREvent_PerformanceTest_t,0,7.069128827063201,Clean
VREvent_SeatedZeroPoseReset_t,0,7.069128827063201,Clean
VREvent_Screenshot_t,1,7.069128827063201,Clean
VREvent_ScreenshotProgress_t,0,7.069128827063201,Clean
VREvent_ApplicationLaunch_t,1,7.069128827063201,Clean
VREvent_EditingCameraSurface_t,1,7.069128827063201,Clean
VREvent_MessageOverlay_t,0,7.069128827063201,Clean
VREvent_t,4,7.069128827063201,Clean
HiddenAreaMesh_t,2,7.069128827063201,Clean
VRControllerAxis_t,2,7.069128827063201,Clean
VRControllerState_t,4,7.069128827063201,Clean
Compositor_OverlaySettings,4,7.069128827063201,Clean
CameraVideoStreamFrameHeader_t,4,7.069128827063201,Clean
AppOverrideKeys_t,2,7.069128827063201,Clean
Compositor_FrameTiming,5,7.069128827063201,Clean
Compositor_CumulativeStats,3,7.069128827063201,Clean
VROverlayIntersectionParams_t,4,7.069128827063201,Clean
VROverlayIntersectionResults_t,4,7.069128827063201,Clean
IntersectionMaskRectangle_t,2,7.069128827063201,Clean
IntersectionMaskCircle_t,2,7.069128827063201,Clean
VROverlayIntersectionMaskPrimitive_t,3,7.069128827063201,Clean
RenderModel_ComponentState_t,4,7.069128827063201,Clean
RenderModel_Vertex_t,3,7.069128827063201,Clean
RenderModel_TextureMap_t,2,7.069128827063201,Clean
RenderModel_t,2,7.069128827063201,Clean
RenderModel_ControllerMode_State_t,1,7.069128827063201,Clean
NotificationBitmap_t,3,7.069128827063201,Clean
COpenVRContext,8,7.069128827063201,Fault_proner
OpenVR,8,7.069128827063201,Fault_proner
