Component,Threshold,Cutoff,Status
Algo,4,8.511650643636957,Clean
StartPosComparer<TItem>,1,8.511650643636957,Clean
CsvCorpusParser<TTag>,7,8.511650643636957,Clean
Enumers,5,8.511650643636957,Clean
EnumConverter<TEnum>,4,8.511650643636957,Clean
EnumsTagWorker<TType>,6,8.511650643636957,Clean
HtmlEntitiesParser,1,8.511650643636957,Clean
Extensions,4,8.511650643636957,Clean
HtmlCorpusParser<TTag>,7,8.511650643636957,Clean
TagPart<TType>,2,8.511650643636957,Clean
ParsingState,1,8.511650643636957,Clean
HtmlRenderer<TTag>,7,8.511650643636957,Clean
EndPositionComparer,5,8.511650643636957,Clean
StartPositionComparer,5,8.511650643636957,Clean
ModelParsingException<TTag>,4,8.511650643636957,Clean
Candidate<TType>,6,8.511650643636957,Clean
Comparer,5,8.511650643636957,Clean
ComparisonReport<TType>,8,8.511650643636957,Clean
PrecRecall,3,8.511650643636957,Clean
Const,3,8.511650643636957,Clean
StringTagsWorker,6,8.511650643636957,Clean
HtmlParser,1,8.511650643636957,Clean
Match<TType>,3,8.511650643636957,Clean
Mismatch<TType>,6,8.511650643636957,Clean
RenderingExtensions,4,8.511650643636957,Clean
Tag<TTag>,6,8.511650643636957,Clean
TagsCorpus<TTag>,6,8.511650643636957,Clean
ITagComparer,2,8.511650643636957,Clean
TagsMatchers<TType>,4,8.511650643636957,Clean
StrictComparer,3,8.511650643636957,Clean
LenientComparer,4,8.511650643636957,Clean
SemiStrictComparer,4,8.511650643636957,Clean
PosComparer<T>,1,8.511650643636957,Clean
TagsPair<T>,6,8.511650643636957,Clean
ICorpusParser,1,8.511650643636957,Clean
ITagsRenderer,2,8.511650643636957,Clean
ITagsWorker,2,8.511650643636957,Clean
IRange,2,8.511650643636957,Clean
