Component,Threshold,Cutoff,Status
FormattedDatabaseTraceListenerData,8,7.853077763613184,Fault_proner
FormattedDatabaseTraceListenerAssembler,3,7.853077763613184,Clean
FormattedDatabaseTraceListener,8,7.853077763613184,Fault_proner
AddExceptionTypeNodeCommand,6,7.853077763613184,Clean
ExceptionHandlingCommandRegistrar,6,7.853077763613184,Clean
ExceptionHandlingNodeMapRegistrar,4,7.853077763613184,Clean
ExceptionHandlingSettingsBuilder,6,7.853077763613184,Clean
ExceptionHandlingSettingsNodeBuilder,6,7.853077763613184,Clean
CustomHandlerNode,8,7.853077763613184,Fault_proner
ExceptionHandlerNode,3,7.853077763613184,Clean
ExceptionHandlingConfigurationDesignManager,6,7.853077763613184,Clean
ExceptionHandlingSettingsNode,3,7.853077763613184,Clean
ExceptionPolicyNode,4,7.853077763613184,Clean
ExceptionTypeNode,9,7.853077763613184,Fault_proner
ReplaceHandlerNode,8,7.853077763613184,Fault_proner
WrapHandlerNode,8,7.853077763613184,Fault_proner
Resources,4,7.853077763613184,Clean
AddLoggingExceptionHandlerCommand,5,7.853077763613184,Clean
ExceptionHandlingLoggingCommandRegistrar,5,7.853077763613184,Clean
ExceptionHandlingLoggingConfigurationDesignManager,5,7.853077763613184,Clean
ExceptionHandlingLoggingNodeMapRegistrar,4,7.853077763613184,Clean
LoggingExceptionHandlerNode,9,7.853077763613184,Fault_proner
Resources_duplicated,4,7.853077763613184,Clean
AddConnectionStringSettingsNodeCommand,4,7.853077763613184,Clean
AddConnectionStringsSectionNodeCommand,4,7.853077763613184,Clean
AddDatabaseSectionNodeCommand,7,7.853077763613184,Clean
ConnectionStringNameValuePair,4,7.853077763613184,Clean
ConnectionStringParser,4,7.853077763613184,Clean
ConnectionStringsCommandRegistrar,6,7.853077763613184,Clean
ConnectionStringSettingsNode,7,7.853077763613184,Clean
ConnectionStringsSectionNode,3,7.853077763613184,Clean
ConnectionStringsConfigurationDesignManager,6,7.853077763613184,Clean
AddOracleConnectionElementNodeCommand,4,7.853077763613184,Clean
ConnectionStringsSectionBuilder,5,7.853077763613184,Clean
ConnectionStringsSectionNodeBuilder,6,7.853077763613184,Clean
DatabaseSectionBuilder,5,7.853077763613184,Clean
DatabaseSectionNodeBuilder,5,7.853077763613184,Clean
IDatabaseProviderName,1,7.853077763613184,Clean
OracleConnectionSettingsBuilder,5,7.853077763613184,Clean
OracleConnectionNodeBuilder,6,7.853077763613184,Clean
DataCommandRegistrar,5,7.853077763613184,Clean
OracleConnectionCommandRegistrar,5,7.853077763613184,Clean
ParameterNode,4,7.853077763613184,Clean
ProviderMappingNode,7,7.853077763613184,Clean
OracleConnectionConfigurationDesignManager,6,7.853077763613184,Clean
DatabaseSectionNode,9,7.853077763613184,Fault_proner
DataConfigurationDesignManager,6,7.853077763613184,Clean
OracleConnectionElementNode,3,7.853077763613184,Clean
OraclePackageElementNode,7,7.853077763613184,Clean
ProviderMappingsNode,3,7.853077763613184,Clean
ProviderEditor,4,7.853077763613184,Clean
ProviderEditorUI,5,7.853077763613184,Clean
Resources_duplicated_duplicated,4,7.853077763613184,Clean
AddSecuritySettingsNodeCommand,4,7.853077763613184,Clean
CustomAuthorizationProviderNode,8,7.853077763613184,Fault_proner
AuthorizationProviderCollectionNode,3,7.853077763613184,Clean
AuthorizationProviderNode,3,7.853077763613184,Clean
AuthorizationRuleNode,7,7.853077763613184,Clean
AuthorizationRuleProviderNode,5,7.853077763613184,Clean
CustomSecurityCacheProviderNode,8,7.853077763613184,Fault_proner
ExpressionEditor,5,7.853077763613184,Clean
ExpressionEditorFormUI,7,7.853077763613184,Clean
Identity,3,7.853077763613184,Clean
ExpressionTextBox,7,7.853077763613184,Clean
NativeMethods,3,7.853077763613184,Clean
CHARFORMAT2,2,7.853077763613184,Clean
