Component,Threshold,Cutoff,Status
Battle,9,8.46263173014409,Fault_proner
BattleGroup,9,8.46263173014409,Fault_proner
BattleList,4,8.46263173014409,Clean
BattleShip,9,8.46263173014409,Fault_proner
SetFlagRule,5,8.46263173014409,Clean
HullHitsRule,5,8.46263173014409,Clean
RiggingHitsRule,5,8.46263173014409,Clean
MarineHitsRule,4,8.46263173014409,Clean
InIronsRule,5,8.46263173014409,Clean
UpdateStatusRule,4,8.46263173014409,Clean
BattleShipCommander,8,8.46263173014409,Clean
WoundedKilledOrCapturedRule,5,8.46263173014409,Clean
BattleShipCommanderList,4,8.46263173014409,Clean
BattleShipList,4,8.46263173014409,Clean
Broadside,0,8.46263173014409,Clean
BroadsideType,0,8.46263173014409,Clean
Commander,9,8.46263173014409,Fault_proner
CommanderList,4,8.46263173014409,Clean
Damage,6,8.46263173014409,Clean
FireAttack,9,8.46263173014409,Fault_proner
RangeRule,5,8.46263173014409,Clean
IsPointBlankRule,5,8.46263173014409,Clean
ModifiedRateRule,4,8.46263173014409,Clean
PartialBroadsideRule,5,8.46263173014409,Clean
DuringTackRule,5,8.46263173014409,Clean
BaseFirePowerRule,6,8.46263173014409,Clean
DieRollRule,6,8.46263173014409,Clean
FirePower,9,8.46263173014409,Fault_proner
Fleet,9,8.46263173014409,Fault_proner
FleetList,6,8.46263173014409,Clean
FleetShip,9,8.46263173014409,Fault_proner
FleetShipCommander,8,8.46263173014409,Clean
FleetShipCommanderList,6,8.46263173014409,Clean
FleetShipList,6,8.46263173014409,Clean
HitResults,7,8.46263173014409,Clean
Nationality,1,8.46263173014409,Clean
RakeType,1,8.46263173014409,Clean
RelativeRate,9,8.46263173014409,Fault_proner
RelativeRateColor,1,8.46263173014409,Clean
RelativeRateShape,1,8.46263173014409,Clean
RelativeRateSymbol,7,8.46263173014409,Clean
WeatherGauge,1,8.46263173014409,Clean
Scenario,9,8.46263173014409,Fault_proner
ScenarioList,5,8.46263173014409,Clean
Ship,9,8.46263173014409,Fault_proner
ShipList,4,8.46263173014409,Clean
TargetArea,1,8.46263173014409,Clean
Weather,1,8.46263173014409,Clean
BattleData,3,8.46263173014409,Clean
BattleGroupData,3,8.46263173014409,Clean
BattleShipCommanderData,2,8.46263173014409,Clean
BattleShipData,7,8.46263173014409,Clean
CommanderData,2,8.46263173014409,Clean
FleetData,3,8.46263173014409,Clean
FleetShipCommanderData,2,8.46263173014409,Clean
FleetShipData,3,8.46263173014409,Clean
ScenarioData,3,8.46263173014409,Clean
ShipData,2,8.46263173014409,Clean
Resources,3,8.46263173014409,Clean
