Component,Threshold,Cutoff,Status
EchoArguments,5,9.047763651962915,Clean
EchoProgram,4,9.047763651962915,Clean
Resources,3,9.047763651962915,Clean
AboutDialog,5,9.047763651962915,Clean
ApplicationShutdown,1,9.047763651962915,Clean
Window,6,9.047763651962915,Clean
IPackage,1,9.047763651962915,Clean
DockWindow,4,9.047763651962915,Clean
Main,5,9.047763651962915,Clean
IcarusArguments,4,9.047763651962915,Clean
Paths,3,9.047763651962915,Clean
IcarusProgram,4,9.047763651962915,Clean
Settings,5,9.047763651962915,Clean
AnnotationsPackage,7,9.047763651962915,Clean
AnnotationsResources,3,9.047763651962915,Clean
AnnotationsWindow,5,9.047763651962915,Clean
AnnotationsController,8,9.047763651962915,Clean
IAnnotationsController,4,9.047763651962915,Clean
AddFilesCommand,5,9.047763651962915,Clean
ApplyFilterCommand,5,9.047763651962915,Clean
CommandFactory,7,9.047763651962915,Clean
ConvertSavedReportCommand,6,9.047763651962915,Clean
ICommandFactory,4,9.047763651962915,Clean
LoadPackageCommand,7,9.047763651962915,Clean
DeleteAllReportsCommand,4,9.047763651962915,Clean
DelegateCommand,3,9.047763651962915,Clean
DeleteFilterCommand,5,9.047763651962915,Clean
DeleteReportCommand,5,9.047763651962915,Clean
GenerateReportCommand,5,9.047763651962915,Clean
NewProjectCommand,4,9.047763651962915,Clean
OpenProjectCommand,8,9.047763651962915,Clean
OpenReportCommand,5,9.047763651962915,Clean
RefreshTestTreeCommand,4,9.047763651962915,Clean
ReloadCommand,7,9.047763651962915,Clean
RemoveAllFilesCommand,4,9.047763651962915,Clean
RemoveFileCommand,5,9.047763651962915,Clean
ResetTestsCommand,4,9.047763651962915,Clean
RestoreFilterCommand,6,9.047763651962915,Clean
RunTestsCommand,8,9.047763651962915,Clean
SaveFilterCommand,5,9.047763651962915,Clean
SaveProjectCommand,8,9.047763651962915,Clean
ShowReportCommand,5,9.047763651962915,Clean
ViewSourceCodeCommand,5,9.047763651962915,Clean
ProgressEvent,1,9.047763651962915,Clean
SavingProject,2,9.047763651962915,Clean
AboutController,3,9.047763651962915,Clean
ApplicationController,8,9.047763651962915,Clean
IAboutController,2,9.047763651962915,Clean
IApplicationController,5,9.047763651962915,Clean
IProgressController,2,9.047763651962915,Clean
NotifyController,1,9.047763651962915,Clean
ProgressController,8,9.047763651962915,Clean
ProjectController,8,9.047763651962915,Clean
ReportController,7,9.047763651962915,Clean
SourceCodeController,7,9.047763651962915,Clean
TestController,7,9.047763651962915,Clean
OptionsController,8,9.047763651962915,Clean
ShutdownPane,7,9.047763651962915,Clean
ShutdownPaneProvider,4,9.047763651962915,Clean
ExecutionLogPane,7,9.047763651962915,Clean
ExecutionLogPaneProvider,4,9.047763651962915,Clean
TestRunnerFactoryPaneProvider,4,9.047763651962915,Clean
TestRunnerFactoryPane,7,9.047763651962915,Clean
TestRunnerExtensionsPaneProvider,4,9.047763651962915,Clean
ProgressMonitoringPaneProvider,4,9.047763651962915,Clean
ProgressMonitoringPane,7,9.047763651962915,Clean
ReportsPaneProvider,4,9.047763651962915,Clean
ReportsPane,7,9.047763651962915,Clean
TestRunnerExtensionsPane,7,9.047763651962915,Clean
TestStatusPaneProvider,4,9.047763651962915,Clean
TestStatusPane,7,9.047763651962915,Clean
StartupPaneProvider,4,9.047763651962915,Clean
StartupPane,7,9.047763651962915,Clean
TestExplorerPaneProvider,4,9.047763651962915,Clean
TestExplorerPane,7,9.047763651962915,Clean
TreeViewCategoryPane,7,9.047763651962915,Clean
TreeViewCategoryPaneProvider,4,9.047763651962915,Clean
OptionsChanged,1,9.047763651962915,Clean
TestsFailed,1,9.047763651962915,Clean
ProjectSaved,2,9.047763651962915,Clean
ProjectLoaded,3,9.047763651962915,Clean
TestStepFinished,4,9.047763651962915,Clean
ExploreStarted,2,9.047763651962915,Clean
RunFinished,2,9.047763651962915,Clean
RunStarted,2,9.047763651962915,Clean
Reloading,1,9.047763651962915,Clean
TestsReset,1,9.047763651962915,Clean
ExploreFinished,2,9.047763651962915,Clean
TestSelectionChanged,3,9.047763651962915,Clean
TreeViewCategoryChanged,3,9.047763651962915,Clean
ExecutionLogController,8,9.047763651962915,Clean
ExecutionLogPackage,7,9.047763651962915,Clean
ExecutionLogWindow,5,9.047763651962915,Clean
IExecutionLogController,3,9.047763651962915,Clean
FilterController,6,9.047763651962915,Clean
FiltersPackage,8,9.047763651962915,Clean
FiltersView,5,9.047763651962915,Clean
IFilterController,3,9.047763651962915,Clean
AlphanumComparatorFast,2,9.047763651962915,Clean
