Component,Threshold,Cutoff,Status
AAMode,1,7.9150206151776015,Clean
Antialiasing,9,7.9150206151776015,Fault_proner
Bloom,9,7.9150206151776015,Fault_proner
LensFlareStyle,1,7.9150206151776015,Clean
TweakMode,1,7.9150206151776015,Clean
HDRBloomMode,1,7.9150206151776015,Clean
BloomScreenBlendMode,1,7.9150206151776015,Clean
BloomQuality,1,7.9150206151776015,Clean
LensflareStyle34,1,7.9150206151776015,Clean
TweakMode34,1,7.9150206151776015,Clean
BloomAndFlares,9,7.9150206151776015,Fault_proner
BloomOptimized,8,7.9150206151776015,Fault_proner
Resolution,1,7.9150206151776015,Clean
BlurType,1,7.9150206151776015,Clean
Blur,7,7.9150206151776015,Clean
BlurOptimized,8,7.9150206151776015,Fault_proner
CameraMotionBlur,9,7.9150206151776015,Fault_proner
MotionBlurFilter,1,7.9150206151776015,Clean
ColorCorrectionCurves,9,7.9150206151776015,Fault_proner
ColorCorrectionMode,1,7.9150206151776015,Clean
ColorCorrectionLookup,8,7.9150206151776015,Fault_proner
ColorCorrectionRamp,1,7.9150206151776015,Clean
ContrastEnhance,7,7.9150206151776015,Clean
ContrastStretch,6,7.9150206151776015,Clean
CreaseShading,7,7.9150206151776015,Clean
DepthOfField,9,7.9150206151776015,Fault_proner
BlurSampleCount,1,7.9150206151776015,Clean
DepthOfFieldDeprecated,9,7.9150206151776015,Fault_proner
Dof34QualitySetting,1,7.9150206151776015,Clean
DofResolution,1,7.9150206151776015,Clean
DofBlurriness,1,7.9150206151776015,Clean
BokehDestination,1,7.9150206151776015,Clean
EdgeDetection,8,7.9150206151776015,Fault_proner
EdgeDetectMode,1,7.9150206151776015,Clean
Fisheye,6,7.9150206151776015,Clean
GlobalFog,7,7.9150206151776015,Clean
Grayscale,2,7.9150206151776015,Clean
ImageEffectBase,6,7.9150206151776015,Clean
ImageEffects,4,7.9150206151776015,Clean
MotionBlur,6,7.9150206151776015,Clean
NoiseAndGrain,8,7.9150206151776015,Fault_proner
NoiseAndScratches,6,7.9150206151776015,Clean
PostEffectsBase,6,7.9150206151776015,Clean
PostEffectsHelper,3,7.9150206151776015,Clean
Quads,5,7.9150206151776015,Clean
ScreenOverlay,8,7.9150206151776015,Fault_proner
OverlayBlendMode,1,7.9150206151776015,Clean
ScreenSpaceAmbientObscurance,7,7.9150206151776015,Clean
ScreenSpaceAmbientOcclusion,6,7.9150206151776015,Clean
SSAOSamples,1,7.9150206151776015,Clean
SepiaTone,1,7.9150206151776015,Clean
SunShafts,9,7.9150206151776015,Fault_proner
SunShaftsResolution,1,7.9150206151776015,Clean
ShaftsScreenBlendMode,1,7.9150206151776015,Clean
TiltShift,8,7.9150206151776015,Fault_proner
TiltShiftMode,1,7.9150206151776015,Clean
TiltShiftQuality,1,7.9150206151776015,Clean
Tonemapping,9,7.9150206151776015,Fault_proner
TonemapperType,1,7.9150206151776015,Clean
AdaptiveTexSize,1,7.9150206151776015,Clean
Triangles,3,7.9150206151776015,Clean
Twirl,3,7.9150206151776015,Clean
VignetteAndChromaticAberration,8,7.9150206151776015,Fault_proner
AberrationMode,1,7.9150206151776015,Clean
Vortex,3,7.9150206151776015,Clean
RangeOfIntegers,2,7.9150206151776015,Clean
RangeOfFloats,2,7.9150206151776015,Clean
FireBaseScript,10,7.9150206151776015,Fault_proner
ICollisionHandler,2,7.9150206151776015,Clean
FireCollisionForwardScript,3,7.9150206151776015,Clean
LoopingAudioSource,6,7.9150206151776015,Clean
FireConstantBaseScript,5,7.9150206151776015,Clean
FireLightScript,6,7.9150206151776015,Clean
FireProjectileScript,8,7.9150206151776015,Fault_proner
MeteorSwarmScript,8,7.9150206151776015,Fault_proner
SingleLineAttribute,3,7.9150206151776015,Clean
SingleLineDrawer,5,7.9150206151776015,Clean
AntialiasingEditor,6,7.9150206151776015,Clean
BloomAndFlaresEditor,6,7.9150206151776015,Clean
BloomEditor,6,7.9150206151776015,Clean
CameraMotionBlurEditor,6,7.9150206151776015,Clean
ColorCorrectionCurvesEditor,6,7.9150206151776015,Clean
ColorCorrectionLookupEditor,5,7.9150206151776015,Clean
CreaseShadingEditor,6,7.9150206151776015,Clean
DepthOfFieldDeprecatedEditor,6,7.9150206151776015,Clean
DepthOfFieldEditor,7,7.9150206151776015,Clean
EdgeDetectionEditor,4,7.9150206151776015,Clean
NoiseAndGrainEditor,6,7.9150206151776015,Clean
SunShaftsEditor,6,7.9150206151776015,Clean
TonemappingEditor,6,7.9150206151776015,Clean
VignetteAndChromaticAberrationEditor,5,7.9150206151776015,Clean
