Component,Threshold,Cutoff,Status
BodyCollider,1,7.790063967679489,Clean
CircularDrive,6,7.790063967679489,Clean
Axis_t,0,7.790063967679489,Clean
ComplexThrowable,6,7.790063967679489,Clean
AttachMode,1,7.790063967679489,Clean
ControllerHoverHighlight,7,7.790063967679489,Clean
CustomEvents,0,7.790063967679489,Clean
UnityEventSingleFloat,0,7.790063967679489,Clean
UnityEventHand,1,7.790063967679489,Clean
DebugUI,4,7.790063967679489,Clean
DestroyOnDetachedFromHand,1,7.790063967679489,Clean
DestroyOnParticleSystemDeath,1,7.790063967679489,Clean
DestroyOnTriggerEnter,2,7.790063967679489,Clean
DistanceHaptics,2,7.790063967679489,Clean
DontDestroyOnLoad,0,7.790063967679489,Clean
EnumFlags,1,7.790063967679489,Clean
EnumFlagsPropertyDrawer,0,7.790063967679489,Clean
FallbackCameraController,5,7.790063967679489,Clean
Hand,9,7.790063967679489,Fault_proner
HandType,1,7.790063967679489,Clean
AttachmentFlags,1,7.790063967679489,Clean
AttachedObject,3,7.790063967679489,Clean
HandEditor,3,7.790063967679489,Clean
HapticRack,6,7.790063967679489,Clean
HideOnHandFocusLost,1,7.790063967679489,Clean
IgnoreHovering,1,7.790063967679489,Clean
InputModule,6,7.790063967679489,Clean
Interactable,4,7.790063967679489,Clean
InteractableButtonEvents,5,7.790063967679489,Clean
InteractableHoverEvents,6,7.790063967679489,Clean
ItemPackage,4,7.790063967679489,Clean
ItemPackageType,1,7.790063967679489,Clean
ItemPackageReference,2,7.790063967679489,Clean
ItemPackageSpawner,7,7.790063967679489,Clean
LinearAnimation,6,7.790063967679489,Clean
LinearAnimator,6,7.790063967679489,Clean
LinearAudioPitch,6,7.790063967679489,Clean
LinearBlendshape,6,7.790063967679489,Clean
LinearDisplacement,5,7.790063967679489,Clean
LinearDrive,6,7.790063967679489,Clean
LinearMapping,1,7.790063967679489,Clean
Player,9,7.790063967679489,Fault_proner
PlaySound,7,7.790063967679489,Clean
SeeThru,5,7.790063967679489,Clean
SleepOnAwake,0,7.790063967679489,Clean
SoundDeparent,1,7.790063967679489,Clean
SoundPlayOneshot,8,7.790063967679489,Fault_proner
SpawnAndAttachAfterControllerIsTracking,4,7.790063967679489,Clean
SpawnAndAttachToHand,2,7.790063967679489,Clean
SpawnRenderModel,5,7.790063967679489,Clean
Throwable,6,7.790063967679489,Clean
UIElement,5,7.790063967679489,Clean
UIElementEditor,1,7.790063967679489,Clean
Unparent,2,7.790063967679489,Clean
Util,8,7.790063967679489,Fault_proner
AfterTimer_Component,5,7.790063967679489,Clean
VelocityEstimator,7,7.790063967679489,Clean
ControllerButtonHints,9,7.790063967679489,Fault_proner
OffsetType,1,7.790063967679489,Clean
ButtonHintInfo,3,7.790063967679489,Clean
ArcheryTarget,6,7.790063967679489,Clean
Arrow,7,7.790063967679489,Clean
ArrowHand,7,7.790063967679489,Clean
ArrowheadRotation,0,7.790063967679489,Clean
Balloon,7,7.790063967679489,Clean
BalloonColor,1,7.790063967679489,Clean
BalloonColliders,4,7.790063967679489,Clean
BalloonHapticBump,2,7.790063967679489,Clean
BalloonSpawner,7,7.790063967679489,Clean
ExplosionWobble,1,7.790063967679489,Clean
FireSource,7,7.790063967679489,Clean
Longbow,8,7.790063967679489,Fault_proner
Handedness,1,7.790063967679489,Clean
SoundBowClick,4,7.790063967679489,Clean
ControllerHintsExample,5,7.790063967679489,Clean
InteractableExample,5,7.790063967679489,Clean
AllowTeleportWhileAttachedToHand,2,7.790063967679489,Clean
ChaperoneInfo,6,7.790063967679489,Clean
IgnoreTeleportTrace,0,7.790063967679489,Clean
Teleport,9,7.790063967679489,Fault_proner
TeleportArc,8,7.790063967679489,Fault_proner
TeleportArea,9,7.790063967679489,Fault_proner
TeleportAreaEditor,4,7.790063967679489,Clean
TeleportMarkerBase,8,7.790063967679489,Fault_proner
TeleportPoint,10,7.790063967679489,Fault_proner
TeleportPointType,1,7.790063967679489,Clean
TeleportPointEditor,3,7.790063967679489,Clean
IVRSystem,3,7.790063967679489,Clean
IVRExtendedDisplay,2,7.790063967679489,Clean
IVRTrackedCamera,3,7.790063967679489,Clean
IVRApplications,3,7.790063967679489,Clean
IVRChaperone,3,7.790063967679489,Clean
IVRChaperoneSetup,3,7.790063967679489,Clean
IVRCompositor,3,7.790063967679489,Clean
IVROverlay,3,7.790063967679489,Clean
IVRRenderModels,3,7.790063967679489,Clean
IVRNotifications,1,7.790063967679489,Clean
IVRSettings,3,7.790063967679489,Clean
IVRScreenshots,3,7.790063967679489,Clean
IVRResources,1,7.790063967679489,Clean
IVRDriverManager,1,7.790063967679489,Clean
CVRSystem,6,7.790063967679489,Clean
