Component,Threshold,Cutoff,Status
InterfaceAudience,0,7.271569827945195,Clean
InterfaceStability,0,7.271569827945195,Clean
ExcludePrivateAnnotationsJDiffDoclet,3,7.271569827945195,Clean
ExcludePrivateAnnotationsStandardDoclet,3,7.271569827945195,Clean
IncludePublicAnnotationsStandardDoclet,3,7.271569827945195,Clean
RootDocProcessor,4,7.271569827945195,Clean
ExcludeHandler,3,7.271569827945195,Clean
StabilityOptions,6,7.271569827945195,Clean
RequestLoggerFilter,3,7.271569827945195,Clean
XHttpServletRequest,0,7.271569827945195,Clean
XHttpServletResponse,5,7.271569827945195,Clean
WhoClient,1,7.271569827945195,Clean
WhoServlet,0,7.271569827945195,Clean
AuthenticatedURL,9,7.271569827945195,Fault_proner
Token,4,7.271569827945195,Clean
AuthenticationException,2,7.271569827945195,Clean
Authenticator,3,7.271569827945195,Clean
ConnectionConfigurator,2,7.271569827945195,Clean
KerberosAuthenticator,9,7.271569827945195,Fault_proner
KerberosConfiguration,4,7.271569827945195,Clean
_PrivilegedExceptionAction_287,1,7.271569827945195,Clean
PseudoAuthenticator,7,7.271569827945195,Clean
KerberosTestUtils,4,7.271569827945195,Clean
KerberosConfiguration_duplicated,1,7.271569827945195,Clean
_PrivilegedExceptionAction_99,0,7.271569827945195,Clean
AltKerberosAuthenticationHandler,9,7.271569827945195,Fault_proner
AuthenticationFilter,9,7.271569827945195,Fault_proner
_HttpServletRequestWrapper_532,2,7.271569827945195,Clean
AuthenticationHandler,6,7.271569827945195,Clean
AuthenticationHandlerConstants,0,7.271569827945195,Clean
AuthenticationToken,7,7.271569827945195,Clean
KerberosAuthenticationHandler,10,7.271569827945195,Fault_proner
KerberosConfiguration_duplicated_duplicated,3,7.271569827945195,Clean
_PrivilegedExceptionAction_229,0,7.271569827945195,Clean
_PrivilegedExceptionAction_347,3,7.271569827945195,Clean
PseudoAuthenticationHandler,9,7.271569827945195,Fault_proner
AuthToken,7,7.271569827945195,Clean
FileSignerSecretProvider,7,7.271569827945195,Clean
KerberosName,8,7.271569827945195,Fault_proner
Rule,4,7.271569827945195,Clean
BadFormatString,0,7.271569827945195,Clean
NoMatchingRule,0,7.271569827945195,Clean
KerberosUtil,5,7.271569827945195,Clean
RandomSignerSecretProvider,2,7.271569827945195,Clean
