Component,Threshold,Cutoff,Status
DiscrepancyDetector,7,6.263850415512465,Fault_proner
VersionRetriever,2,6.263850415512465,Clean
FileReference,6,6.263850415512465,Clean
StringWriterWithEncoding,7,6.263850415512465,Fault_proner
DiscrepancyColorConverter,1,6.263850415512465,Clean
App,2,6.263850415512465,Clean
MainWindow,8,6.263850415512465,Fault_proner
IVersionRetriever,2,6.263850415512465,Clean
IMainPageView,4,6.263850415512465,Clean
ReferenceList,1,6.263850415512465,Clean
Reference,3,6.263850415512465,Clean
MainPageCtrl,8,6.263850415512465,Fault_proner
VS10Project,2,6.263850415512465,Clean
VS10ProjectReader,9,6.263850415512465,Fault_proner
VS10ProjectWriter,7,6.263850415512465,Fault_proner
VS10SolutionReader,8,6.263850415512465,Fault_proner
Resources,3,6.263850415512465,Clean
Settings,2,6.263850415512465,Clean
GeneratedInternalTypeHelper,3,6.263850415512465,Clean
