Component,Threshold,Cutoff,Status
DeviceIdProfileAttributeId,2,7.685559190957763,Clean
HidProfileAttributeId,3,7.685559190957763,Clean
UniversalAttributeId,5,7.685559190957763,Clean
ServiceDiscoveryServerAttributeId,2,7.685559190957763,Clean
BrowseGroupDescriptorAttributeId,1,7.685559190957763,Clean
ObexAttributeId,3,7.685559190957763,Clean
BasicPrintingProfileAttributeId,3,7.685559190957763,Clean
PersonalAreaNetworkingProfileAttributeId,2,7.685559190957763,Clean
HeadsetProfileAttributeId,1,7.685559190957763,Clean
HandsFreeProfileAttributeId,3,7.685559190957763,Clean
HealthDeviceAttributeId,2,7.685559190957763,Clean
BluesoleilClient,9,7.685559190957763,Fault_proner
BluesoleilDeviceInfo,9,7.685559190957763,Fault_proner
BlueSoleilSocketException,5,7.685559190957763,Clean
BluesoleilFactory,9,7.685559190957763,Fault_proner
BluesoleilInquiry,3,7.685559190957763,Clean
Records,5,7.685559190957763,Clean
BluesoleilRadio,7,7.685559190957763,Clean
BluesoleilSecurity,6,7.685559190957763,Clean
DeviceAndPin,1,7.685559190957763,Clean
BlueSoleilSerialPortNetworkStream,8,7.685559190957763,Fault_proner
State,0,7.685559190957763,Clean
BluesoleilUtils,6,7.685559190957763,Clean
BtSdkError,2,7.685559190957763,Clean
IBluesoleilApi,6,7.685559190957763,Clean
IBluesoleilConnection,2,7.685559190957763,Clean
ISerialPortWrapper,4,7.685559190957763,Clean
SerialPortWrapper,4,7.685559190957763,Clean
NativeMethods,4,7.685559190957763,Clean
NullBluesoleilConnection,2,7.685559190957763,Clean
RealBluesoleilApi,5,7.685559190957763,Clean
SerialPortNetworkStream,8,7.685559190957763,Fault_proner
StackConsts,3,7.685559190957763,Clean
BTSDK_BTSTATUS,0,7.685559190957763,Clean
BTSDK_CONNROLE,0,7.685559190957763,Clean
CallbackType,1,7.685559190957763,Clean
DiscoveryMode,1,7.685559190957763,Clean
ConnectionEventType,0,7.685559190957763,Clean
CallbackResult,0,7.685559190957763,Clean
AttributeLookup,1,7.685559190957763,Clean
COMM_SET,1,7.685559190957763,Clean
Structs,1,7.685559190957763,Clean
BtSdkLocalLMPInfoStru,3,7.685559190957763,Clean
BtSdkCallbackStru,5,7.685559190957763,Clean
BtSdkAppExtSPPAttrStru,6,7.685559190957763,Clean
BtSdkSPPConnParamStru,2,7.685559190957763,Clean
BtSdkSDPSearchPatternStru,2,7.685559190957763,Clean
UuidTypeMask,0,7.685559190957763,Clean
BtSdkRemoteServiceAttrStru,4,7.685559190957763,Clean
