Component,Threshold,Cutoff,Status
IVRSystem,3,7.604927773578568,Clean
IVRExtendedDisplay,2,7.604927773578568,Clean
IVRTrackedCamera,3,7.604927773578568,Clean
IVRApplications,3,7.604927773578568,Clean
IVRChaperone,3,7.604927773578568,Clean
IVRChaperoneSetup,3,7.604927773578568,Clean
IVRCompositor,3,7.604927773578568,Clean
IVROverlay,3,7.604927773578568,Clean
IVRRenderModels,3,7.604927773578568,Clean
IVRNotifications,1,7.604927773578568,Clean
IVRSettings,3,7.604927773578568,Clean
IVRScreenshots,3,7.604927773578568,Clean
IVRResources,1,7.604927773578568,Clean
CVRSystem,6,7.604927773578568,Clean
CVRExtendedDisplay,5,7.604927773578568,Clean
CVRTrackedCamera,6,7.604927773578568,Clean
CVRApplications,6,7.604927773578568,Clean
CVRChaperone,6,7.604927773578568,Clean
CVRChaperoneSetup,6,7.604927773578568,Clean
CVRCompositor,6,7.604927773578568,Clean
CVROverlay,6,7.604927773578568,Clean
CVRRenderModels,6,7.604927773578568,Clean
CVRNotifications,3,7.604927773578568,Clean
CVRSettings,6,7.604927773578568,Clean
CVRScreenshots,6,7.604927773578568,Clean
CVRResources,3,7.604927773578568,Clean
OpenVRInterop,4,7.604927773578568,Clean
EVREye,1,7.604927773578568,Clean
EGraphicsAPIConvention,1,7.604927773578568,Clean
EColorSpace,1,7.604927773578568,Clean
ETrackingResult,1,7.604927773578568,Clean
ETrackedDeviceClass,1,7.604927773578568,Clean
ETrackedControllerRole,1,7.604927773578568,Clean
ETrackingUniverseOrigin,1,7.604927773578568,Clean
ETrackedDeviceProperty,2,7.604927773578568,Clean
ETrackedPropertyError,1,7.604927773578568,Clean
EVRSubmitFlags,1,7.604927773578568,Clean
EVRState,0,7.604927773578568,Clean
EVREventType,2,7.604927773578568,Clean
EDeviceActivityLevel,1,7.604927773578568,Clean
EVRButtonId,1,7.604927773578568,Clean
EVRMouseButton,0,7.604927773578568,Clean
EVRControllerAxisType,1,7.604927773578568,Clean
EVRControllerEventOutputType,0,7.604927773578568,Clean
ECollisionBoundsStyle,0,7.604927773578568,Clean
EVROverlayError,1,7.604927773578568,Clean
EVRApplicationType,1,7.604927773578568,Clean
EVRFirmwareError,1,7.604927773578568,Clean
EVRNotificationError,1,7.604927773578568,Clean
EVRInitError,2,7.604927773578568,Clean
EVRScreenshotType,1,7.604927773578568,Clean
EVRScreenshotPropertyFilenames,1,7.604927773578568,Clean
EVRTrackedCameraError,1,7.604927773578568,Clean
EVRTrackedCameraFrameType,1,7.604927773578568,Clean
EVRApplicationError,1,7.604927773578568,Clean
EVRApplicationProperty,1,7.604927773578568,Clean
EVRApplicationTransitionState,1,7.604927773578568,Clean
ChaperoneCalibrationState,1,7.604927773578568,Clean
EChaperoneConfigFile,1,7.604927773578568,Clean
EChaperoneImportFlags,0,7.604927773578568,Clean
EVRCompositorError,1,7.604927773578568,Clean
VROverlayInputMethod,1,7.604927773578568,Clean
VROverlayTransformType,1,7.604927773578568,Clean
VROverlayFlags,1,7.604927773578568,Clean
EGamepadTextInputMode,0,7.604927773578568,Clean
EGamepadTextInputLineMode,0,7.604927773578568,Clean
EOverlayDirection,1,7.604927773578568,Clean
EVRRenderModelError,1,7.604927773578568,Clean
EVRComponentProperty,0,7.604927773578568,Clean
EVRNotificationType,1,7.604927773578568,Clean
EVRNotificationStyle,1,7.604927773578568,Clean
EVRSettingsError,1,7.604927773578568,Clean
EVRScreenshotError,1,7.604927773578568,Clean
VREvent_Data_t,3,7.604927773578568,Clean
HmdMatrix34_t,3,7.604927773578568,Clean
HmdMatrix44_t,3,7.604927773578568,Clean
HmdVector3_t,3,7.604927773578568,Clean
HmdVector4_t,2,7.604927773578568,Clean
HmdVector3d_t,2,7.604927773578568,Clean
HmdVector2_t,2,7.604927773578568,Clean
HmdQuaternion_t,2,7.604927773578568,Clean
HmdColor_t,3,7.604927773578568,Clean
HmdQuad_t,4,7.604927773578568,Clean
HmdRect2_t,3,7.604927773578568,Clean
DistortionCoordinates_t,3,7.604927773578568,Clean
Texture_t,4,7.604927773578568,Clean
TrackedDevicePose_t,4,7.604927773578568,Clean
VRTextureBounds_t,3,7.604927773578568,Clean
VREvent_Controller_t,0,7.604927773578568,Clean
VREvent_Mouse_t,2,7.604927773578568,Clean
VREvent_Scroll_t,2,7.604927773578568,Clean
VREvent_TouchPadMove_t,2,7.604927773578568,Clean
VREvent_Notification_t,1,7.604927773578568,Clean
VREvent_Process_t,2,7.604927773578568,Clean
VREvent_Overlay_t,0,7.604927773578568,Clean
VREvent_Status_t,0,7.604927773578568,Clean
VREvent_Keyboard_t,2,7.604927773578568,Clean
VREvent_Ipd_t,0,7.604927773578568,Clean
VREvent_Chaperone_t,1,7.604927773578568,Clean
VREvent_Reserved_t,1,7.604927773578568,Clean
VREvent_PerformanceTest_t,0,7.604927773578568,Clean
VREvent_SeatedZeroPoseReset_t,0,7.604927773578568,Clean
VREvent_Screenshot_t,1,7.604927773578568,Clean
VREvent_ScreenshotProgress_t,0,7.604927773578568,Clean
VREvent_ApplicationLaunch_t,1,7.604927773578568,Clean
VREvent_t,4,7.604927773578568,Clean
HiddenAreaMesh_t,2,7.604927773578568,Clean
VRControllerAxis_t,2,7.604927773578568,Clean
VRControllerState_t,4,7.604927773578568,Clean
Compositor_OverlaySettings,3,7.604927773578568,Clean
CameraVideoStreamFrameHeader_t,4,7.604927773578568,Clean
AppOverrideKeys_t,2,7.604927773578568,Clean
Compositor_FrameTiming,4,7.604927773578568,Clean
