Component,Threshold,Cutoff,Status
IVRSystem,3,6.133659183878035,Clean
IVRExtendedDisplay,2,6.133659183878035,Clean
IVRTrackedCamera,3,6.133659183878035,Clean
IVRApplications,3,6.133659183878035,Clean
IVRChaperone,3,6.133659183878035,Clean
IVRChaperoneSetup,3,6.133659183878035,Clean
IVRCompositor,3,6.133659183878035,Clean
IVROverlay,3,6.133659183878035,Clean
IVRRenderModels,3,6.133659183878035,Clean
IVRNotifications,1,6.133659183878035,Clean
IVRSettings,3,6.133659183878035,Clean
IVRScreenshots,3,6.133659183878035,Clean
IVRResources,1,6.133659183878035,Clean
CVRSystem,6,6.133659183878035,Clean
CVRExtendedDisplay,5,6.133659183878035,Clean
CVRTrackedCamera,6,6.133659183878035,Clean
CVRApplications,6,6.133659183878035,Clean
CVRChaperone,6,6.133659183878035,Clean
CVRChaperoneSetup,6,6.133659183878035,Clean
CVRCompositor,6,6.133659183878035,Clean
CVROverlay,6,6.133659183878035,Clean
CVRRenderModels,6,6.133659183878035,Clean
CVRNotifications,3,6.133659183878035,Clean
CVRSettings,6,6.133659183878035,Clean
CVRScreenshots,6,6.133659183878035,Clean
CVRResources,3,6.133659183878035,Clean
OpenVRInterop,4,6.133659183878035,Clean
EVREye,1,6.133659183878035,Clean
EGraphicsAPIConvention,1,6.133659183878035,Clean
EColorSpace,1,6.133659183878035,Clean
ETrackingResult,1,6.133659183878035,Clean
ETrackedDeviceClass,1,6.133659183878035,Clean
ETrackedControllerRole,1,6.133659183878035,Clean
ETrackingUniverseOrigin,1,6.133659183878035,Clean
ETrackedDeviceProperty,2,6.133659183878035,Clean
ETrackedPropertyError,1,6.133659183878035,Clean
EVRSubmitFlags,1,6.133659183878035,Clean
EVRState,0,6.133659183878035,Clean
EVREventType,2,6.133659183878035,Clean
EDeviceActivityLevel,1,6.133659183878035,Clean
EVRButtonId,1,6.133659183878035,Clean
EVRMouseButton,0,6.133659183878035,Clean
EVRControllerAxisType,1,6.133659183878035,Clean
EVRControllerEventOutputType,0,6.133659183878035,Clean
ECollisionBoundsStyle,0,6.133659183878035,Clean
EVROverlayError,1,6.133659183878035,Clean
EVRApplicationType,1,6.133659183878035,Clean
EVRFirmwareError,1,6.133659183878035,Clean
EVRNotificationError,1,6.133659183878035,Clean
EVRInitError,2,6.133659183878035,Clean
EVRScreenshotType,1,6.133659183878035,Clean
EVRScreenshotPropertyFilenames,1,6.133659183878035,Clean
EVRTrackedCameraError,1,6.133659183878035,Clean
EVRTrackedCameraFrameType,1,6.133659183878035,Clean
EVRApplicationError,1,6.133659183878035,Clean
EVRApplicationProperty,1,6.133659183878035,Clean
EVRApplicationTransitionState,1,6.133659183878035,Clean
ChaperoneCalibrationState,1,6.133659183878035,Clean
EChaperoneConfigFile,1,6.133659183878035,Clean
EChaperoneImportFlags,0,6.133659183878035,Clean
EVRCompositorError,1,6.133659183878035,Clean
VROverlayInputMethod,1,6.133659183878035,Clean
VROverlayTransformType,1,6.133659183878035,Clean
VROverlayFlags,1,6.133659183878035,Clean
EGamepadTextInputMode,0,6.133659183878035,Clean
EGamepadTextInputLineMode,0,6.133659183878035,Clean
EOverlayDirection,1,6.133659183878035,Clean
EVRRenderModelError,1,6.133659183878035,Clean
EVRComponentProperty,0,6.133659183878035,Clean
EVRNotificationType,1,6.133659183878035,Clean
EVRNotificationStyle,1,6.133659183878035,Clean
EVRSettingsError,1,6.133659183878035,Clean
EVRScreenshotError,1,6.133659183878035,Clean
VREvent_Data_t,3,6.133659183878035,Clean
HmdMatrix34_t,3,6.133659183878035,Clean
HmdMatrix44_t,3,6.133659183878035,Clean
HmdVector3_t,3,6.133659183878035,Clean
HmdVector4_t,2,6.133659183878035,Clean
HmdVector3d_t,2,6.133659183878035,Clean
HmdVector2_t,2,6.133659183878035,Clean
HmdQuaternion_t,2,6.133659183878035,Clean
HmdColor_t,3,6.133659183878035,Clean
HmdQuad_t,4,6.133659183878035,Clean
HmdRect2_t,3,6.133659183878035,Clean
DistortionCoordinates_t,3,6.133659183878035,Clean
Texture_t,4,6.133659183878035,Clean
TrackedDevicePose_t,4,6.133659183878035,Clean
VRTextureBounds_t,3,6.133659183878035,Clean
VREvent_Controller_t,0,6.133659183878035,Clean
VREvent_Mouse_t,2,6.133659183878035,Clean
VREvent_Scroll_t,2,6.133659183878035,Clean
