Component,Threshold,Cutoff,Status
BackButton,1,7.298765432098765,Clean
CreateDiceMesh,3,7.298765432098765,Clean
CustomCanvas,8,7.298765432098765,Fault_proner
LevelProfileData,3,7.298765432098765,Clean
GameEnv,6,7.298765432098765,Clean
JfEye,2,7.298765432098765,Clean
EyeAt,1,7.298765432098765,Clean
SpaceData,6,7.298765432098765,Clean
JfSimulateInput,7,7.298765432098765,Clean
JfViewCenter,6,7.298765432098765,Clean
JfVrHead,7,7.298765432098765,Clean
ColorMaterialGallery,8,7.298765432098765,Fault_proner
EditTagType,1,7.298765432098765,Clean
CreateBallSpace,6,7.298765432098765,Clean
CreateDiceWorld,6,7.298765432098765,Clean
FocusTargetShader,7,7.298765432098765,Clean
ShaderState,1,7.298765432098765,Clean
CustomTarget,9,7.298765432098765,Fault_proner
DemoMenuItems,8,7.298765432098765,Fault_proner
DiceWall,1,7.298765432098765,Clean
EarthLike,1,7.298765432098765,Clean
PointDistort,1,7.298765432098765,Clean
PointEasyOrHard,1,7.298765432098765,Clean
SchemaLoadFrom,0,7.298765432098765,Clean
FWallData,4,7.298765432098765,Clean
ModeOptionType,0,7.298765432098765,Clean
FLevelView,3,7.298765432098765,Clean
FPointView,3,7.298765432098765,Clean
FWallView,5,7.298765432098765,Clean
HitCurrentTarget,8,7.298765432098765,Fault_proner
NotifyState,1,7.298765432098765,Clean
HitSceneManager,8,7.298765432098765,Fault_proner
HitTargetState,7,7.298765432098765,Clean
State,1,7.298765432098765,Clean
HitTarget,10,7.298765432098765,Fault_proner
LevelNumber,8,7.298765432098765,Fault_proner
LevelNumberButton,7,7.298765432098765,Clean
OpType,1,7.298765432098765,Clean
PlayButton,2,7.298765432098765,Clean
SpaceLevelView,6,7.298765432098765,Clean
SpacePointView,1,7.298765432098765,Clean
StartupEnvs,4,7.298765432098765,Clean
DataPointState,0,7.298765432098765,Clean
DataPoint,3,7.298765432098765,Clean
DataWall,2,7.298765432098765,Clean
DataLevel,2,7.298765432098765,Clean
IndexData,2,7.298765432098765,Clean
ColorTheSelectable,6,7.298765432098765,Clean
CustomButton,7,7.298765432098765,Clean
UnlockDirection,1,7.298765432098765,Clean
JfDrawLine,5,7.298765432098765,Clean
JfGUIStyle,2,7.298765432098765,Clean
JfRandomPick,6,7.298765432098765,Clean
JfRandomRange,6,7.298765432098765,Clean
JfRaycaster3D,7,7.298765432098765,Clean
JfSelectable,8,7.298765432098765,Fault_proner
JfSelectableShader,4,7.298765432098765,Clean
JfSelectableTarget,4,7.298765432098765,Clean
JfUndo,3,7.298765432098765,Clean
JfUtilsEnv,6,7.298765432098765,Clean
