Component,Threshold,Cutoff,Status
BaseAndroidDevice,2,7.117647058823529,Clean
BaseVRDevice,6,7.117647058823529,Clean
EditorDevice,4,7.117647058823529,Clean
GvrDevice,5,7.117647058823529,Clean
UnityVRDevice,3,7.117647058823529,Clean
ControllerProviderFactory,1,7.117647058823529,Clean
AndroidNativeControllerProvider,6,7.117647058823529,Clean
gvr_quat,0,7.117647058823529,Clean
gvr_vec3,0,7.117647058823529,Clean
gvr_vec2,0,7.117647058823529,Clean
DummyControllerProvider,1,7.117647058823529,Clean
EmulatorControllerProvider,4,7.117647058823529,Clean
ControllerState,2,7.117647058823529,Clean
EmulatorClientSocket,4,7.117647058823529,Clean
EmulatorConfig,2,7.117647058823529,Clean
Mode,1,7.117647058823529,Clean
EmulatorGyroEvent,2,7.117647058823529,Clean
EmulatorAccelEvent,2,7.117647058823529,Clean
EmulatorTouchEvent,4,7.117647058823529,Clean
Action,1,7.117647058823529,Clean
Pointer,2,7.117647058823529,Clean
EmulatorOrientationEvent,2,7.117647058823529,Clean
EmulatorButtonEvent,3,7.117647058823529,Clean
ButtonCode,1,7.117647058823529,Clean
EmulatorManager,5,7.117647058823529,Clean
IControllerProvider,1,7.117647058823529,Clean
PhoneEvent,8,7.117647058823529,Fault_proner
Types,1,7.117647058823529,Clean
Type,0,7.117647058823529,Clean
MotionEvent,8,7.117647058823529,Fault_proner
Pointer_duplicated,8,7.117647058823529,Fault_proner
Builder,7,7.117647058823529,Clean
GyroscopeEvent,8,7.117647058823529,Fault_proner
AccelerometerEvent,8,7.117647058823529,Fault_proner
DepthMapEvent,8,7.117647058823529,Fault_proner
OrientationEvent,8,7.117647058823529,Fault_proner
KeyEvent,8,7.117647058823529,Fault_proner
PhoneEvent_duplicated,9,7.117647058823529,Fault_proner
Types_duplicated,2,7.117647058823529,Clean
Type_duplicated,1,7.117647058823529,Clean
MotionEvent_duplicated,9,7.117647058823529,Fault_proner
Pointer_duplicated_duplicated,8,7.117647058823529,Fault_proner
Builder_duplicated,8,7.117647058823529,Fault_proner
GyroscopeEvent_duplicated,8,7.117647058823529,Fault_proner
AccelerometerEvent_duplicated,8,7.117647058823529,Fault_proner
DepthMapEvent_duplicated,8,7.117647058823529,Fault_proner
OrientationEvent_duplicated,8,7.117647058823529,Fault_proner
KeyEvent_duplicated,8,7.117647058823529,Fault_proner
