Component,Threshold,Cutoff,Status
AbstractIoBuffer,10,7.950287252212618,Fault_proner
Bits,4,7.950287252212618,Clean
Buffer,7,7.950287252212618,Clean
ByteOrder,1,7.950287252212618,Clean
BufferDataException,3,7.950287252212618,Clean
BufferUnderflowException,3,7.950287252212618,Clean
ByteBuffer,10,7.950287252212618,Fault_proner
ByteBufferAllocator,5,7.950287252212618,Clean
ByteBufferR,6,7.950287252212618,Clean
IoBuffer,10,7.950287252212618,Fault_proner
IoBufferAllocator,2,7.950287252212618,Clean
IoBufferHexDumper,3,7.950287252212618,Clean
IoBufferStream,6,7.950287252212618,Clean
IoBufferWrapper,7,7.950287252212618,Clean
FileInfoFileRegion,7,7.950287252212618,Clean
IFileRegion,3,7.950287252212618,Clean
DefaultIoFilterChain,9,7.950287252212618,Fault_proner
HeadFilter,6,7.950287252212618,Clean
TailFilter,6,7.950287252212618,Clean
NextFilter,7,7.950287252212618,Clean
DefaultIoFilterChainBuilder,8,7.950287252212618,Fault_proner
EntryImpl,8,7.950287252212618,Fault_proner
IEntry,4,7.950287252212618,Clean
INextFilter,5,7.950287252212618,Clean
IChain,4,7.950287252212618,Clean
"Chain<TChain,TFilter,TNextFilter>",8,7.950287252212618,Fault_proner
Entry,8,7.950287252212618,Fault_proner
IoFilter,6,7.950287252212618,Clean
IoFilterAdapter,8,7.950287252212618,Fault_proner
IoFilterChain,7,7.950287252212618,Clean
IoFilterChainBuilder,2,7.950287252212618,Clean
IoFilterEvent,7,7.950287252212618,Clean
IoFilterLifeCycleException,3,7.950287252212618,Clean
VirtualDefaultIoFilterChain,9,7.950287252212618,Fault_proner
CompositeIoFuture<TFuture>,3,7.950287252212618,Clean
DefaultCloseFuture,4,7.950287252212618,Clean
ICloseFuture,3,7.950287252212618,Clean
IConnectFuture,4,7.950287252212618,Clean
DefaultConnectFuture,10,7.950287252212618,Fault_proner
IReadFuture,3,7.950287252212618,Clean
DefaultReadFuture,6,7.950287252212618,Clean
DefaultIoFuture,10,7.950287252212618,Fault_proner
DefaultWriteFuture,7,7.950287252212618,Clean
IoFuture,3,7.950287252212618,Clean
IoFutureEventArgs,2,7.950287252212618,Clean
IWriteFuture,4,7.950287252212618,Clean
AbstractIoConnector,10,7.950287252212618,Fault_proner
DefaultTransportMetadata,6,7.950287252212618,Clean
IoConnector,7,7.950287252212618,Clean
IoProcessor,6,7.950287252212618,Clean
IoServiceStatistics,7,7.950287252212618,Clean
IoServiceSupport,5,7.950287252212618,Clean
ITransportMetadata,3,7.950287252212618,Clean
AbstractIoAcceptor,10,7.950287252212618,Fault_proner
AbstractIoService,9,7.950287252212618,Fault_proner
InnerHandler,7,7.950287252212618,Clean
IoHandler,5,7.950287252212618,Clean
IoHandlerAdapter,8,7.950287252212618,Fault_proner
IoAcceptor,7,7.950287252212618,Clean
IoService,4,7.950287252212618,Clean
AttributeKey,5,7.950287252212618,Clean
DefaultIoSessionAttributeMap,6,7.950287252212618,Clean
DefaultIoSessionDataStructureFactory,3,7.950287252212618,Clean
ExpiringSessionRecycler,7,7.950287252212618,Clean
IdleStatusChecker,7,7.950287252212618,Clean
IoEvent,8,7.950287252212618,Fault_proner
IoEventType,1,7.950287252212618,Clean
IoSessionAttributeMap,4,7.950287252212618,Clean
IoSessionDataStructureFactory,2,7.950287252212618,Clean
IoSessionRecycler,1,7.950287252212618,Clean
NoopRecycler,5,7.950287252212618,Clean
