Component,Threshold,Cutoff,Status
BigEndianBinary,5,9.190161744390965,Clean
Binary,5,9.190161744390965,Clean
BufferManager,4,9.190161744390965,Clean
CollectionDebuggerProxy<T>,2,9.190161744390965,Clean
CollectionOperation,4,9.190161744390965,Clean
"DictionaryDebuggerProxy<TKey,TValue>",2,9.190161744390965,Clean
Float32Bits,3,9.190161744390965,Clean
Float64Bits,3,9.190161744390965,Clean
InvalidMessagePackStreamException,2,9.190161744390965,Clean
IPackable,2,9.190161744390965,Clean
ItemsUnpacker,8,9.190161744390965,Clean
CollectionType,0,9.190161744390965,Clean
ReadValueResult,0,9.190161744390965,Clean
IUnpackable,1,9.190161744390965,Clean
KnownExtTypeCode,1,9.190161744390965,Clean
KnownExtTypeName,1,9.190161744390965,Clean
MessagePackExtendedTypeObject,7,9.190161744390965,Clean
MessagePackObjectDictionary,8,9.190161744390965,Clean
Enumerator,6,9.190161744390965,Clean
DictionaryEnumerator,3,9.190161744390965,Clean
KeySet,7,9.190161744390965,Clean
ValueCollection,7,9.190161744390965,Clean
MessagePackCode,4,9.190161744390965,Clean
MessagePackConvert,7,9.190161744390965,Clean
MessagePackObject,10,9.190161744390965,Fault_proner
MessagePackValueTypeCode,0,9.190161744390965,Clean
ValueTypeCode,2,9.190161744390965,Clean
MessageNotSupportedException,2,9.190161744390965,Clean
MessagePackObjectEqualityComparer,3,9.190161744390965,Clean
MessagePackString,7,9.190161744390965,Clean
BinaryType,0,9.190161744390965,Clean
MessagePackStringDebuggerProxy,4,9.190161744390965,Clean
PackerCompatibilityOptions,1,9.190161744390965,Clean
PackerUnpackerExtensions,5,9.190161744390965,Clean
PackingOptions,3,9.190161744390965,Clean
MessageTypeException,2,9.190161744390965,Clean
Packer,8,9.190161744390965,Clean
ReflectionAbstractions,6,9.190161744390965,Clean
SetOperation,4,9.190161744390965,Clean
StreamPacker,6,9.190161744390965,Clean
StringEscape,0,9.190161744390965,Clean
SubtreeUnpacker,8,9.190161744390965,Clean
State,0,9.190161744390965,Clean
TupleItems,4,9.190161744390965,Clean
Unpacking,7,9.190161744390965,Clean
SeekableUnpackingStream,5,9.190161744390965,Clean
UnseekableUnpackingStream,3,9.190161744390965,Clean
DefaultUnpackingStreamReader,1,9.190161744390965,Clean
UnpackingMode,0,9.190161744390965,Clean
UnpackingStream,7,9.190161744390965,Clean
UnpackingStreamReader,2,9.190161744390965,Clean
UnsafeNativeMethods,2,9.190161744390965,Clean
Validation,4,9.190161744390965,Clean
UnpackingResult,7,9.190161744390965,Clean
Unpacker,9,9.190161744390965,Clean
UnpackerMode,0,9.190161744390965,Clean
UnpackException,2,9.190161744390965,Clean
UnassignedMessageTypeException,3,9.190161744390965,Clean
CollectionSerializerMethod,0,9.190161744390965,Clean
ICodeConstruct,2,9.190161744390965,Clean
ISerializerBuilder,1,9.190161744390965,Clean
ISerializerCodeGenerationContext,1,9.190161744390965,Clean
ISerializerCodeGenerator,1,9.190161744390965,Clean
"SerializerBuilder<TContext,TConstruct,TObject>",7,9.190161744390965,Clean
SerializerSpecification,5,9.190161744390965,Clean
SerializerFieldKey,7,9.190161744390965,Clean
ComparablePolymorphismSchema,7,9.190161744390965,Clean
SerializerMethod,0,9.190161744390965,Clean
EnumSerializerMethod,0,9.190161744390965,Clean
"SerializerBuilderContract<TContext,TConstruct,TObject>",4,9.190161744390965,Clean
ForLoopContext,1,9.190161744390965,Clean
SerializerBuilderNilImplicationHandler,4,9.190161744390965,Clean
SerializerBuilderOnPackingParameter,4,9.190161744390965,Clean
SerializerBuilderOnUnpacedParameter,4,9.190161744390965,Clean
SerializerGenerationContext<TConstruct>,5,9.190161744390965,Clean
CodeDomSerializerBuilder,2,9.190161744390965,Clean
CodeDomConstruct,9,9.190161744390965,Clean
CodeDomContext,9,9.190161744390965,Clean
CachedFieldInfo,2,9.190161744390965,Clean
CachedMethodBase,2,9.190161744390965,Clean
CodeDomSerializerBuilder<TObject>,4,9.190161744390965,Clean
ExpressionCodeDomConstruct,5,9.190161744390965,Clean
ParameterCodeDomConstruct,5,9.190161744390965,Clean
StatementCodeDomConstruct,4,9.190161744390965,Clean
VariableCodeDomConstruct,5,9.190161744390965,Clean
CollectionDetailedKind,1,9.190161744390965,Clean
DateTimeConversionMethod,1,9.190161744390965,Clean
DateTimeMemberConversionMethod,1,9.190161744390965,Clean
DateTimeMessagePackSerializerHelpers,2,9.190161744390965,Clean
DefaultSerializerNameResolver,1,9.190161744390965,Clean
INilImplicationHandlerOnUnpackedParameter,3,9.190161744390965,Clean
INilImplicationHandlerParameter,2,9.190161744390965,Clean
MessagePackDateTimeMemberAttribute,1,9.190161744390965,Clean
MessagePackRuntimeTypeAttribute,3,9.190161744390965,Clean
MessagePackRuntimeCollectionItemTypeAttribute,3,9.190161744390965,Clean
MessagePackRuntimeDictionaryKeyTypeAttribute,2,9.190161744390965,Clean
MessagePackRuntimeTupleItemTypeAttribute,3,9.190161744390965,Clean
MessagePackKnownTypeAttribute,3,9.190161744390965,Clean
MessagePackKnownCollectionItemTypeAttribute,2,9.190161744390965,Clean
MessagePackKnownDictionaryKeyTypeAttribute,2,9.190161744390965,Clean
MessagePackKnownTupleItemTypeAttribute,3,9.190161744390965,Clean
MessagePackDeserializationConstructorAttribute,0,9.190161744390965,Clean
MessagePackIgnoreAttribute,0,9.190161744390965,Clean
"NilImplicationHandler<TAction,TCondition,TPackingParameter,TUnpackedParameter>",5,9.190161744390965,Clean
PolymorphismSchema,8,9.190161744390965,Clean
TypeTable,3,9.190161744390965,Clean
TypeTableEntry,7,9.190161744390965,Clean
PolymorphismSchemaChildrenType,0,9.190161744390965,Clean
PolymorphismTarget,0,9.190161744390965,Clean
PolymorphismType,0,9.190161744390965,Clean
ResolveSerializerEventArgs,3,9.190161744390965,Clean
SerializationContext,8,9.190161744390965,Clean
SerializationTarget,6,9.190161744390965,Clean
EnumMemberSerializationMethod,1,9.190161744390965,Clean
EnumMessagePackSerializerHelpers,1,9.190161744390965,Clean
EnumMessagePackSerializerProvider,4,9.190161744390965,Clean
EnumSerializationMethod,1,9.190161744390965,Clean
EnumMessagePackSerializer<TEnum>,6,9.190161744390965,Clean
ICustomizableEnumSerializer,0,9.190161744390965,Clean
ISerializerGeneratorConfiguration,2,9.190161744390965,Clean
MessagePackEnumAttribute,1,9.190161744390965,Clean
MessagePackEnumMemberAttribute,1,9.190161744390965,Clean
MessagePackSerializerExtensions,4,9.190161744390965,Clean
MessagePackSerializerProvider,1,9.190161744390965,Clean
SerializerAssemblyGenerationConfiguration,5,9.190161744390965,Clean
SerializerCodeGenerationConfiguration,5,9.190161744390965,Clean
DefaultConcreteTypeRepository,7,9.190161744390965,Clean
EmitterFlavor,1,9.190161744390965,Clean
IMessagePackSerializer,1,9.190161744390965,Clean
IMessagePackSingleObjectSerializer,2,9.190161744390965,Clean
SerializerCodeGenerationResult,1,9.190161744390965,Clean
SerializerDebugging,8,9.190161744390965,Clean
SerializerRegistrationOptions,0,9.190161744390965,Clean
SerializerTypeKeyRepository,5,9.190161744390965,Clean
LazyDelegatingMessagePackSerializer<T>,6,9.190161744390965,Clean
MessagePackMemberAttribute,4,9.190161744390965,Clean
IdentifierUtility,2,9.190161744390965,Clean
CollectionTraits,4,9.190161744390965,Clean
CollectionKind,0,9.190161744390965,Clean
DataMemberContract,5,9.190161744390965,Clean
FromExpression,4,9.190161744390965,Clean
NilImplication,0,9.190161744390965,Clean
SerializationCompatibilityOptions,3,9.190161744390965,Clean
SerializationMethod,1,9.190161744390965,Clean
SerializationMethodGeneratorOption,0,9.190161744390965,Clean
SerializerGenerator,7,9.190161744390965,Clean
SerializerGenerationLogic<TConfig>,5,9.190161744390965,Clean
SerializerAssemblyGenerationLogic,2,9.190161744390965,Clean
SerializerCodesGenerationLogic,2,9.190161744390965,Clean
SerializerRepository,8,9.190161744390965,Clean
SerializingMember,4,9.190161744390965,Clean
MessagePackSerializer<T>,8,9.190161744390965,Clean
ReflectionExtensions,7,9.190161744390965,Clean
SerializerGetter,3,9.190161744390965,Clean
SerializerGetter<T>,2,9.190161744390965,Clean
SerializationExceptions,7,9.190161744390965,Clean
Tracer,3,9.190161744390965,Clean
EventId,2,9.190161744390965,Clean
EventType,2,9.190161744390965,Clean
ExtTypeCodeMapping,6,9.190161744390965,Clean
TypeKeyRepository,5,9.190161744390965,Clean
MessagePackSerializer,8,9.190161744390965,Clean
UnpackHelpers,7,9.190161744390965,Clean
"CollectionMessagePackSerializerBase<TCollection,TItem>",4,9.190161744390965,Clean
CollectionSerializerHelpers,2,9.190161744390965,Clean
"DictionaryMessagePackSerializerBase<TDictionary,TKey,TValue>",6,9.190161744390965,Clean
NonGenericDictionaryMessagePackSerializer<TDictionary>,6,9.190161744390965,Clean
NonGenericEnumerableMessagePackSerializer<TCollection>,1,9.190161744390965,Clean
NonGenericListMessagePackSerializer<TList>,2,9.190161744390965,Clean
NonGenericCollectionMessagePackSerializer<TCollection>,1,9.190161744390965,Clean
"CollectionMessagePackSerializer<TCollection,TItem>",1,9.190161744390965,Clean
"DictionaryMessagePackSerializer<TDictionary,TKey,TValue>",1,9.190161744390965,Clean
NonGenericEnumerableMessagePackSerializerBase<TCollection>,7,9.190161744390965,Clean
"EnumerableMessagePackSerializerBase<TCollection,TItem>",7,9.190161744390965,Clean
"EnumerableMessagePackSerializer<TCollection,TItem>",1,9.190161744390965,Clean
ICollectionInstanceFactory,2,9.190161744390965,Clean
"ReadOnlyCollectionMessagePackSerializer<TCollection,TItem>",1,9.190161744390965,Clean
"ReadOnlyDictionaryMessagePackSerializer<TDictionary,TKey,TValue>",1,9.190161744390965,Clean
AbstractCollectionSerializerHelper,1,9.190161744390965,Clean
AbstractNonGenericDictionaryMessagePackSerializer<TDictionary>,3,9.190161744390965,Clean
"AbstractEnumerableMessagePackSerializer<TCollection,TItem>",3,9.190161744390965,Clean
AbstractNonGenericEnumerableMessagePackSerializer<TCollection>,3,9.190161744390965,Clean
AbstractNonGenericCollectionMessagePackSerializer<TCollection>,3,9.190161744390965,Clean
AbstractNonGenericListMessagePackSerializer<TCollection>,3,9.190161744390965,Clean
"AbstractCollectionMessagePackSerializer<TCollection,TItem>",3,9.190161744390965,Clean
"AbstractDictionaryMessagePackSerializer<TDictionary,TKey,TValue>",3,9.190161744390965,Clean
"AbstractReadOnlyCollectionMessagePackSerializer<TCollection,TItem>",2,9.190161744390965,Clean
"AbstractReadOnlyDictionaryMessagePackSerializer<TDictionary,TKey,TValue>",2,9.190161744390965,Clean
DateTimeMessagePackSerializerProvider,5,9.190161744390965,Clean
DateTimeOffsetMessagePackSerializer,4,9.190161744390965,Clean
DateTimeOffsetMessagePackSerializerProvider,5,9.190161744390965,Clean
FileTimeMessagePackSerializerProvider,5,9.190161744390965,Clean
InternalDateTimeExtensions,2,9.190161744390965,Clean
"MultidimensionalArraySerializer<TArray,TItem>",6,9.190161744390965,Clean
NativeDateTimeMessagePackSerializer,2,9.190161744390965,Clean
NativeFileTimeMessagePackSerializer,2,9.190161744390965,Clean
System_DBNullMessagePackSerializer,3,9.190161744390965,Clean
System_Globalization_CultureInfoMessagePackSerializer,2,9.190161744390965,Clean
UnixEpocDateTimeMessagePackSerializer,2,9.190161744390965,Clean
UnixEpocFileTimeMessagePackSerializer,2,9.190161744390965,Clean
ArraySerializer,6,9.190161744390965,Clean
GenericSerializer,5,9.190161744390965,Clean
IGenericBuiltInSerializerFactory,2,9.190161744390965,Clean
NullableInstanceFactory<T>,3,9.190161744390965,Clean
ListInstanceFactory<T>,3,9.190161744390965,Clean
"DictionaryInstanceFactory<TKey,TValue>",3,9.190161744390965,Clean
"ImmutableCollectionSerializerFactory<T,TItem>",3,9.190161744390965,Clean
"ImmutableStackSerializerFactory<T,TItem>",3,9.190161744390965,Clean
"ImmutableDictionarySerializerFactory<T,TKey,TValue>",3,9.190161744390965,Clean
IVariantSerializerFactory,2,9.190161744390965,Clean
NonGenericEnumerableSerializerFactory<T>,3,9.190161744390965,Clean
NonGenericCollectionSerializerFactory<T>,3,9.190161744390965,Clean
NonGenericListSerializerFactory<T>,3,9.190161744390965,Clean
NonGenericDictionarySerializerFactory<T>,3,9.190161744390965,Clean
"EnumerableSerializerFactory<TCollection,TItem>",3,9.190161744390965,Clean
"CollectionSerializerFactory<TCollection,TItem>",3,9.190161744390965,Clean
"ReadOnlyCollectionSerializerFactory<TCollection,TItem>",3,9.190161744390965,Clean
"DictionarySerializerFactory<TDictionary,TKey,TValue>",3,9.190161744390965,Clean
"ReadOnlyDictionarySerializerFactory<TDictionary,TKey,TValue>",3,9.190161744390965,Clean
ImmutableCollectionType,0,9.190161744390965,Clean
"ImmutableCollectionSerializer<T,TItem>",6,9.190161744390965,Clean
"ImmutableDictionarySerializer<T,TKey,TValue>",6,9.190161744390965,Clean
"ImmutableStackSerializer<T,TItem>",2,9.190161744390965,Clean
SByteArraySerializer,4,9.190161744390965,Clean
Int16ArraySerializer,4,9.190161744390965,Clean
Int32ArraySerializer,4,9.190161744390965,Clean
Int64ArraySerializer,4,9.190161744390965,Clean
ByteArraySerializer,4,9.190161744390965,Clean
UInt16ArraySerializer,4,9.190161744390965,Clean
UInt32ArraySerializer,4,9.190161744390965,Clean
UInt64ArraySerializer,4,9.190161744390965,Clean
SingleArraySerializer,4,9.190161744390965,Clean
DoubleArraySerializer,4,9.190161744390965,Clean
BooleanArraySerializer,4,9.190161744390965,Clean
NullableSByteArraySerializer,4,9.190161744390965,Clean
NullableInt16ArraySerializer,4,9.190161744390965,Clean
NullableInt32ArraySerializer,4,9.190161744390965,Clean
NullableInt64ArraySerializer,4,9.190161744390965,Clean
NullableByteArraySerializer,4,9.190161744390965,Clean
NullableUInt16ArraySerializer,4,9.190161744390965,Clean
NullableUInt32ArraySerializer,4,9.190161744390965,Clean
NullableUInt64ArraySerializer,4,9.190161744390965,Clean
NullableSingleArraySerializer,4,9.190161744390965,Clean
NullableDoubleArraySerializer,4,9.190161744390965,Clean
NullableBooleanArraySerializer,4,9.190161744390965,Clean
StringArraySerializer,4,9.190161744390965,Clean
BinaryArraySerializer,4,9.190161744390965,Clean
MessagePackObjectArraySerializer,4,9.190161744390965,Clean
MsgPack_MessagePackObjectDictionaryMessagePackSerializer,5,9.190161744390965,Clean
System_Collections_Generic_List_1MessagePackSerializer<T>,6,9.190161744390965,Clean
System_Collections_Generic_Queue_1MessagePackSerializer<TItem>,6,9.190161744390965,Clean
System_Collections_Generic_Stack_1MessagePackSerializer<TItem>,6,9.190161744390965,Clean
System_Collections_QueueMessagePackSerializer,5,9.190161744390965,Clean
System_Collections_StackMessagePackSerializer,5,9.190161744390965,Clean
System_Collections_Generic_ListOfMessagePackObjectMessagePackSerializer,5,9.190161744390965,Clean
"System_Collections_Generic_Dictionary_2MessagePackSerializer<TKey,TValue>",7,9.190161744390965,Clean
ArraySerializer<T>,6,9.190161744390965,Clean
MessagePackObjectExtensions,0,9.190161744390965,Clean
MsgPack_MessagePackExtendedTypeObjectMessagePackSerializer,2,9.190161744390965,Clean
System_BooleanMessagePackSerializer,2,9.190161744390965,Clean
System_ByteMessagePackSerializer,2,9.190161744390965,Clean
System_CharMessagePackSerializer,2,9.190161744390965,Clean
System_DecimalMessagePackSerializer,2,9.190161744390965,Clean
System_DoubleMessagePackSerializer,2,9.190161744390965,Clean
System_GuidMessagePackSerializer,2,9.190161744390965,Clean
System_Int16MessagePackSerializer,2,9.190161744390965,Clean
System_Int32MessagePackSerializer,2,9.190161744390965,Clean
System_Int64MessagePackSerializer,2,9.190161744390965,Clean
System_SByteMessagePackSerializer,2,9.190161744390965,Clean
System_SingleMessagePackSerializer,2,9.190161744390965,Clean
System_TimeSpanMessagePackSerializer,2,9.190161744390965,Clean
System_UInt16MessagePackSerializer,2,9.190161744390965,Clean
System_UInt32MessagePackSerializer,2,9.190161744390965,Clean
System_UInt64MessagePackSerializer,2,9.190161744390965,Clean
System_Collections_Specialized_BitVector32MessagePackSerializer,2,9.190161744390965,Clean
System_Numerics_BigIntegerMessagePackSerializer,2,9.190161744390965,Clean
MsgPack_MessagePackObjectMessagePackSerializer,2,9.190161744390965,Clean
NullableMessagePackSerializer<T>,5,9.190161744390965,Clean
System_ObjectMessagePackSerializer,3,9.190161744390965,Clean
System_StringMessagePackSerializer,2,9.190161744390965,Clean
System_Text_StringBuilderMessagePackSerializer,2,9.190161744390965,Clean
System_ByteArrayMessagePackSerializer,2,9.190161744390965,Clean
System_CharArrayMessagePackSerializer,2,9.190161744390965,Clean
ArraySegmentMessageSerializer,5,9.190161744390965,Clean
System_ArraySegment_1MessagePackSerializer<T>,5,9.190161744390965,Clean
System_Collections_DictionaryEntryMessagePackSerializer,5,9.190161744390965,Clean
"System_Collections_Generic_KeyValuePair_2MessagePackSerializer<TKey,TValue>",3,9.190161744390965,Clean
System_Numerics_ComplexMessagePackSerializer,2,9.190161744390965,Clean
System_UriMessagePackSerializer,2,9.190161744390965,Clean
System_VersionMessagePackSerializer,2,9.190161744390965,Clean
System_Collections_Specialized_NameValueCollectionMessagePackSerializer,6,9.190161744390965,Clean
"CallbackCollectionMessagePackSerializer<TCollection,TItem>",2,9.190161744390965,Clean
"CallbackDictionaryMessagePackSerializer<TDictionary,TKey,TValue>",2,9.190161744390965,Clean
"CallbackEnumerableMessagePackSerializer<TCollection,TItem>",3,9.190161744390965,Clean
CallbackEnumMessagePackSerializer<TEnum>,2,9.190161744390965,Clean
CallbackMessagePackSerializer<T>,4,9.190161744390965,Clean
CallbackNonGenericCollectionMessagePackSerializer<TCollection>,3,9.190161744390965,Clean
CallbackNonGenericDictionaryMessagePackSerializer<TDictionary>,2,9.190161744390965,Clean
CallbackNonGenericEnumerableMessagePackSerializer<TCollection>,3,9.190161744390965,Clean
CallbackNonGenericListMessagePackSerializer<TCollection>,2,9.190161744390965,Clean
"CallbackReadOnlyCollectionMessagePackSerializer<TCollection,TItem>",2,9.190161744390965,Clean
"CallbackReadOnlyDictionaryMessagePackSerializer<TDictionary,TKey,TValue>",2,9.190161744390965,Clean
ContextBasedEnumSerializerEmitter,6,9.190161744390965,Clean
EnumSerializerEmitter,6,9.190161744390965,Clean
EnumSerializerEmitterContract,2,9.190161744390965,Clean
FieldBasedEnumSerializerEmitter,7,9.190161744390965,Clean
AndConditionILConstruct,6,9.190161744390965,Clean
AssemblyBuilderCodeGenerationContext,5,9.190161744390965,Clean
AssemblyBuilderEmittingContext,1,9.190161744390965,Clean
BinaryOperatorILConstruct,5,9.190161744390965,Clean
ConditionalILConstruct,7,9.190161744390965,Clean
ContextfulILConstruct,2,9.190161744390965,Clean
DynamicMethodEmittingContext,4,9.190161744390965,Clean
DynamicMethodSerializerBuilder<TObject>,2,9.190161744390965,Clean
ILConstruct,11,9.190161744390965,Fault_proner
ILEmittingContext,6,9.190161744390965,Clean
AssemblyBuilderSerializerBuilder<TObject>,4,9.190161744390965,Clean
"ILEmittingSerializerBuilder<TContext,TObject>",4,9.190161744390965,Clean
InvocationILConsruct,7,9.190161744390965,Clean
LoadFieldILConstruct,4,9.190161744390965,Clean
ContextBasedSerializerEmitter,7,9.190161744390965,Clean
IEnumerableCallbackSerializerFactory,1,9.190161744390965,Clean
"EnumerableCallbackSerializerFactoryBase<TCollection,TItem>",2,9.190161744390965,Clean
"EnumerableCallbackSerializerFactory<TCollection,TItem>",1,9.190161744390965,Clean
NonGenericEnumerableCallbackSerializerFactory<TCollection>,1,9.190161744390965,Clean
NonGenericCollectionCallbackSerializerFactory<TCollection>,1,9.190161744390965,Clean
ICollectionCallbackSerializerFactory,2,9.190161744390965,Clean
"CollectionCallbackSerializerFactoryBase<TCollection,TItem>",2,9.190161744390965,Clean
"CollectionCallbackSerializerFactory<TCollection,TItem>",1,9.190161744390965,Clean
"ReadOnlyCollectionCallbackSerializerFactory<TCollection,TItem>",1,9.190161744390965,Clean
NonGenericListCallbackSerializerFactory<TCollection>,1,9.190161744390965,Clean
NonGenericDictionaryCallbackSerializerFactory<TDictionary>,1,9.190161744390965,Clean
"DictionaryCallbackSerializerFactory<TDictionary,TKey,TValue>",3,9.190161744390965,Clean
"ReadOnlyDictionaryCallbackSerializerFactory<TDictionary,TKey,TValue>",3,9.190161744390965,Clean
SequenceILConstruct,6,9.190161744390965,Clean
SinglelStepILConstruct,5,9.190161744390965,Clean
StatementExpressionILConstruct,6,9.190161744390965,Clean
StoreFieldILConstruct,5,9.190161744390965,Clean
StoreVariableILConstruct,4,9.190161744390965,Clean
UnaryOperatorILConstruct,6,9.190161744390965,Clean
VariableILConstruct,6,9.190161744390965,Clean
FieldBasedSerializerEmitter,7,9.190161744390965,Clean
SerializerFieldInfo,2,9.190161744390965,Clean
CachedFieldInfo_duplicated,2,9.190161744390965,Clean
CachedMethodBase_duplicated,2,9.190161744390965,Clean
DefaultSerializationMethodGeneratorManager,8,9.190161744390965,Clean
SerializationMethodGeneratorManager,5,9.190161744390965,Clean
SerializerEmitter,6,9.190161744390965,Clean
SerializerEmitterContract,5,9.190161744390965,Clean
"ExpressionCallbackCollectionMessagePackSerializer<TCollection,TItem>",2,9.190161744390965,Clean
"ExpressionCallbackDictionaryMessagePackSerializer<TDictionary,TKey,TValue>",2,9.190161744390965,Clean
"ExpressionCallbackEnumerableMessagePackSerializer<TCollection,TItem>",3,9.190161744390965,Clean
ExpressionCallbackNonGenericCollectionMessagePackSerializer<TCollection>,3,9.190161744390965,Clean
ExpressionCallbackNonGenericDictionaryMessagePackSerializer<TDictionary>,2,9.190161744390965,Clean
ExpressionCallbackNonGenericEnumerableMessagePackSerializer<TCollection>,3,9.190161744390965,Clean
