Component,Threshold,Cutoff,Status
ServerEntryPoint,3,7.8535047712300425,Clean
AgentHost,9,7.8535047712300425,Fault_proner
AgentParameters,2,7.8535047712300425,Clean
AgentProgram,7,7.8535047712300425,Clean
IAgentExternalModule,3,7.8535047712300425,Clean
INativeRunnerCache,3,7.8535047712300425,Clean
NativeRunnerCache,7,7.8535047712300425,Clean
TestRunnerMetadata,1,7.8535047712300425,Clean
AgentTestRunner,6,7.8535047712300425,Clean
Agent,9,7.8535047712300425,Fault_proner
AgentConfiguration,3,7.8535047712300425,Clean
AnnouncementModule,7,7.8535047712300425,Clean
DiscoveryModule,7,7.8535047712300425,Clean
ExceptionEntry,2,7.8535047712300425,Clean
LogConfiguration,1,7.8535047712300425,Clean
LogEntry,3,7.8535047712300425,Clean
RollingLog,8,7.8535047712300425,Fault_proner
InstanceTracker,7,7.8535047712300425,Clean
IInstanceTracker,3,7.8535047712300425,Clean
InstanceTrackerState,2,7.8535047712300425,Clean
NDistribUnitProcessRunner,9,7.8535047712300425,Fault_proner
DistributedConfigurationSetup,2,7.8535047712300425,Clean
IDistributedConfigurationOperator,4,7.8535047712300425,Clean
TestDataProvider,8,7.8535047712300425,Fault_proner
TestResultExtensions,6,7.8535047712300425,Clean
TestResultFactory,6,7.8535047712300425,Clean
TestType,3,7.8535047712300425,Clean
TestResultsProcessor,5,7.8535047712300425,Clean
ITestReprocessor,2,7.8535047712300425,Clean
IResultsStorage,5,7.8535047712300425,Clean
ITestResultsSerializer,4,7.8535047712300425,Clean
ITestsRetriever,2,7.8535047712300425,Clean
NUnitTestsFilter,9,7.8535047712300425,Fault_proner
TestReprocessor,7,7.8535047712300425,Clean
ReprocessingVerdict,0,7.8535047712300425,Clean
ResultsStorage,7,7.8535047712300425,Clean
RunResultsCollection,7,7.8535047712300425,Clean
TestUnitAttachedData,7,7.8535047712300425,Clean
TestAgentsCollection,8,7.8535047712300425,Fault_proner
ServerTestRunner,5,7.8535047712300425,Clean
TestResultsSerializer,5,7.8535047712300425,Clean
TestsRetriever,7,7.8535047712300425,Clean
InAnotherDomainTestsRetriever,4,7.8535047712300425,Clean
ITestSystemInitializer,2,7.8535047712300425,Clean
NUnitInitializer,3,7.8535047712300425,Clean
TestUnit,4,7.8535047712300425,Clean
TestUnitsCollection,10,7.8535047712300425,Fault_proner
ITestUnitsCollection,2,7.8535047712300425,Clean
TestUnitWithMetadata,6,7.8535047712300425,Clean
ClientParameters,6,7.8535047712300425,Clean
ClientProgram,7,7.8535047712300425,Clean
NUnitParameters,3,7.8535047712300425,Clean
IClient,1,7.8535047712300425,Clean
Client,8,7.8535047712300425,Fault_proner
AssemblyResolver,6,7.8535047712300425,Clean
ConfigurationFileMerger,3,7.8535047712300425,Clean
InAnotherDomainConfigurationMerger,4,7.8535047712300425,Clean
PathUtilities,1,7.8535047712300425,Clean
Unlocker,3,7.8535047712300425,Clean
CrossThreadPipe<TObject>,6,7.8535047712300425,Clean
StartupCleaner,6,7.8535047712300425,Clean
ServiceConfiguration,2,7.8535047712300425,Clean
IConnectionProvider,2,7.8535047712300425,Clean
PingableCollection<TPingable>,7,7.8535047712300425,Clean
PingableMetadata,4,7.8535047712300425,Clean
ZipSource,5,7.8535047712300425,Clean
ExceptionCatcher,6,7.8535047712300425,Clean
GeneralProgram,6,7.8535047712300425,Clean
DomainManager,6,7.8535047712300425,Clean
InAnotherDomainResolverCreator,4,7.8535047712300425,Clean
EnumExtensions,0,7.8535047712300425,Clean
ObjectExtensions,1,7.8535047712300425,Clean
Win32,0,7.8535047712300425,Clean
SetInformationHandleFlags,1,7.8535047712300425,Clean
ProcessCreationWatcher,5,7.8535047712300425,Clean
ProcessTreeKiller,6,7.8535047712300425,Clean
Win32_Process,8,7.8535047712300425,Fault_proner
ExecutionStateValues,0,7.8535047712300425,Clean
ProcessCollection,6,7.8535047712300425,Clean
ProcessEnumerator,5,7.8535047712300425,Clean
WMIValueTypeConverter,5,7.8535047712300425,Clean
ManagementSystemProperties,3,7.8535047712300425,Clean
Test,0,7.8535047712300425,Clean
TestResultType,0,7.8535047712300425,Clean
AgentInformation,3,7.8535047712300425,Clean
TestRun,6,7.8535047712300425,Clean
UpdatePackage,2,7.8535047712300425,Clean
WindowsLog,6,7.8535047712300425,Clean
CombinedLog,6,7.8535047712300425,Clean
