Component,Threshold,Cutoff,Status
Common,9,6.727685950413224,Fault_proner
ErrorType,3,6.727685950413224,Clean
MetaDataKeyType,2,6.727685950413224,Clean
AndroidResult,1,6.727685950413224,Clean
OrientationManager,4,6.727685950413224,Clean
TangoEnums,2,6.727685950413224,Clean
TangoPoseStatusType,1,6.727685950413224,Clean
TangoCoordinateFrameType,1,6.727685950413224,Clean
TangoCameraId,1,6.727685950413224,Clean
TangoEventType,0,6.727685950413224,Clean
TangoConfigType,1,6.727685950413224,Clean
TangoCalibrationType,0,6.727685950413224,Clean
TangoImageFormatType,1,6.727685950413224,Clean
TangoXYZij,3,6.727685950413224,Clean
TangoEvent,3,6.727685950413224,Clean
TangoCoordinateFramePair,2,6.727685950413224,Clean
TangoImageBuffer,3,6.727685950413224,Clean
TangoCameraIntrinsics,3,6.727685950413224,Clean
TangoPoseData,7,6.727685950413224,Fault_proner
UUIDUnityHolder,7,6.727685950413224,Fault_proner
UUID,1,6.727685950413224,Clean
UUID_list,7,6.727685950413224,Fault_proner
Metadata,3,6.727685950413224,Clean
TangoUnityImageData,4,6.727685950413224,Clean
TangoUnityDepth,3,6.727685950413224,Clean
DepthListener,7,6.727685950413224,Fault_proner
PoseListener,8,6.727685950413224,Fault_proner
TangoEventListener,7,6.727685950413224,Fault_proner
VideoOverlayListener,7,6.727685950413224,Fault_proner
DepthProvider,2,6.727685950413224,Clean
DepthAPI,2,6.727685950413224,Clean
PoseProvider,7,6.727685950413224,Fault_proner
PoseProviderAPI,6,6.727685950413224,Clean
TangoApplication,7,6.727685950413224,Fault_proner
PermissionsTypes,1,6.727685950413224,Clean
TangoServiceAPI,4,6.727685950413224,Clean
TangoConfig,7,6.727685950413224,Fault_proner
Keys,3,6.727685950413224,Clean
TangoConfigAPI,6,6.727685950413224,Clean
TangoEvents,2,6.727685950413224,Clean
EventsAPI,2,6.727685950413224,Clean
YUVTexture,5,6.727685950413224,Clean
VideoOverlayProvider,6,6.727685950413224,Clean
VideoOverlayAPI,6,6.727685950413224,Clean
