Component,Threshold,Cutoff,Status
NVRCollisionSoundController,4,7.731515299082867,Clean
NVRCollisionSoundProviders,1,7.731515299082867,Clean
NVRCollisionSoundMaterials,1,7.731515299082867,Clean
NVRCollisionSoundMaterialsList,3,7.731515299082867,Clean
NVRCollisionSoundObject,5,7.731515299082867,Clean
NVRCollisionSoundProvider,4,7.731515299082867,Clean
NVRCollisionSoundProviderFMOD,3,7.731515299082867,Clean
NVRCollisionSoundProviderUnity,7,7.731515299082867,Clean
EnumEqualityComparer,2,7.731515299082867,Clean
BoxAvoidance,1,7.731515299082867,Clean
NVRAttachJoint,8,7.731515299082867,Fault_proner
NVRAttachPoint,8,7.731515299082867,Fault_proner
AttachPointMapper,4,7.731515299082867,Clean
NVRButton,6,7.731515299082867,Clean
NVRButtonInputs,5,7.731515299082867,Clean
NVRButtons,1,7.731515299082867,Clean
NVRButtonsHelper,3,7.731515299082867,Clean
NVRButtonsComparer,2,7.731515299082867,Clean
NVRCanvasInput,7,7.731515299082867,Clean
NVRHand,9,7.731515299082867,Fault_proner
NVRInteractableEvent,1,7.731515299082867,Clean
VisibilityLevel,1,7.731515299082867,Clean
HandState,1,7.731515299082867,Clean
InterationStyle,1,7.731515299082867,Clean
NVRHead,1,7.731515299082867,Clean
NVRHelpers,6,7.731515299082867,Clean
NVRInputDevice,8,7.731515299082867,Fault_proner
NVRIntegration,5,7.731515299082867,Clean
NVRInteractable,10,7.731515299082867,Fault_proner
NVRInteractableItem,10,7.731515299082867,Fault_proner
NVRInteractableItemAutoAttach,2,7.731515299082867,Clean
NVRInteractableItemClippable,4,7.731515299082867,Clean
NVRInteractableRotator,9,7.731515299082867,Fault_proner
NVRInteractables,7,7.731515299082867,Clean
NVRLetterSpinner,8,7.731515299082867,Fault_proner
NVRLever,10,7.731515299082867,Fault_proner
LeverPosition,1,7.731515299082867,Clean
RotationAxis,0,7.731515299082867,Clean
NVRPhysicalController,9,7.731515299082867,Fault_proner
NVRPlayer,9,7.731515299082867,Fault_proner
NVRSDKIntegrations,1,7.731515299082867,Clean
NVRSlider,9,7.731515299082867,Fault_proner
NVRSwitch,6,7.731515299082867,Clean
NVRTeleportController,7,7.731515299082867,Clean
NVRTeleporter,9,7.731515299082867,Fault_proner
TeleportPreview,3,7.731515299082867,Clean
NVRUIIgnoreRaycast,0,7.731515299082867,Clean
NVRVignette,5,7.731515299082867,Clean
NVROculusInputDevice,7,7.731515299082867,Clean
NVROculusIntegration,4,7.731515299082867,Clean
NVRSteamVRInputDevice,7,7.731515299082867,Clean
NVRSteamVRIntegration,4,7.731515299082867,Clean
NVRWindowsMRInput,7,7.731515299082867,Clean
NVRWindowsMRIntegration,9,7.731515299082867,Fault_proner
DisplayType,1,7.731515299082867,Clean
NVRExampleButtonDropSphere,0,7.731515299082867,Clean
NVRExampleButtonResetScene,0,7.731515299082867,Clean
NVRExampleColorLever,3,7.731515299082867,Clean
NVRExampleColorSlider,3,7.731515299082867,Clean
NVRExampleDegreeResult,1,7.731515299082867,Clean
NVRExampleEvent,1,7.731515299082867,Clean
NVRExampleGrower,2,7.731515299082867,Clean
NVRExampleGun,4,7.731515299082867,Clean
NVRExampleLaserPointer,5,7.731515299082867,Clean
NVRExampleLetterResult,1,7.731515299082867,Clean
NVRExampleLeverResultRocket,6,7.731515299082867,Clean
NVRExampleRGBResult,3,7.731515299082867,Clean
NVRExampleSpawner,2,7.731515299082867,Clean
NVRExampleSwitchResult,1,7.731515299082867,Clean
NVRExampleTeleporter,6,7.731515299082867,Clean
NVRCollisionSoundControllerEditor,6,7.731515299082867,Clean
NVRPlayerEditor,6,7.731515299082867,Clean
NVRTeleporterEditor,6,7.731515299082867,Clean
Hand,1,7.731515299082867,Clean
